YIELDCURVE,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,FORWARD_PERIOD,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.INSID,PRECEDENCE,SPREAD_TYPE,,
Use Storage Format,JPY,,USD-SOFR,Boot Strap,Default,Flat,1d,Linear RT,Spot Rate,Zero Coupon Curve,FX,Spot Rate,Act/365,Continuous,60,1,JPY-FX,Benchmark,USD-JPY/FXS/ON,0.000506943,,Up,End Date,USD-JPY/FXS/ON,2,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/TN,0.000282434,,Up,End Date,USD-JPY/FXS/2Y,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/SN,0.000122393,,Up,End Date,USD-JPY/FXS/21M,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/1W,-0.000564433,,Up,End Date,USD-JPY/FXS/18M,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/2W,-0.00087712,,Up,End Date,USD-JPY/FXS/15M,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/3W,-0.001063138,,Up,End Date,USD-JPY/FXS/1Y,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/1M,-0.001407897,,Up,End Date,USD-JPY/FXS/11M,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/2M,-0.005454383,,Up,End Date,USD-JPY/FXS/10M,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/3M,-0.004691638,,Up,End Date,USD-JPY/FXS/9M,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/4M,-0.004243644,,Up,End Date,USD-JPY/FXS/8M,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/5M,-0.004276878,,Up,End Date,USD-JPY/FXS/7M,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/6M,-0.004147468,,Up,End Date,USD-JPY/FXS/6M,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/7M,-0.004122582,,Up,End Date,USD-JPY/FXS/5M,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/8M,-0.004164902,,Up,End Date,USD-JPY/FXS/4M,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/9M,-0.004152747,,Up,End Date,USD-JPY/FXS/3M,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/10M,-0.004151088,,Up,End Date,USD-JPY/FXS/2M,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/11M,-0.004245823,,Up,End Date,USD-JPY/FXS/1M,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/1Y,-0.0042454,,Up,End Date,USD-JPY/FXS/3W,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/15M,-0.004544342,,Up,End Date,USD-JPY/FXS/2W,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/18M,-0.004645895,,Up,End Date,USD-JPY/FXS/1W,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/21M,-0.004586297,,Up,End Date,USD-JPY/FXS/SN,,No,,
,,,,,,,,,,,,,,,,,,,USD-JPY/FXS/2Y,-0.00470147,,Up,End Date,USD-JPY/FXS/TN,1,No,,
