YIELDCURVE,,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.EXTERN_ID1,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,JPY,,JPY-LI-6M,Boot Strap,Yes,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,JY0003M,JPY/LIBOR/3M,Interest Rate,Spot Rate,Act/365,Continuous,60,1,JPY-LI-3M,Benchmark,JPY/LIBOR/3M,-0.000998305,,Up,Curve Sens,JY0003M,JPY/LIBOR/3M,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI3M-LI6M/18M,-0.000998305,,Up,Curve Sens,,JPY/IRS/LI3M-LI6M/30Y,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI3M-LI6M/2Y,-0.000998305,,Up,Curve Sens,,JPY/IRS/LI3M-LI6M/25Y,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI3M-LI6M/3Y,-0.000998305,,Up,Curve Sens,,JPY/IRS/LI3M-LI6M/20Y,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI3M-LI6M/4Y,-0.000998305,,Up,Curve Sens,,JPY/IRS/LI3M-LI6M/15Y,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI3M-LI6M/5Y,-0.000998305,,Up,Curve Sens,,JPY/IRS/LI3M-LI6M/12Y,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI3M-LI6M/6Y,-0.000998305,,Up,Curve Sens,,JPY/IRS/LI3M-LI6M/11Y,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI3M-LI6M/7Y,-0.000998305,,Up,Curve Sens,,JPY/IRS/LI3M-LI6M/10Y,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI3M-LI6M/8Y,-0.000998305,,Up,Curve Sens,,JPY/IRS/LI3M-LI6M/9Y,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI3M-LI6M/9Y,-0.000998305,,Up,Curve Sens,,JPY/IRS/LI3M-LI6M/8Y,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI3M-LI6M/10Y,-0.000998305,,Up,Curve Sens,,JPY/IRS/LI3M-LI6M/7Y,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI3M-LI6M/11Y,-0.000998305,,Up,Curve Sens,,JPY/IRS/LI3M-LI6M/6Y,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI3M-LI6M/12Y,-0.000998305,,Up,Curve Sens,,JPY/IRS/LI3M-LI6M/5Y,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI3M-LI6M/15Y,-0.000998305,,Up,Curve Sens,,JPY/IRS/LI3M-LI6M/4Y,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI3M-LI6M/20Y,-0.000998305,,Up,Curve Sens,,JPY/IRS/LI3M-LI6M/3Y,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI3M-LI6M/25Y,-0.000998305,,Up,Curve Sens,,JPY/IRS/LI3M-LI6M/2Y,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI3M-LI6M/30Y,-0.000998305,,Up,Curve Sens,,JPY/IRS/LI3M-LI6M/18M,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/FRA/LI3M/1X4,-0.000998305,,Up,Curve Sens,,JPY/FRA/LI3M/6X9,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/FRA/LI3M/2X5,-0.000998305,,Up,Curve Sens,,JPY/FRA/LI3M/5X8,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/FRA/LI3M/3X6,-0.000998305,,Up,Curve Sens,,JPY/FRA/LI3M/4X7,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/FRA/LI3M/4X7,-0.000998305,,Up,Curve Sens,,JPY/FRA/LI3M/3X6,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/FRA/LI3M/5X8,-0.000998305,,Up,Curve Sens,,JPY/FRA/LI3M/2X5,No,,
,,,,,,,,,,,,,,,,,,,,,JPY/FRA/LI3M/6X9,-0.000998305,,Up,Curve Sens,,JPY/FRA/LI3M/1X4,No,,
