YIELDCURVE,,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.EXTERN_ID1,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,JPY,,JPY-TONA,Boot Strap,Yes,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,JY0006M,JPY/LIBOR/6M,Interest Rate,Spot Rate,Act/365,Continuous,60,1,JPY-LI-6M,Benchmark,JY0006M,JPY/LIBOR/6M,-0.000510195937888,,Up,End Date,,JPY/IRS/LI6M-F/30Y,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/FRA/LI6M/1X7,-0.000436724848746,,Up,End Date,,JPY/IRS/LI6M-F/25Y,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/FRA/LI6M/2X8,0.00011298161785,,Up,End Date,,JPY/IRS/LI6M-F/20Y,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/FRA/LI6M/3X9,7.79265640669E-05,,Up,End Date,,JPY/IRS/LI6M-F/15Y,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/FRA/LI6M/4X10,1.63887677975E-05,,Up,End Date,,JPY/IRS/LI6M-F/12Y,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/FRA/LI6M/5X11,-5.1159508946E-05,,Up,End Date,,JPY/IRS/LI6M-F/10Y,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/FRA/LI6M/6X12,-0.000131474186822,,Up,End Date,,JPY/IRS/LI6M-F/9Y,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/18M,-2.57266617273E-05,,Up,End Date,,JPY/IRS/LI6M-F/8Y,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/2Y,4.90224432981E-05,,Up,End Date,,JPY/IRS/LI6M-F/7Y,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/3Y,0.000136492881617,,Up,End Date,,JPY/IRS/LI6M-F/6Y,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/4Y,0.000199052102853,,Up,End Date,,JPY/IRS/LI6M-F/5Y,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/5Y,0.000299020607376,,Up,End Date,,JPY/IRS/LI6M-F/4Y,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/6Y,0.000423971681161,,Up,End Date,,JPY/IRS/LI6M-F/3Y,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/7Y,0.00057391431772,,Up,End Date,,JPY/IRS/LI6M-F/2Y,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/8Y,0.000736495626845,,Up,End Date,,JPY/IRS/LI6M-F/18M,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/9Y,0.000936800136354,,Up,End Date,,JPY/FRA/LI6M/6X12,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/10Y,0.00114997608422,,Up,End Date,,JPY/FRA/LI6M/5X11,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/12Y,0.00161524352785,,Up,End Date,,JPY/FRA/LI6M/4X10,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/15Y,0.00241251576016,,Up,End Date,,JPY/FRA/LI6M/3X9,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/20Y,0.00368213490827,,Up,End Date,,JPY/FRA/LI6M/2X8,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/25Y,0.00474004660459,,Up,End Date,,JPY/FRA/LI6M/1X7,No,,
,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/30Y,0.00559187787779,,Up,End Date,JY0006M,JPY/LIBOR/6M,No,,
