YIELDCURVE,,,,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.EXTERN_ID1,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UNDERLYING_YIELD_CURVE,UNDERLYING_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,SPREAD_TYPE,,
Default,JPY,,Boot Strap,Yes,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,TI0006M,JPY/TIBOR/6M,Interest Rate,Spot Rate,Act/365,Continuous,JPY-LI-6M,JPY-LI-6M,60,1,JPY-TI-6M,Spread,TI0006M,JPY/TIBOR/6M,5.30777048189E-05,,Up,End Date,TI0006M,JPY/TIBOR/6M,No,,
,,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-TI6M/1Y,-0.000304631144872,,Up,End Date,,JPY/IRS/LI6M-TI6M/30Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-TI6M/18M,-0.000419762418403,,Up,End Date,,JPY/IRS/LI6M-TI6M/25Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-TI6M/2Y,-0.000447142637999,,Up,End Date,,JPY/IRS/LI6M-TI6M/20Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-TI6M/3Y,-0.000412155623351,,Up,End Date,,JPY/IRS/LI6M-TI6M/15Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-TI6M/4Y,-0.000301349143717,,Up,End Date,,JPY/IRS/LI6M-TI6M/12Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-TI6M/5Y,-0.000165829811885,,Up,End Date,,JPY/IRS/LI6M-TI6M/10Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-TI6M/6Y,-5.55675122838E-05,,Up,End Date,,JPY/IRS/LI6M-TI6M/9Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-TI6M/7Y,1.72630913642E-05,,Up,End Date,,JPY/IRS/LI6M-TI6M/8Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-TI6M/8Y,8.37172438548E-05,,Up,End Date,,JPY/IRS/LI6M-TI6M/7Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-TI6M/9Y,0.000143480850186,,Up,End Date,,JPY/IRS/LI6M-TI6M/6Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-TI6M/10Y,0.000196901797443,,Up,End Date,,JPY/IRS/LI6M-TI6M/5Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-TI6M/12Y,0.000278408905982,,Up,End Date,,JPY/IRS/LI6M-TI6M/4Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-TI6M/15Y,0.000355741012996,,Up,End Date,,JPY/IRS/LI6M-TI6M/3Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-TI6M/20Y,0.000376071815476,,Up,End Date,,JPY/IRS/LI6M-TI6M/2Y,No,,
,,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-TI6M/25Y,0.000400471229126,,Up,End Date,,JPY/IRS/LI6M-TI6M/18M,No,,
,,,,,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-TI6M/30Y,0.000415019264644,,Up,End Date,,JPY/IRS/LI6M-TI6M/1Y,No,,
