CONTEXTLINK,,,,,,,,,,/CONTEXTLINK
CONTEXT_SEQNBR.NAME,INSADDR.INSID,GROUP_CHLNBR.LIST,GROUP_CHLNBR.ENTRY,CURR.INSID,DISC_TYPE_CHLNBR.LIST,DISC_TYPE_CHLNBR.ENTRY,MAPPING_TYPE,NAME,TYPE,
Global,USD,,,JPY,,,Instrument,JPY-FX,Yield Curve,
Global,,,,JPY,DiscType,FX,Instrument,JPY-FX,Yield Curve,
Global,JPY/LIBOR/3M,,,JPY,,,Instrument,JPY-LI-3M,Yield Curve,
Global,JPY/LIBOR/6M,,,JPY,,,Instrument,JPY-LI-6M,Yield Curve,
Global,,,,JPY,DiscType,IBOR,Instrument,JPY-SWAP,Yield Curve,
Global,,ValGroup,RateIndex,JPY,,,Val Group,JPY-SWAP,Yield Curve,
Global,JPY/TIBOR/6M,,,JPY,,,Instrument,JPY-TI-6M,Yield Curve,
Global,,,,JPY,,,Instrument,JPY-TONA,Yield Curve,
Global,JPY/TONA,,,JPY,,,Instrument,JPY-TONA,Yield Curve,
Global,,,,JPY,DiscType,COLL-USD,Instrument,JPY-COLL-USD,Yield Curve,
Global,,ValGroup,CCS-Basis,JPY,,,Val Group,JPY-COLL-USD,Yield Curve,
Global,USD,,,JPY,DiscType,COLL-USD,Instrument,JPY-COLL-USD,Yield Curve,
