YIELDCURVE,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REF_INSADDR.EXTERN_ID1,REF_INSADDR.INSID,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,USD,,Boot Strap,Default,Flat,Linear RT,Spot Rate,Zero Coupon Curve,SOFRRATE,USD/SOFR,Interest Rate,Spot Rate,Act/360,Continuous,60,1,USD-SOFR,Benchmark,SOFRRATE,USD/SOFR,0.04553748,,Up,End Date,SOFRRATE,USD/SOFR,No,,
,,,,,,,,,,,,,,,,,,,USOSFR9,USD/IRS/SO1D-F/9Y,0.034419813,,Up,End Date,USOSFR9,USD/IRS/SO1D-F/9Y,No,,
,,,,,,,,,,,,,,,,,,,USOSFR8,USD/IRS/SO1D-F/8Y,0.034790106,,Up,End Date,USOSFR8,USD/IRS/SO1D-F/8Y,No,,
,,,,,,,,,,,,,,,,,,,USOSFR7,USD/IRS/SO1D-F/7Y,0.0353572,,Up,End Date,USOSFR7,USD/IRS/SO1D-F/7Y,No,,
,,,,,,,,,,,,,,,,,,,USOSFR6,USD/IRS/SO1D-F/6Y,0.036160358,,Up,End Date,USOSFR6,USD/IRS/SO1D-F/6Y,No,,
,,,,,,,,,,,,,,,,,,,USOSFR5,USD/IRS/SO1D-F/5Y,0.037284884,,Up,End Date,USOSFR5,USD/IRS/SO1D-F/5Y,No,,
,,,,,,,,,,,,,,,,,,,USOSFR50,USD/IRS/SO1D-F/50Y,0.023350794,,Up,End Date,USOSFR50,USD/IRS/SO1D-F/50Y,No,,
,,,,,,,,,,,,,,,,,,,USOSFR4,USD/IRS/SO1D-F/4Y,0.039026094,,Up,End Date,USOSFR4,USD/IRS/SO1D-F/4Y,No,,
,,,,,,,,,,,,,,,,,,,USOSFR40,USD/IRS/SO1D-F/40Y,0.026630215,,Up,End Date,USOSFR40,USD/IRS/SO1D-F/40Y,No,,
,,,,,,,,,,,,,,,,,,,USOSFR3,USD/IRS/SO1D-F/3Y,0.041733614,,Up,End Date,USOSFR3,USD/IRS/SO1D-F/3Y,No,,
,,,,,,,,,,,,,,,,,,,USOSFR30,USD/IRS/SO1D-F/30Y,0.02988916,,Up,End Date,USOSFR30,USD/IRS/SO1D-F/30Y,No,,
,,,,,,,,,,,,,,,,,,,USOSFR2,USD/IRS/SO1D-F/2Y,0.045890841,,Up,End Date,USOSFR2,USD/IRS/SO1D-F/2Y,No,,
,,,,,,,,,,,,,,,,,,,USOSFR25,USD/IRS/SO1D-F/25Y,0.031392781,,Up,End Date,USOSFR25,USD/IRS/SO1D-F/25Y,No,,
,,,,,,,,,,,,,,,,,,,USOSFR20,USD/IRS/SO1D-F/20Y,0.032884936,,Up,End Date,USOSFR20,USD/IRS/SO1D-F/20Y,No,,
,,,,,,,,,,,,,,,,,,,USOSFR15,USD/IRS/SO1D-F/15Y,0.033567737,,Up,End Date,USOSFR15,USD/IRS/SO1D-F/15Y,No,,
,,,,,,,,,,,,,,,,,,,USOSFR12,USD/IRS/SO1D-F/12Y,0.033835748,,Up,End Date,USOSFR12,USD/IRS/SO1D-F/12Y,No,,
,,,,,,,,,,,,,,,,,,,USOSFR10,USD/IRS/SO1D-F/10Y,0.034158044,,Up,End Date,USOSFR10,USD/IRS/SO1D-F/10Y,No,,
,,,,,,,,,,,,,,,,,,,USOSFRI,USD/IRS/SO1D-F/9M,0.050214676,,Up,End Date,USOSFRI,USD/IRS/SO1D-F/9M,No,,
,,,,,,,,,,,,,,,,,,,USOSFRH,USD/IRS/SO1D-F/8M,0.04999042,,Up,End Date,USOSFRH,USD/IRS/SO1D-F/8M,No,,
,,,,,,,,,,,,,,,,,,,USOSFRG,USD/IRS/SO1D-F/7M,0.049737701,,Up,End Date,USOSFRG,USD/IRS/SO1D-F/7M,No,,
,,,,,,,,,,,,,,,,,,,USOSFRF,USD/IRS/SO1D-F/6M,0.049287449,,Up,End Date,USOSFRF,USD/IRS/SO1D-F/6M,No,,
,,,,,,,,,,,,,,,,,,,USOSFRE,USD/IRS/SO1D-F/5M,0.048789861,,Up,End Date,USOSFRE,USD/IRS/SO1D-F/5M,No,,
,,,,,,,,,,,,,,,,,,,USOSFRD,USD/IRS/SO1D-F/4M,0.048146316,,Up,End Date,USOSFRD,USD/IRS/SO1D-F/4M,No,,
,,,,,,,,,,,,,,,,,,,USOSFR3Z,USD/IRS/SO1D-F/3W,0.045530474,,Up,End Date,USOSFR3Z,USD/IRS/SO1D-F/3W,No,,
,,,,,,,,,,,,,,,,,,,USOSFRC,USD/IRS/SO1D-F/3M,0.047320259,,Up,End Date,USOSFRC,USD/IRS/SO1D-F/3M,No,,
,,,,,,,,,,,,,,,,,,,USOSFR2Z,USD/IRS/SO1D-F/2W,0.045532704,,Up,End Date,USOSFR2Z,USD/IRS/SO1D-F/2W,No,,
,,,,,,,,,,,,,,,,,,,USOSFRB,USD/IRS/SO1D-F/2M,0.046586257,,Up,End Date,USOSFRB,USD/IRS/SO1D-F/2M,No,,
