CALENDAR,,,,,CALENDARDATE,,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,DESCRIPTION,,
AUSY,Sydney,Loaded using CalendarUpload,1,192,2016-01-01,New Year's Day,,
,,,,,2016-01-26,Australia Day,,
,,,,,2016-03-25,Good Friday,,
,,,,,2016-03-26,Easter Saturday,,
,,,,,2016-03-28,Easter Monday,,
,,,,,2016-04-25,ANZAC Day,,
,,,,,2016-06-13,Queen's Birthday,,
,,,,,2016-08-01,Bank Holiday - NSW,,
,,,,,2016-10-03,Labour Day - NSW,,
,,,,,2016-12-26,Christmas Day OBS,,
,,,,,2016-12-27,Boxing Day OBS,,
,,,,,2017-01-02,New Year's Day OBS,,
,,,,,2017-01-26,Australia Day,,
,,,,,2017-04-14,Good Friday,,
,,,,,2017-04-15,Easter Saturday,,
,,,,,2017-04-17,Easter Monday,,
,,,,,2017-04-25,ANZAC Day,,
,,,,,2017-06-12,Queen's Birthday,,
,,,,,2017-08-07,Bank Holiday - NSW,,
,,,,,2017-10-02,Labour Day - NSW,,
,,,,,2017-12-25,Christmas Day,,
,,,,,2017-12-26,Boxing Day,,
,,,,,2018-01-01,New Year's Day,,
,,,,,2018-01-26,Australia Day,,
,,,,,2018-03-30,Good Friday,,
,,,,,2018-03-31,Easter Saturday,,
,,,,,2018-04-02,Easter Monday,,
,,,,,2018-04-25,ANZAC Day,,
,,,,,2018-06-11,Queen's Birthday,,
,,,,,2018-08-06,Bank Holiday - NSW,,
,,,,,2018-10-01,Labour Day - NSW,,
,,,,,2018-12-25,Christmas Day,,
,,,,,2018-12-26,Boxing Day,,
,,,,,2019-01-01,New Year's Day,,
,,,,,2019-01-28,Australia Day OBS,,
,,,,,2019-04-19,Good Friday,,
,,,,,2019-04-20,Easter Saturday,,
,,,,,2019-04-22,Easter Monday,,
,,,,,2019-04-25,ANZAC Day,,
,,,,,2019-06-10,Queen's Birthday,,
,,,,,2019-08-05,Bank Holiday - NSW,,
,,,,,2019-10-07,Labour Day - NSW,,
,,,,,2019-12-25,Christmas Day,,
,,,,,2019-12-26,Boxing Day,,
,,,,,2020-01-01,New Year's Day,,
,,,,,2020-01-27,Australia Day OBS,,
,,,,,2020-04-10,Good Friday,,
,,,,,2020-04-11,Easter Saturday,,
,,,,,2020-04-13,Easter Monday,,
,,,,,2020-04-25,ANZAC Day,,
,,,,,2020-06-08,Queen's Birthday,,
,,,,,2020-08-03,Bank Holiday - NSW,,
,,,,,2020-10-05,Labour Day - NSW,,
,,,,,2020-12-25,Christmas Day,,
,,,,,2020-12-28,Boxing Day OBS,,
,,,,,2021-01-01,New Year's Day,,
,,,,,2021-01-26,Australia Day,,
,,,,,2021-04-02,Good Friday,,
,,,,,2021-04-03,Easter Saturday,,
,,,,,2021-04-05,Easter Monday,,
,,,,,2021-04-26,ANZAC Day OBS,,
,,,,,2021-06-14,Queen's Birthday,,
,,,,,2021-08-02,Bank Holiday - NSW,,
,,,,,2021-10-04,Labour Day - NSW,,
,,,,,2021-12-27,Christmas Day OBS,,
,,,,,2021-12-28,Boxing Day OBS,,
,,,,,2022-01-03,New Year's Day OBS,,
,,,,,2022-01-26,Australia Day,,
,,,,,2022-04-15,Good Friday,,
,,,,,2022-04-16,Easter Saturday,,
,,,,,2022-04-18,Easter Monday,,
,,,,,2022-04-25,ANZAC Day,,
,,,,,2022-06-13,Queen's Birthday,,
,,,,,2022-08-01,Bank Holiday - NSW,,
