CALENDAR,,,,,CALENDARDATE,,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,DESCRIPTION,,
CATO,Toronto,Loaded using CalendarUpload,2,192,2016-01-01,New Year's Day,,
,,,,,2016-02-15,Family Day,,
,,,,,2016-03-25,Good Friday,,
,,,,,2016-05-23,Victoria/Patriots' Day,,
,,,,,2016-07-01,Canada Day,,
,,,,,2016-08-01,Civic Holiday,,
,,,,,2016-09-05,Labour Day,,
,,,,,2016-10-10,Thanksgiving,,
,,,,,2016-11-11,Remembrance Day,,
,,,,,2016-12-26,Christmas OBS,,
,,,,,2016-12-27,Boxing Day OBS,,
,,,,,2017-01-02,New Year's Day OBS,,
,,,,,2017-02-20,Family Day,,
,,,,,2017-04-14,Good Friday,,
,,,,,2017-05-22,Victoria/Patriots' Day,,
,,,,,2017-07-03,Canada Day OBS,,
,,,,,2017-08-07,Civic Holiday,,
,,,,,2017-09-04,Labour Day,,
,,,,,2017-10-09,Thanksgiving,,
,,,,,2017-11-13,Remembrance Day OBS,,
,,,,,2017-12-25,Christmas,,
,,,,,2017-12-26,Boxing Day,,
,,,,,2018-01-01,New Year's Day,,
,,,,,2018-02-19,Family Day,,
,,,,,2018-03-30,Good Friday,,
,,,,,2018-05-21,Victoria/Patriots' Day,,
,,,,,2018-07-02,Canada Day OBS,,
,,,,,2018-08-06,Civic Holiday,,
,,,,,2018-09-03,Labour Day,,
,,,,,2018-10-08,Thanksgiving,,
,,,,,2018-11-12,Remembrance Day OBS,,
,,,,,2018-12-25,Christmas,,
,,,,,2018-12-26,Boxing Day,,
,,,,,2019-01-01,New Year's Day,,
,,,,,2019-02-18,Family Day,,
,,,,,2019-04-19,Good Friday,,
,,,,,2019-05-20,Victoria/Patriots' Day,,
,,,,,2019-07-01,Canada Day,,
,,,,,2019-08-05,Civic Holiday,,
,,,,,2019-09-02,Labour Day,,
,,,,,2019-10-14,Thanksgiving,,
,,,,,2019-11-11,Remembrance Day,,
,,,,,2019-12-25,Christmas,,
,,,,,2019-12-26,Boxing Day,,
,,,,,2020-01-01,New Year's Day,,
,,,,,2020-02-17,Family Day,,
,,,,,2020-04-10,Good Friday,,
,,,,,2020-05-18,Victoria/Patriots' Day,,
,,,,,2020-07-01,Canada Day,,
,,,,,2020-08-03,Civic Holiday,,
,,,,,2020-09-07,Labour Day,,
,,,,,2020-10-12,Thanksgiving,,
,,,,,2020-11-11,Remembrance Day,,
,,,,,2020-12-25,Christmas,,
,,,,,2020-12-28,Boxing Day OBS,,
,,,,,2021-01-01,New Year's Day,,
,,,,,2021-02-15,Family Day,,
,,,,,2021-04-02,Good Friday,,
,,,,,2021-05-24,Victoria/Patriots' Day,,
,,,,,2021-07-01,Canada Day,,
,,,,,2021-08-02,Civic Holiday,,
,,,,,2021-09-06,Labour Day,,
,,,,,2021-10-11,Thanksgiving,,
,,,,,2021-11-11,Remembrance Day,,
,,,,,2021-12-27,Christmas OBS,,
,,,,,2021-12-28,Boxing Day OBS,,
,,,,,2022-01-03,New Year's Day OBS,,
,,,,,2022-02-21,Family Day,,
,,,,,2022-04-15,Good Friday,,
,,,,,2022-05-23,Victoria/Patriots' Day,,
,,,,,2022-07-01,Canada Day,,
,,,,,2022-08-01,Civic Holiday,,
,,,,,2022-09-05,Labour Day,,
,,,,,2022-10-10,Thanksgiving,,
,,,,,2022-11-11,Remembrance Day,,
,,,,,2022-12-26,Christmas OBS,,
,,,,,2022-12-27,Boxing Day OBS,,
,,,,,2023-01-02,New Year's Day OBS,,
,,,,,2023-02-20,Family Day,,
,,,,,2023-04-07,Good Friday,,
,,,,,2023-05-22,Victoria/Patriots' Day,,
,,,,,2023-07-03,Canada Day OBS,,
,,,,,2023-08-07,Civic Holiday,,
,,,,,2023-09-04,Labour Day,,
,,,,,2023-10-09,Thanksgiving,,
,,,,,2023-11-13,Remembrance Day OBS,,
,,,,,2023-12-25,Christmas,,
,,,,,2023-12-26,Boxing Day,,
,,,,,2024-01-01,New Year's Day,,
,,,,,2024-02-19,Family Day,,
,,,,,2024-03-29,Good Friday,,
,,,,,2024-05-20,Victoria/Patriots' Day,,
,,,,,2024-07-01,Canada Day,,
,,,,,2024-08-05,Civic Holiday,,
,,,,,2024-09-02,Labour Day,,
,,,,,2024-10-14,Thanksgiving,,
,,,,,2024-11-11,Remembrance Day,,
,,,,,2024-12-25,Christmas,,
,,,,,2024-12-26,Boxing Day,,
,,,,,2025-01-01,New Year's Day,,
,,,,,2025-02-17,Family Day,,
,,,,,2025-04-18,Good Friday,,
,,,,,2025-05-19,Victoria/Patriots' Day,,
,,,,,2025-07-01,Canada Day,,
,,,,,2025-08-04,Civic Holiday,,
,,,,,2025-09-01,Labour Day,,
,,,,,2025-10-13,Thanksgiving,,
,,,,,2025-11-11,Remembrance Day,,
,,,,,2025-12-25,Christmas,,
,,,,,2025-12-26,Boxing Day,,
,,,,,2026-01-01,New Year's Day,,
,,,,,2026-02-16,Family Day,,
,,,,,2026-04-03,Good Friday,,
,,,,,2026-05-18,Victoria/Patriots' Day,,
,,,,,2026-07-01,Canada Day,,
,,,,,2026-08-03,Civic Holiday,,
,,,,,2026-09-07,Labour Day,,
,,,,,2026-10-12,Thanksgiving,,
,,,,,2026-11-11,Remembrance Day,,
,,,,,2026-12-25,Christmas,,
,,,,,2026-12-28,Boxing Day OBS,,
,,,,,2027-01-01,New Year's Day,,
,,,,,2027-02-15,Family Day,,
,,,,,2027-03-26,Good Friday,,
,,,,,2027-05-24,Victoria/Patriots' Day,,
,,,,,2027-07-01,Canada Day,,
,,,,,2027-08-02,Civic Holiday,,
,,,,,2027-09-06,Labour Day,,
,,,,,2027-10-11,Thanksgiving,,
,,,,,2027-11-11,Remembrance Day,,
,,,,,2027-12-27,Christmas OBS,,
,,,,,2027-12-28,Boxing Day OBS,,
,,,,,2028-01-03,New Year's Day OBS,,
,,,,,2028-02-21,Family Day,,
,,,,,2028-04-14,Good Friday,,
,,,,,2028-05-22,Victoria/Patriots' Day,,
,,,,,2028-07-03,Canada Day OBS,,
,,,,,2028-08-07,Civic Holiday,,
,,,,,2028-09-04,Labour Day,,
