CALENDAR,,,,,CALENDARDATE,,/CALENDARDATE,/CALENDAR
BUSINESS_CENTER,CALID,DESCRIPTION,SPOT_BANKING_DAYS,WEEKEND_DAYS,DAYNBR,DESCRIPTION,,
CHZU,Zurich,Nov2021: Updated to 2051,2,192,2016-01-01,New Year's Day,,
,,,,,2016-01-02,Berchtoldstag,,
,,,,,2016-03-25,Good Friday,,
,,,,,2016-03-28,Easter Monday,,
,,,,,2016-05-01,Labour Day,,
,,,,,2016-05-05,Ascension Day,,
,,,,,2016-05-16,Whitmonday,,
,,,,,2016-08-01,National Day,,
,,,,,2016-12-25,Christmas,,
,,,,,2016-12-26,St. Stephen's Day,,
,,,,,2017-01-01,New Year's Day,,
,,,,,2017-01-02,Berchtoldstag,,
,,,,,2017-04-14,Good Friday,,
,,,,,2017-04-17,Easter Monday,,
,,,,,2017-05-01,Labour Day,,
,,,,,2017-05-25,Ascension Day,,
,,,,,2017-06-05,Whitmonday,,
,,,,,2017-08-01,National Day,,
,,,,,2017-12-25,Christmas,,
,,,,,2017-12-26,St. Stephen's Day,,
,,,,,2018-01-01,New Year's Day,,
,,,,,2018-01-02,Berchtoldstag,,
,,,,,2018-03-30,Good Friday,,
,,,,,2018-04-02,Easter Monday,,
,,,,,2018-05-01,Labour Day,,
,,,,,2018-05-10,Ascension Day,,
,,,,,2018-05-21,Whitmonday,,
,,,,,2018-08-01,National Day,,
,,,,,2018-12-25,Christmas,,
,,,,,2018-12-26,St. Stephen's Day,,
,,,,,2019-01-01,New Year's Day,,
,,,,,2019-01-02,Berchtoldstag,,
,,,,,2019-04-19,Good Friday,,
,,,,,2019-04-22,Easter Monday,,
,,,,,2019-05-01,Labour Day,,
,,,,,2019-05-30,Ascension Day,,
,,,,,2019-06-10,Whitmonday,,
,,,,,2019-08-01,National Day,,
,,,,,2019-12-25,Christmas,,
,,,,,2019-12-26,St. Stephen's Day,,
,,,,,2020-01-01,New Year's Day,,
,,,,,2020-01-02,Berchtoldstag,,
,,,,,2020-04-10,Good Friday,,
,,,,,2020-04-13,Easter Monday,,
,,,,,2020-05-01,Labour Day,,
,,,,,2020-05-21,Ascension Day,,
,,,,,2020-06-01,Whitmonday,,
,,,,,2020-08-01,National Day,,
,,,,,2020-12-25,Christmas,,
,,,,,2020-12-26,St. Stephen's Day,,
,,,,,2021-01-01,New Year's Day,,
,,,,,2021-01-02,Berchtoldstag,,
,,,,,2021-04-02,Good Friday,,
,,,,,2021-04-05,Easter Monday,,
,,,,,2021-05-01,Labour Day,,
,,,,,2021-05-13,Ascension Day,,
,,,,,2021-05-24,Whitmonday,,
,,,,,2021-08-01,National Day,,
,,,,,2021-12-25,Christmas,,
,,,,,2021-12-26,St. Stephen's Day,,
,,,,,2022-01-01,New Year's Day,,
,,,,,2022-01-02,Berchtoldstag,,
,,,,,2022-04-15,Good Friday,,
,,,,,2022-04-18,Easter Monday,,
,,,,,2022-05-01,Labour Day,,
,,,,,2022-05-26,Ascension Day,,
,,,,,2022-06-06,Whitmonday,,
,,,,,2022-08-01,National Day,,
,,,,,2022-12-25,Christmas,,
,,,,,2022-12-26,St. Stephen's Day,,
,,,,,2023-01-01,New Year's Day,,
,,,,,2023-01-02,Berchtoldstag,,
,,,,,2023-04-07,Good Friday,,
,,,,,2023-04-10,Easter Monday,,
,,,,,2023-05-01,Labour Day,,
,,,,,2023-05-18,Ascension Day,,
,,,,,2023-05-29,Whitmonday,,
,,,,,2023-08-01,National Day,,
,,,,,2023-12-25,Christmas,,
,,,,,2023-12-26,St. Stephen's Day,,
,,,,,2024-01-01,New Year's Day,,
,,,,,2024-01-02,Berchtoldstag,,
,,,,,2024-03-29,Good Friday,,
,,,,,2024-04-01,Easter Monday,,
,,,,,2024-05-01,Labour Day,,
,,,,,2024-05-09,Ascension Day,,
,,,,,2024-05-20,Whitmonday,,
,,,,,2024-08-01,National Day,,
,,,,,2024-12-25,Christmas,,
,,,,,2024-12-26,St. Stephen's Day,,
,,,,,2025-01-01,New Year's Day,,
,,,,,2025-01-02,Berchtoldstag,,
,,,,,2025-04-18,Good Friday,,
,,,,,2025-04-21,Easter Monday,,
,,,,,2025-05-01,Labour Day,,
,,,,,2025-05-29,Ascension Day,,
,,,,,2025-06-09,Whitmonday,,
,,,,,2025-08-01,National Day,,
,,,,,2025-12-25,Christmas,,
,,,,,2025-12-26,St. Stephen's Day,,
,,,,,2026-01-01,New Year's Day,,
,,,,,2026-01-02,Berchtoldstag,,
,,,,,2026-04-03,Good Friday,,
,,,,,2026-04-06,Easter Monday,,
,,,,,2026-05-01,Labour Day,,
,,,,,2026-05-14,Ascension Day,,
,,,,,2026-05-25,Whitmonday,,
,,,,,2026-08-01,National Day,,
,,,,,2026-12-25,Christmas,,
,,,,,2026-12-26,St. Stephen's Day,,
,,,,,2027-01-01,New Year's Day,,
,,,,,2027-01-02,Berchtoldstag,,
,,,,,2027-03-26,Good Friday,,
,,,,,2027-03-29,Easter Monday,,
,,,,,2027-05-01,Labour Day,,
,,,,,2027-05-06,Ascension Day,,
,,,,,2027-05-17,Whitmonday,,
,,,,,2027-08-01,National Day,,
,,,,,2027-12-25,Christmas,,
,,,,,2027-12-26,St. Stephen's Day,,
,,,,,2028-01-01,New Year's Day,,
,,,,,2028-01-02,Berchtoldstag,,
,,,,,2028-04-14,Good Friday,,
,,,,,2028-04-17,Easter Monday,,
,,,,,2028-05-01,Labour Day,,
,,,,,2028-05-25,Ascension Day,,
,,,,,2028-06-05,Whitmonday,,
,,,,,2028-08-01,National Day,,
,,,,,2028-12-25,Christmas,,
,,,,,2028-12-26,St. Stephen's Day,,
,,,,,2029-01-01,New Year's Day,,
,,,,,2029-01-02,Berchtoldstag,,
,,,,,2029-03-30,Good Friday,,
,,,,,2029-04-02,Easter Monday,,
,,,,,2029-05-01,Labour Day,,
,,,,,2029-05-10,Ascension Day,,
,,,,,2029-05-21,Whitmonday,,
,,,,,2029-08-01,National Day,,
,,,,,2029-12-25,Christmas,,
,,,,,2029-12-26,St. Stephen's Day,,
,,,,,2030-01-01,New Year's Day,,
,,,,,2030-01-02,Berchtoldstag,,
,,,,,2030-04-19,Good Friday,,
,,,,,2030-04-22,Easter Monday,,
,,,,,2030-05-01,Labour Day,,
,,,,,2030-05-30,Ascension Day,,
,,,,,2030-06-10,Whitmonday,,
,,,,,2030-08-01,National Day,,
,,,,,2030-12-25,Christmas,,
,,,,,2030-12-26,St. Stephen's Day,,
,,,,,2031-01-01,New Year's Day,,
,,,,,2031-01-02,Berchtoldstag,,
,,,,,2031-04-11,Good Friday,,
,,,,,2031-04-14,Easter Monday,,
,,,,,2031-05-01,Labour Day,,
,,,,,2031-05-22,Ascension Day,,
,,,,,2031-06-02,Whitmonday,,
,,,,,2031-08-01,National Day,,
,,,,,2031-12-25,Christmas,,
,,,,,2031-12-26,St. Stephen's Day,,
,,,,,2032-01-01,New Year's Day,,
,,,,,2032-01-02,Berchtoldstag,,
,,,,,2032-03-26,Good Friday,,
,,,,,2032-03-29,Easter Monday,,
,,,,,2032-05-01,Labour Day,,
,,,,,2032-05-06,Ascension Day,,
,,,,,2032-05-17,Whitmonday,,
,,,,,2032-08-01,National Day,,
,,,,,2032-12-25,Christmas,,
,,,,,2032-12-26,St. Stephen's Day,,
,,,,,2033-01-01,New Year's Day,,
,,,,,2033-01-02,Berchtoldstag,,
,,,,,2033-04-15,Good Friday,,
,,,,,2033-04-18,Easter Monday,,
,,,,,2033-05-01,Labour Day,,
,,,,,2033-05-26,Ascension Day,,
,,,,,2033-06-06,Whitmonday,,
,,,,,2033-08-01,National Day,,
,,,,,2033-12-25,Christmas,,
,,,,,2033-12-26,St. Stephen's Day,,
,,,,,2034-01-01,New Year's Day,,
,,,,,2034-01-02,Berchtoldstag,,
,,,,,2034-04-07,Good Friday,,
,,,,,2034-04-10,Easter Monday,,
,,,,,2034-05-01,Labour Day,,
,,,,,2034-05-18,Ascension Day,,
,,,,,2034-05-29,Whitmonday,,
,,,,,2034-08-01,National Day,,
,,,,,2034-12-25,Christmas,,
,,,,,2034-12-26,St. Stephen's Day,,
,,,,,2035-01-01,New Year's Day,,
,,,,,2035-01-02,Berchtoldstag,,
,,,,,2035-03-23,Good Friday,,
,,,,,2035-03-26,Easter Monday,,
,,,,,2035-05-01,Labour Day,,
,,,,,2035-05-03,Ascension Day,,
,,,,,2035-05-14,Whitmonday,,
,,,,,2035-08-01,National Day,,
,,,,,2035-12-25,Christmas,,
,,,,,2035-12-26,St. Stephen's Day,,
,,,,,2036-01-01,New Year's Day,,
,,,,,2036-01-02,Berchtoldstag,,
,,,,,2036-04-11,Good Friday,,
,,,,,2036-04-14,Easter Monday,,
,,,,,2036-05-01,Labour Day,,
,,,,,2036-05-22,Ascension Day,,
,,,,,2036-06-02,Whitmonday,,
,,,,,2036-08-01,National Day,,
,,,,,2036-12-25,Christmas,,
,,,,,2036-12-26,St. Stephen's Day,,
,,,,,2037-01-01,New Year's Day,,
,,,,,2037-01-02,Berchtoldstag,,
,,,,,2037-04-03,Good Friday,,
,,,,,2037-04-06,Easter Monday,,
,,,,,2037-05-01,Labour Day,,
,,,,,2037-05-14,Ascension Day,,
,,,,,2037-05-25,Whitmonday,,
,,,,,2037-08-01,National Day,,
,,,,,2037-12-25,Christmas,,
,,,,,2037-12-26,St. Stephen's Day,,
,,,,,2038-01-01,New Year's Day,,
,,,,,2038-01-02,Berchtoldstag,,
,,,,,2038-04-23,Good Friday,,
,,,,,2038-04-26,Easter Monday,,
,,,,,2038-05-01,Labour Day,,
,,,,,2038-06-03,Ascension Day,,
,,,,,2038-06-14,Whitmonday,,
,,,,,2038-08-01,National Day,,
,,,,,2038-12-25,Christmas,,
,,,,,2038-12-26,St. Stephen's Day,,
,,,,,2039-01-01,New Year's Day,,
,,,,,2039-01-02,Berchtoldstag,,
,,,,,2039-04-08,Good Friday,,
,,,,,2039-04-11,Easter Monday,,
,,,,,2039-05-01,Labour Day,,
,,,,,2039-05-19,Ascension Day,,
,,,,,2039-05-30,Whitmonday,,
,,,,,2039-08-01,National Day,,
,,,,,2039-12-25,Christmas,,
,,,,,2039-12-26,St. Stephen's Day,,
,,,,,2040-01-01,New Year's Day,,
,,,,,2040-01-02,Berchtoldstag,,
,,,,,2040-03-30,Good Friday,,
,,,,,2040-04-02,Easter Monday,,
,,,,,2040-05-01,Labour Day,,
,,,,,2040-05-10,Ascension Day,,
,,,,,2040-05-21,Whitmonday,,
,,,,,2040-08-01,National Day,,
,,,,,2040-12-25,Christmas,,
,,,,,2040-12-26,St. Stephen's Day,,
,,,,,2041-01-01,New Year's Day,,
,,,,,2041-01-02,Berchtoldstag,,
,,,,,2041-04-19,Good Friday,,
,,,,,2041-04-22,Easter Monday,,
,,,,,2041-05-01,Labour Day,,
,,,,,2041-05-30,Ascension Day,,
,,,,,2041-06-10,Whitmonday,,
,,,,,2041-08-01,National Day,,
,,,,,2041-12-25,Christmas,,
,,,,,2041-12-26,St. Stephen's Day,,
,,,,,2042-01-01,New Year's Day,,
,,,,,2042-01-02,Berchtoldstag,,
,,,,,2042-04-04,Good Friday,,
,,,,,2042-04-07,Easter Monday,,
,,,,,2042-05-01,Labour Day,,
,,,,,2042-05-15,Ascension Day,,
,,,,,2042-05-26,Whitmonday,,
,,,,,2042-08-01,National Day,,
,,,,,2042-12-25,Christmas,,
,,,,,2042-12-26,St. Stephen's Day,,
,,,,,2043-01-01,New Year's Day,,
,,,,,2043-01-02,Berchtoldstag,,
,,,,,2043-03-27,Good Friday,,
,,,,,2043-03-30,Easter Monday,,
,,,,,2043-05-01,Labour Day,,
,,,,,2043-05-07,Ascension Day,,
,,,,,2043-05-18,Whitmonday,,
,,,,,2043-08-01,National Day,,
,,,,,2043-12-25,Christmas,,
,,,,,2043-12-26,St. Stephen's Day,,
,,,,,2044-01-01,New Year's Day,,
,,,,,2044-01-02,Berchtoldstag,,
,,,,,2044-04-15,Good Friday,,
,,,,,2044-04-18,Easter Monday,,
,,,,,2044-05-01,Labour Day,,
,,,,,2044-05-26,Ascension Day,,
,,,,,2044-06-06,Whitmonday,,
,,,,,2044-08-01,National Day,,
,,,,,2044-12-25,Christmas,,
,,,,,2044-12-26,St. Stephen's Day,,
,,,,,2045-01-01,New Year's Day,,
,,,,,2045-01-02,Berchtoldstag,,
,,,,,2045-04-07,Good Friday,,
,,,,,2045-04-10,Easter Monday,,
,,,,,2045-05-01,Labour Day,,
,,,,,2045-05-18,Ascension Day,,
,,,,,2045-05-29,Whitmonday,,
,,,,,2045-08-01,National Day,,
,,,,,2045-12-25,Christmas,,
,,,,,2045-12-26,St. Stephen's Day,,
,,,,,2046-01-01,New Year's Day,,
,,,,,2046-01-02,Berchtoldstag,,
,,,,,2046-03-23,Good Friday,,
,,,,,2046-03-26,Easter Monday,,
,,,,,2046-05-01,Labour Day,,
,,,,,2046-05-03,Ascension Day,,
,,,,,2046-05-14,Whitmonday,,
,,,,,2046-08-01,National Day,,
,,,,,2046-12-25,Christmas,,
,,,,,2046-12-26,St. Stephen's Day,,
,,,,,2047-01-01,New Year's Day,,
,,,,,2047-01-02,Berchtoldstag,,
,,,,,2047-04-12,Good Friday,,
,,,,,2047-04-15,Easter Monday,,
,,,,,2047-05-01,Labour Day,,
,,,,,2047-05-23,Ascension Day,,
,,,,,2047-06-03,Whitmonday,,
,,,,,2047-08-01,National Day,,
,,,,,2047-12-25,Christmas,,
,,,,,2047-12-26,St. Stephen's Day,,
,,,,,0001-08-01,,,
,,,,,0001-12-25,,,
,,,,,0001-12-26,,,
,,,,,0001-01-01,,,
,,,,,0001-01-02,,,
,,,,,0001-05-01,,,
,,,,,2048-04-03,,,
,,,,,2048-04-06,,,
,,,,,2048-05-14,,,
,,,,,2048-05-25,,,
,,,,,2049-04-16,,,
,,,,,2049-04-19,,,
,,,,,2049-05-27,,,
,,,,,2049-06-07,,,
,,,,,2050-04-08,,,
,,,,,2050-04-11,,,
