YIELDCURVE,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,/YIELDCURVEPOINT,BENCHMARK,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,FORWARD_PERIOD,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,CNY,,USD-SOFR,Boot Strap,Default,Flat,1d,Linear,Spot Rate,Zero Coupon Curve,FX,Spot Rate,Act/360,Continuous,60,1,CNY-FX,Benchmark,USD-CNY/FXS/ON,0,,Up,Curve Sens,USD-CNY/FXS/ON,No,,
,,,,,,,,,,,,,,,,,,,USD-CNY/FXS/7M,0,,Up,Curve Sens,USD-CNY/FXS/7M,No,,
,,,,,,,,,,,,,,,,,,,USD-CNY/FXS/8M,0,,Up,Curve Sens,USD-CNY/FXS/8M,No,,
,,,,,,,,,,,,,,,,,,,USD-CNY/FXS/9M,0,,Up,Curve Sens,USD-CNY/FXS/9M,No,,
,,,,,,,,,,,,,,,,,,,USD-CNY/FXS/10M,0,,Up,Curve Sens,USD-CNY/FXS/10M,No,,
,,,,,,,,,,,,,,,,,,,USD-CNY/FXS/11M,0,,Up,Curve Sens,USD-CNY/FXS/11M,No,,
,,,,,,,,,,,,,,,,,,,USD-CNY/FXS/1W,0,,Up,Curve Sens,USD-CNY/FXS/1W,No,,
,,,,,,,,,,,,,,,,,,,USD-CNY/FXS/2W,0,,Up,Curve Sens,USD-CNY/FXS/2W,No,,
,,,,,,,,,,,,,,,,,,,USD-CNY/FXS/3W,0,,Up,Curve Sens,USD-CNY/FXS/3W,No,,
,,,,,,,,,,,,,,,,,,,USD-CNY/FXS/1M,0,,Up,Curve Sens,USD-CNY/FXS/1M,No,,
,,,,,,,,,,,,,,,,,,,USD-CNY/FXS/2M,0,,Up,Curve Sens,USD-CNY/FXS/2M,No,,
,,,,,,,,,,,,,,,,,,,USD-CNY/FXS/3M,0,,Up,Curve Sens,USD-CNY/FXS/3M,No,,
,,,,,,,,,,,,,,,,,,,USD-CNY/FXS/4M,0,,Up,Curve Sens,USD-CNY/FXS/4M,No,,
,,,,,,,,,,,,,,,,,,,USD-CNY/FXS/5M,0,,Up,Curve Sens,USD-CNY/FXS/5M,No,,
,,,,,,,,,,,,,,,,,,,USD-CNY/FXS/6M,0,,Up,Curve Sens,USD-CNY/FXS/6M,No,,
