YIELDCURVE,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,/YIELDCURVEPOINT,BENCHMARK,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,DEPENDENCY_YIELD_CURVE_SEQNBR.YIELD_CURVE_NAME,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,FORWARD_PERIOD,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,HKD,,USD-SOFR,Boot Strap,Default,Flat,1d,Linear,Spot Rate,Zero Coupon Curve,FX,Spot Rate,Act/360,Continuous,60,1,HKD-FX,Benchmark,USD-HKD/FXS/ON,0,,Up,USD-HKD/FXS/ON,No,,
,,,,,,,,,,,,,,,,,,,USD-HKD/FXS/7M,0,,Up,USD-HKD/FXS/7M,No,,
,,,,,,,,,,,,,,,,,,,USD-HKD/FXS/8M,0,,Up,USD-HKD/FXS/8M,No,,
,,,,,,,,,,,,,,,,,,,USD-HKD/FXS/9M,0,,Up,USD-HKD/FXS/9M,No,,
,,,,,,,,,,,,,,,,,,,USD-HKD/FXS/10M,0,,Up,USD-HKD/FXS/10M,No,,
,,,,,,,,,,,,,,,,,,,USD-HKD/FXS/11M,0,,Up,USD-HKD/FXS/11M,No,,
,,,,,,,,,,,,,,,,,,,USD-HKD/FXS/1W,0,,Up,USD-HKD/FXS/1W,No,,
,,,,,,,,,,,,,,,,,,,USD-HKD/FXS/2W,0,,Up,USD-HKD/FXS/2W,No,,
,,,,,,,,,,,,,,,,,,,USD-HKD/FXS/3W,0,,Up,USD-HKD/FXS/3W,No,,
,,,,,,,,,,,,,,,,,,,USD-HKD/FXS/1M,0,,Up,USD-HKD/FXS/1M,No,,
,,,,,,,,,,,,,,,,,,,USD-HKD/FXS/2M,0,,Up,USD-HKD/FXS/2M,No,,
,,,,,,,,,,,,,,,,,,,USD-HKD/FXS/3M,0,,Up,USD-HKD/FXS/3M,No,,
,,,,,,,,,,,,,,,,,,,USD-HKD/FXS/4M,0,,Up,USD-HKD/FXS/4M,No,,
,,,,,,,,,,,,,,,,,,,USD-HKD/FXS/5M,0,,Up,USD-HKD/FXS/5M,No,,
,,,,,,,,,,,,,,,,,,,USD-HKD/FXS/6M,0,,Up,USD-HKD/FXS/6M,No,,
