YIELDCURVE,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,/YIELDCURVEPOINT,BENCHMARK,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REAL_TIME_UPDATED,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.INSID,SPREAD_TYPE,,
Default,IDR,,Boot Strap,Default,Default,Linear,Spot Rate,Zero Coupon Curve,1,Interest Rate,Spot Rate,Act/360,Annual Comp,1,IDR-SWAP,Benchmark,IDR/DEP/6M,0,,Up,End Date,IDR/DEP/6M,No,,
,,,,,,,,,,,,,,,,,IDR/DEP/3M,0,,Up,End Date,IDR/DEP/3M,No,,
,,,,,,,,,,,,,,,,,IDR/DEP/1M,0,,Up,End Date,IDR/DEP/1M,No,,
,,,,,,,,,,,,,,,,,IDR/DEP/1D,0,,Up,End Date,IDR/DEP/1D,No,,
,,,,,,,,,,,,,,,,,IDR/DEP/1W,0,,Up,End Date,IDR/DEP/1W,No,,
,,,,,,,,,,,,,,,,,IDR/DEP/2W,0,,Up,End Date,IDR/DEP/2W,No,,
,,,,,,,,,,,,,,,,,IDR/DEP/2M,0,,Up,End Date,IDR/DEP/2M,No,,
,,,,,,,,,,,,,,,,,BENCHMARK/FR0070/1Y,0,,Up,End Date,BENCHMARK/FR0070/1Y,No,,
,,,,,,,,,,,,,,,,,BENCHMARK/FR0081/2Y,0,,Up,End Date,BENCHMARK/FR0081/2Y,No,,
,,,,,,,,,,,,,,,,,BENCHMARK/FR0086/3Y,0,,Up,End Date,BENCHMARK/FR0086/3Y,No,,
,,,,,,,,,,,,,,,,,BENCHMARK/FR0090/4Y,0,,Up,End Date,BENCHMARK/FR0090/4Y,No,,
,,,,,,,,,,,,,,,,,BENCHMARK/FR0095/5Y,0,,Up,End Date,BENCHMARK/FR0095/5Y,No,,
,,,,,,,,,,,,,,,,,BENCHMARK/FR0078/6Y,0,,Up,End Date,BENCHMARK/FR0078/6Y,No,,
,,,,,,,,,,,,,,,,,BENCHMARK/FR0082/7Y,0,,Up,End Date,BENCHMARK/FR0082/7Y,No,,
,,,,,,,,,,,,,,,,,BENCHMARK/FR0087/8Y,0,,Up,End Date,BENCHMARK/FR0087/8Y,No,,
,,,,,,,,,,,,,,,,,BENCHMARK/FR0091/9Y,0,,Up,End Date,BENCHMARK/FR0091/9Y,No,,
,,,,,,,,,,,,,,,,,BENCHMARK/FR0096/10Y,0,,Up,End Date,BENCHMARK/FR0096/10Y,No,,
,,,,,,,,,,,,,,,,,BENCHMARK/FR0098/15Y,0,,Up,End Date,BENCHMARK/FR0098/15Y,No,,
,,,,,,,,,,,,,,,,,BENCHMARK/FR0097/20Y,0,,Up,End Date,BENCHMARK/FR0097/20Y,No,,
