YIELDCURVE,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,JPY,,Boot Strap,Yes,Default,Default,Piecewise Quadratic (Cont Fwd),Spot Rate,Zero Coupon Curve,Interest Rate,Spot Rate,Act/365,Continuous,60,1,JPY-SWAP,Benchmark,JY0001M,JPY/LIBOR/1M,-0.000794626,,Up,End Date,,JPY/IRS/LI6M-F/30Y,No,,
,,,,,,,,,,,,,,,,,,JY0003M,JPY/LIBOR/3M,-0.000994988,,Up,End Date,,JPY/IRS/LI6M-F/25Y,No,,
,,,,,,,,,,,,,,,,,,JY0006M,JPY/LIBOR/6M,-0.000532515,,Up,End Date,,JPY/IRS/LI6M-F/20Y,No,,
,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/18M,-2.79E-05,,Up,End Date,,JPY/IRS/LI6M-F/15Y,No,,
,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/2Y,4.76E-05,,Up,End Date,,JPY/IRS/LI6M-F/12Y,No,,
,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/3Y,0.000136287,,Up,End Date,,JPY/IRS/LI6M-F/10Y,No,,
,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/4Y,0.00019852,,Up,End Date,,JPY/IRS/LI6M-F/9Y,No,,
,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/5Y,0.000298765,,Up,End Date,,JPY/IRS/LI6M-F/8Y,No,,
,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/6Y,0.000423998,,Up,End Date,,JPY/IRS/LI6M-F/7Y,No,,
,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/7Y,0.000574316,,Up,End Date,,JPY/IRS/LI6M-F/6Y,No,,
,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/8Y,0.000737787,,Up,End Date,,JPY/IRS/LI6M-F/5Y,No,,
,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/9Y,0.000938534,,Up,End Date,,JPY/IRS/LI6M-F/4Y,No,,
,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/10Y,0.001151652,,Up,End Date,,JPY/IRS/LI6M-F/3Y,No,,
,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/12Y,0.001618696,,Up,End Date,,JPY/IRS/LI6M-F/2Y,No,,
,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/15Y,0.002418062,,Up,End Date,,JPY/IRS/LI6M-F/18M,No,,
,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/20Y,0.003693288,,Up,End Date,JY0006M,JPY/LIBOR/6M,No,,
,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/25Y,0.004755825,,Up,End Date,JY0003M,JPY/LIBOR/3M,No,,
,,,,,,,,,,,,,,,,,,,JPY/IRS/LI6M-F/30Y,0.005612114,,Up,End Date,JY0001M,JPY/LIBOR/1M,No,,
