YIELDCURVE,,,,,,,,,,,,,,,,,,,YIELDCURVEPOINT,,,/YIELDCURVEPOINT,BENCHMARK,,,,,/BENCHMARK,/YIELDCURVE
CALCULATION_FORMAT,CURR.INSID,DATA,ESTIMATION_TYPE,EST_BM_FIXINGS_FROM_CURVE,EXTRAPOL_TYPE_LONG_END,EXTRAPOL_TYPE_SHORT_END,INTERPOLATION_TYPE,IPOL_RATE_TYPE,IR_FORMAT,REAL_TIME_UPDATED,RISK_TYPE,STORAGE_CALC_TYPE,STORAGE_DAYCOUNT,STORAGE_RATE_TYPE,UPDATE_INTERVAL,USE_BM_DATES,YIELD_CURVE_NAME,YIELD_CURVE_TYPE,INSADDR.EXTERN_ID1,INSADDR.INSID,VALUE,,BENCHMARK_SHIFT_TYPE,DATE_METHOD,INSTRUMENT.EXTERN_ID1,INSTRUMENT.INSID,SPREAD_TYPE,,
Use Storage Format,USD,,Boot Strap,Yes,Default,Default,Linear,Spot Rate,Zero Coupon Curve,1,Interest Rate,Spot Rate,Act/360,Continuous,60,1,USD-SWAP,Benchmark,,USD/IRS/LI3M-F/4Y,0.038260583,,Up,End Date,,USD/IRS/LI3M-F/30Y,No,,
,,,,,,,,,,,,,,,,,,,,USD/IRS/LI3M-F/5Y,0.036836163,,Up,End Date,,USD/IRS/LI3M-F/10Y,No,,
,,,,,,,,,,,,,,,,,,,,USD/IRS/LI3M-F/10Y,0.034490917,,Up,End Date,,USD/IRS/LI3M-F/5Y,No,,
,,,,,,,,,,,,,,,,,,,,USD/IRS/LI3M-F/30Y,0.0317753,,Up,End Date,,USD/IRS/LI3M-F/4Y,No,,
,,,,,,,,,,,,,,,,,,,,USD/IRS/LI3M-F/3Y,0.040820536,,Up,End Date,,USD/IRS/LI3M-F/3Y,No,,
,,,,,,,,,,,,,,,,,,,,USD/IRS/LI3M-F/1Y,0.049360099,,Up,End Date,,USD/IRS/LI3M-F/1Y,No,,
,,,,,,,,,,,,,,,,,,,,USD/IRS/LI3M-F/2Y,0.045214944,,Up,End Date,,USD/IRS/LI3M-F/2Y,No,,
,,,,,,,,,,,,,,,,,,,US00O/N,USD/LIBOR/ON,0.038116582,,Up,End Date,US00O/N,USD/LIBOR/ON,No,,
,,,,,,,,,,,,,,,,,,,US0006M,USD/LIBOR/6M,0.050810142,,Up,End Date,US0006M,USD/LIBOR/6M,No,,
,,,,,,,,,,,,,,,,,,,US0003M,USD/LIBOR/3M,0.047051328,,Up,End Date,US0003M,USD/LIBOR/3M,No,,
,,,,,,,,,,,,,,,,,,,US0001M,USD/LIBOR/1M,0.042574929,,Up,End Date,US0001M,USD/LIBOR/1M,No,,
,,,,,,,,,,,,,,,,,,,,USD/IRS/LI3M-F/9Y,0.03454861,,Up,End Date,,USD/IRS/LI3M-F/9Y,No,,
,,,,,,,,,,,,,,,,,,,,USD/IRS/LI3M-F/8Y,0.034811111,,Up,End Date,,USD/IRS/LI3M-F/8Y,No,,
,,,,,,,,,,,,,,,,,,,,USD/IRS/LI3M-F/7Y,0.035306067,,Up,End Date,,USD/IRS/LI3M-F/7Y,No,,
,,,,,,,,,,,,,,,,,,,,USD/IRS/LI3M-F/6Y,0.035884285,,Up,End Date,,USD/IRS/LI3M-F/6Y,No,,
,,,,,,,,,,,,,,,,,,,,USD/IRS/LI3M-F/25Y,0.03413589,,Up,End Date,,USD/IRS/LI3M-F/25Y,No,,
,,,,,,,,,,,,,,,,,,,,USD/IRS/LI3M-F/20Y,0.036859249,,Up,End Date,,USD/IRS/LI3M-F/20Y,No,,
,,,,,,,,,,,,,,,,,,,,USD/IRS/LI3M-F/15Y,0.036420351,,Up,End Date,,USD/IRS/LI3M-F/15Y,No,,
,,,,,,,,,,,,,,,,,,,,USD/IRS/LI3M-F/12Y,0.035155195,,Up,End Date,,USD/IRS/LI3M-F/12Y,No,,
