TRADE,,,,,,,,,,,,,,,,,PAYMENT,,,,,,/PAYMENT,/TRADE
TEXT2,STATUS,QUANTITY,PREMIUM,CURR.INSID,PRFNBR.PRFID,TYPE,ACQUIRE_DAY,VALUE_DAY,TIME,EXECUTION_TIME,PRICE,ACQUIRER_PTYNBR.PTYID,TRADER_USRNBR.USERID,OPTIONAL_KEY,INSADDR.INSID,COUNTERPARTY_PTYNBR.PTYID,VALID_FROM,AMOUNT,PTYNBR.PTYID,TYPE,CURR.INSID,PAYDAY,,
TRANSACTION,,,,,,,,,,,,,,,,,,,,,,,,
FO0000007X,FO Confirmed,1000000,0,HKD,FXO_Vanilla,Normal,3/23/2022,3/23/2022,3/22/2022 0:00,3/22/2022 0:00,0,HDFC Bank,ARENASYS,CS_FXO1,USD/C/HKD/P/220622/7.70,Demo_Counterparty,3/23/2022,6060.2,HDFC Bank,Premium,USD,3/25/2023,,
FO0000007X,FO Confirmed,-1000000,0,HKD,FXO_Vanilla,Normal,3/23/2022,3/23/2022,3/22/2022 0:00,3/22/2022 0:00,0,HDFC Bank,ARENASYS,CS_FXO2,USD/C/HKD/P/220622/7.75,Demo_Counterparty,,,,,,,,
FO0000007X,FO Confirmed,1000000,0,HKD,FXO_Vanilla,Normal,3/23/2022,3/23/2022,3/22/2022 0:00,3/22/2022 0:00,0,HDFC Bank,ARENASYS,CS_FXO3,USD/C/HKD/P/220922/7.70,Demo_Counterparty,,,,,,,,
FO0000007X,FO Confirmed,-1000000,0,HKD,FXO_Vanilla,Normal,3/23/2022,3/23/2022,3/22/2022 0:00,3/22/2022 0:00,0,HDFC Bank,ARENASYS,CS_FXO4,USD/C/HKD/P/220922/7.75/#1,Demo_Counterparty,,,,,,,,
FO0000007X,FO Confirmed,1000000,0,HKD,FXO_Vanilla,Normal,3/23/2022,3/23/2022,3/22/2022 0:00,3/22/2022 0:00,0,HDFC Bank,ARENASYS,CS_FXO5,USD/C/HKD/P/221222/7.70,Demo_Counterparty,,,,,,,,
FO0000007X,FO Confirmed,-1000000,0,HKD,FXO_Vanilla,Normal,3/23/2022,3/23/2022,3/22/2022 0:00,3/22/2022 0:00,0,HDFC Bank,ARENASYS,CS_FXO6,USD/C/HKD/P/221222/7.75,Demo_Counterparty,,,,,,,,
FO0000007X,FO Confirmed,1000000,0,HKD,FXO_Vanilla,Normal,3/23/2022,3/23/2022,3/22/2022 0:00,3/22/2022 0:00,0,HDFC Bank,ARENASYS,CS_FXO7,USD/C/HKD/P/230322/7.70,Demo_Counterparty,,,,,,,,
FO0000007X,FO Confirmed,-1000000,0,HKD,FXO_Vanilla,Normal,3/23/2022,3/23/2022,3/22/2022 0:00,3/22/2022 0:00,0,HDFC Bank,ARENASYS,CS_FXO8,USD/C/HKD/P/230322/7.75,Demo_Counterparty,,,,,,,,
/TRANSACTION,,,,,,,,,,,,,,,,,,,,,,,,
