VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,,VOLATILITYSKEW,,,,,,,,,,,,,,/VOLATILITYSKEW,/VOLATILITY
BOND_VOL_TYPE,BUTTERFLY_QUOTE,CURR_PAIR_SEQNBR.CURR1.INSID,CURR_PAIR_SEQNBR.CURR2.INSID,CURR_PAIR_SEQNBR.NAME,DATA,DELTA_ATM_DEFINITION,DELTA_TERM,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FAVOUR_CALL,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STORED_ATM_VOL_MULTIPLIER,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,A1,A2,A3,A4,A5,A6,A7,A8,A9,CALL,DELTA_TYPE,EXP_PERIOD,NBR_OF_INTERPOLATION_POINTS,VOL_CUT_OFF_TYPE,,
Price,2 Vol,USD,CHF,USD/CHF,,Zero Delta Straddle,Pct of foreign,1,1,Default,Variance,Yes,1,1,Black & Scholes,Cubic Spline,FX Vol,1,Delta,Delta,FX-USDCHF,Malz,Relative,0.055,0.0015,0.00495,0.06,-0.001,-0.0018,0.06,-0.001,0.001,Yes,Spot,1d,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.096,0.0015,0.00495,0.06,-0.003,-0.0054,0.06,-0.001,0.001,Yes,Spot,1w,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.0885,0.0018,0.00594,0.06,-0.003,-0.0051,0.06,-0.001,0.001,Yes,Spot,2w,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.08125,0.0024,0.00828,0.06,-0.0035,-0.00595,0.06,-0.001,0.001,Yes,Spot,1m,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.08925,0.0026,0.00897,0.06,-0.004,-0.0068,0.06,-0.001,0.001,Yes,Spot,2m,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.102,0.0034,0.01173,0.06,-0.005,-0.0085,0.06,-0.001,0.001,Yes,Spot,3m,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.1005,0.0045,0.01553,0.06,-0.006,-0.0108,0.06,-0.001,0.001,Yes,Spot,6m,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.103,0.0046,0.01679,0.06,-0.0065,-0.0117,0.06,-0.001,0.001,Yes,Spot,1y,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.106,0.004,0.0146,0.06,-0.0055,-0.0099,0.06,-0.001,0.001,Yes,Spot,2y,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.10825,0.0044,0.0132,0.06,-0.0025,-0.00425,0.06,-0.001,0.001,Yes,Spot,3y,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.11225,0.0038,0.0114,0.06,-0.0025,-0.00425,0.06,-0.001,0.001,Yes,Spot,4y,5,Delta,,
,,,,,,,,,,,,,,,,,,,,,,,,0.119,0.003,0.009,0.06,-0.003,-0.0051,0.06,-0.001,0.001,Yes,Spot,5y,5,Delta,,
