CALENDARDATE,,/CALENDARDATE
CALNBR.CALID,DAYNBR,
AUD,2012-01-02,
AUD,2012-01-26,
AUD,2012-04-06,
AUD,2012-04-09,
AUD,2012-04-25,
AUD,2012-06-11,
AUD,2012-08-06,
AUD,2012-10-01,
AUD,2012-12-25,
AUD,2012-12-26,
AUD,2013-01-01,
AUD,2013-01-28,
AUD,2013-03-29,
AUD,2013-04-01,
AUD,2013-04-25,
AUD,2013-06-10,
AUD,2013-08-05,
AUD,2013-10-07,
AUD,2013-12-25,
AUD,2013-12-26,
AUD,2014-01-01,
AUD,2014-01-27,
AUD,2014-04-18,
AUD,2014-04-21,
AUD,2014-04-25,
AUD,2014-06-09,
AUD,2014-08-04,
AUD,2014-10-06,
AUD,2014-12-25,
AUD,2014-12-26,
AUD,2015-01-01,
AUD,2015-01-26,
AUD,2015-04-03,
AUD,2015-04-06,
AUD,2015-06-08,
AUD,2015-08-03,
AUD,2015-10-05,
AUD,2015-12-25,
AUD,2015-12-28,
AUD,2016-01-01,
AUD,2016-01-26,
AUD,2016-03-25,
AUD,2016-03-28,
AUD,2016-04-25,
AUD,2016-06-13,
AUD,2016-08-01,
AUD,2016-10-03,
AUD,2016-12-26,
AUD,2016-12-27,
AUD,2017-01-02,
AUD,2017-01-26,
AUD,2017-04-14,
AUD,2017-04-17,
AUD,2017-04-25,
AUD,2017-06-12,
AUD,2017-08-07,
AUD,2017-10-02,
AUD,2017-12-25,
AUD,2017-12-26,
AUD,2018-01-01,
AUD,2018-01-26,
AUD,2018-03-30,
AUD,2018-04-02,
AUD,2018-04-25,
AUD,2018-06-11,
AUD,2018-08-06,
AUD,2018-10-01,
AUD,2018-12-25,
AUD,2018-12-26,
AUD,2019-01-01,
AUD,2019-01-28,
AUD,2019-04-19,
AUD,2019-04-22,
AUD,2019-04-25,
AUD,2019-06-10,
AUD,2019-08-05,
AUD,2019-10-07,
AUD,2019-12-25,
AUD,2019-12-26,
AUD,2020-01-01,
AUD,2020-01-27,
AUD,2020-04-10,
AUD,2020-04-13,
AUD,2020-06-08,
AUD,2020-08-03,
AUD,2020-10-05,
AUD,2020-12-25,
AUD,2020-12-28,
