NETTINGRULE,,,,,,,,/NETTINGRULE
SIZE,QUERY_SEQNBR.NAME,NETTING_RULE_TYPE,NETTING_DEFINITION_BY_VALUES,NETTING_DEFINITION_HOOK,NETTING_DEFINITION_VALUES,QUERY_SEQNBR.TYPE,RULEID,
,fixed rate repo,Net,,FSettlementNetCandidatesFinder.IntraTradeNetting,,FASQL Query,Basket Repo_ Fixed Rate,
10,basket repo float rate,Net,,FSettlementNetCandidatesFinder.IntraTradeNetting,Trade.Oid;,FASQL Query,Basket Repo_Float Rate,
17,TQA BIS4,Securities DvP Net,Yes,,CounterpartyName;,FASQL Query,BIS4-DVP  Netting,
,Coupon Netting,Net,,FSettlementNetCandidatesFinder.BilateralNetting,,FASQL Query,Bond Coupon Netting,
,Bond_Premium-WHT,Net,,FSettlementNetCandidatesFinder.IntraTradeNetting,,FASQL Query,Bond Netting,
,Redemption Netting,Net,,FSettlementNetCandidatesFinder.BilateralNetting,,FASQL Query,Bond Redemption Netting,
10,Netting Security,Securities DvP Net,,FSettlementNetCandidatesFinder.IntraTradeNetting,Trade.Oid;,FASQL Query,Bond Security Netting,
,CCS_Fixed amount-rate,Net,,FSettlementNetCandidatesFinder.IntraTradeNetting,,FASQL Query,CCS_Rate-FixedAmount,
,Closing Trade,Net,,FSettlementNetCandidatesFinder.BilateralNetting,,FASQL Query,Close Trade Netting,
,Collateral_Coupon_CouponTransfer,Net,,FSettlementNetCandidatesFinder.IntraTradeNetting,,FASQL Query,Collateral Coupon Netting,
,contract ref net,Net,,FSettlementNetCandidatesFinder.ContractRefNetting,,FASQL Query,contra trade netting,
,Netting Deposit/Loan,Net,,FSettlementNetCandidatesFinder.IntraTradeNetting,,FASQL Query,Deposit Loan Netting,
,Deposit/loan_Premium-Rate,Net,,FSettlementNetCandidatesFinder.IntraTradeNetting,,FASQL Query,Deposit/Loan_Fixed Amount- Float Rate,
,IRS_Floatrate-Fixrate,Net,,FSettlementNetCandidatesFinder.IntraTradeNetting,,FASQL Query,IRS_FloatRate-FixRate,
,MDCI_Premium-WHT,Net,,FSettlementNetCandidatesFinder.IntraTradeNetting,,FASQL Query,MDCI netting Premium-WHT,
,MDS Netting Premium-WHT,Net,,FSettlementNetCandidatesFinder.IntraTradeNetting,,FASQL Query,MDS netting Premium - WHT,
,MDS_WHT_Premium,Net,,FSettlementNetCandidatesFinder.IntraTradeNetting,,FASQL Query,MDS netting Premium 2 - WHT,
27,MLDR_NETTING,Net,,FSettlementNetCandidatesFinder.IntraTradeNetting,Trade.Oid;CashFlow.PayDate;,FASQL Query,MLDR,
,MMLD_Premium-WHT,Net,,FSettlementNetCandidatesFinder.IntraTradeNetting,,FASQL Query,MMLD Netting Premium-WHT,
,Netting Filter OIS - FixedRate-FloatRate,Net,,FSettlementNetCandidatesFinder.IntraTradeNetting,,FASQL Query,OIS_FloatRate-FixRate Netting,
,Repo_Premium-Rate,Net,,FSettlementNetCandidatesFinder.IntraTradeNetting,,FASQL Query,Repo_Premium-Rate,
,Netting Security,Securities DvP Net,,FSettlementNetCandidatesFinder.SecurityDvPNetting,,FASQL Query,TQA - Netting Rule,
