CHOICELIST,,,,/CHOICELIST
DESCRIPTION,ENTRY,LIST,SORT_ORDER,
Sandi_01,AAA,S&P,,
Sandi_02,AA+,S&P,1,
Sandi_03,AA,S&P,2,
Sandi_04,AA-,S&P,3,
Sandi_05,A+,S&P,4,
Sandi_06,A,S&P,5,
Sandi_07,A-,S&P,6,
Sandi_08,BBB+,S&P,7,
Sandi_09,BBB,S&P,8,
Sandi_10,BBB-,S&P,9,
Sandi_11,BB+,S&P,10,
Sandi_12,BB,S&P,11,
Sandi_13,BB-,S&P,12,
Sandi_14,B+,S&P,13,
Sandi_15,B,S&P,14,
Sandi_16,B-,S&P,15,
Sandi_17,CCC+,S&P,16,
Sandi_18,CCC,S&P,17,
Sandi_19,CCC-,S&P,18,
Sandi_20,CC,S&P,19,
Sandi_21,C,S&P,20,
Sandi_22,D,S&P,21,
,NA,S&P,22,
