PORTFOLIOLINK,,,,/PORTFOLIOLINK
OWNER_PRFNBR.PRFID,OWNER_PRFNBR.ASSINF,MEMBER_PRFNBR.ASSINF,MEMBER_PRFNBR.PRFID,
,,,BB RD OCI,
,,Dummy Deposit for Str Product,DUMMY DEPOSIT FOR STRUCTURED PRODUCT,
,,DUMMY FUND CONSTITUENTS,DUMMY FUND CONSTITUENTS,
,,OVERSEAS,OVERSEAS,
,,New Group,PDN CONSOLIDATED,
,,PDN PA DETAIL,PDN PA DETAIL,
,,SUBSIDIARIES,SUBSIDIARIES,
,,TREASURY HO,TREASURY HO,
Banking Derivatives,Banking Derivatives,BB Derivative Banking,BB Derivative Banking,
Banking Derivatives,Banking Derivatives,BB Derivative Hedging,BB Derivative Hedging,
Banking Derivatives,Banking Derivatives,BB Derivative Squaring,BB Derivative Squaring,
Banking FX,Banking FX,BB FX,BB FX,
Banking IR,Banking IR,BB Bond BU,BB Bond BU,
Banking IR,Banking IR,BB Bond Treasury,BB Bond Treasury,
Banking IR,Banking IR,BB Bond Treasury Sharia,BB Bond Treasury Sharia,
BANKING_BOOK,BANKING_BOOK,BBM,BBM,
BANKING_BOOK,BANKING_BOOK,LAL,LAL,
Banknotes,Banknotes,Banknotes Branch Settlement,Banknotes Branch Settlement,
Banknotes,Banknotes,Banknotes Export Import,Banknotes Export Import,
Banknotes,Banknotes,Banknotes Interbank,Banknotes Interbank,
Banknotes,Banknotes,Banknotes Trader,Banknotes Trader,
BB Bond BU,BB Bond BU,Bonds BU Commercial Banking,Bonds BU Commercial Banking,
BB Bond BU,BB Bond BU,Bonds BU Corporate Banking,Bonds BU Corporate Banking,
BB Bond BU,BB Bond BU,Bonds BU GVI,Bonds BU GVI,
BB Bond BU,BB Bond BU,Bonds BU IBFI,Bonds BU IBFI,
BB Bond BU,BB Bond BU,Bonds BU SAM,Bonds BU SAM,
BB Bond Treasury,BB Bond Treasury,BB BOND AC,BB BOND AC,
BB Bond Treasury,BB Bond Treasury,BB BOND EX,BB BOND EX,
BB Bond Treasury,BB Bond Treasury,BB BOND OCI,BB BOND OCI,
BB Bond Treasury,BB Bond Treasury,BB BOND PL,BB BOND PL,
BB Bond Treasury Sharia,BB Bond Treasury Sharia,BB BOND SHARIA AC,BB BOND SHARIA AC,
BB Bond Treasury Sharia,BB Bond Treasury Sharia,BB BOND SHARIA OCI,BB BOND SHARIA OCI,
BB Bond Treasury Sharia,BB Bond Treasury Sharia,BB BOND SHARIA PL,BB BOND SHARIA PL,
BB RD OCI,,RDT BAHANA 221,RDT BAHANA 221,
BB RD OCI,,RDT BAHANA 222,RDT BAHANA 222,
BB RD OCI,,reksadana Berdikari 1001,RDT Berdikari 1001,
BB RD OCI,,RDT BMIIPS 1,RDT BMIIPS 1,
BB RD OCI,,RDT BNI-AM MAGNIFERA,RDT BNI-AM MAGNIFERA,
BB RD OCI,,RDT BNI-AM ORCHID,RDT BNI-AM ORCHID,
BB RD OCI,,RDT BNI-AM RASAMALA,RDT BNI-AM RASAMALA,
BB RD OCI,,RDT BNI-AM SUNFLOWER,RDT BNI-AM SUNFLOWER,
BB RD OCI,,RDT BNPP SELARAS V,RDT BNPP SELARAS V,
BB RD OCI,,RDT BNPP SELARAS VI,RDT BNPP SELARAS VI,
BB RD OCI,,RDT DIM 79,RDT DIM 79,
BB RD OCI,,RDT MANULIFE MDPU 3,RDT MANULIFE MDPU 3,
BB RD OCI,,RDT MANULIFE MDPU II,RDT MANULIFE MDPU II,
BB RD OCI,,RDT PANIN 17,RDT PANIN 17,
BB RD OCI,,RDT SYAILENDRA 45,RDT SYAILENDRA 45,
