PORTFOLIO,,,,,,ADDITIONALINFO,,/ADDITIONALINFO,/PORTFOLIO
COMPOUND,ASSINF,TYPE_CHLNBR.ENTRY,PRFID,CURR.INSID,TYPE_CHLNBR.LIST,ADDINF_SPECNBR.FIELD_NAME,VALUE,,
,ALM Bilateral Loans,,ALM Bilateral Loans,IDR,,,,,
,ALM Bonds Issued,,ALM Bonds Issued,IDR,,,,,
,ALM Repo,FVOCI,ALM Repo,IDR,PortfolioType,FundPortfolio,No,,
Yes,Banking Derivatives,,Banking Derivatives,IDR,,,,,
Yes,Banking FX,,Banking FX,IDR,,,,,
Yes,Banking IR,,Banking IR,IDR,,,,,
Yes,BANKING_BOOK,,BANKING_BOOK,IDR,,,,,
Yes,Banknotes,,Banknotes,IDR,,,,,
,Banknotes Branch Settlement,,Banknotes Branch Settlement,IDR,,,,,
Yes,BANKNOTES EXIM,,BANKNOTES EXIM,IDR,,,,,
,Banknotes Export Import,,Banknotes Export Import,IDR,,,,,
,Banknotes Interbank,,Banknotes Interbank,IDR,,,,,
,Banknotes Trader,,Banknotes Trader,IDR,,,,,
,BB BOND AC,Amortised Cost,BB BOND AC,IDR,PortfolioType,FundPortfolio,No,,
Yes,BB Bond BU,,BB Bond BU,IDR,,,,,
,BB BOND EX,FVTPL,BB BOND EX,IDR,PortfolioType,FundPortfolio,No,,
,BB BOND OCI,FVOCI,BB BOND OCI,IDR,PortfolioType,FundPortfolio,No,,
,BB BOND PL,FVTPL,BB BOND PL,IDR,PortfolioType,FundPortfolio,No,,
,BB BOND SHARIA AC,Amortised Cost,BB BOND SHARIA AC,IDR,PortfolioType,FundPortfolio,No,,
,BB BOND SHARIA OCI,FVOCI,BB BOND SHARIA OCI,IDR,PortfolioType,FundPortfolio,No,,
,BB BOND SHARIA PL,FVOCI,BB BOND SHARIA PL,IDR,PortfolioType,FundPortfolio,No,,
Yes,BB Bond Treasury,,BB Bond Treasury,IDR,,,,,
Yes,BB Bond Treasury Sharia,,BB Bond Treasury Sharia,IDR,,,,,
,BB Derivative Banking,,BB Derivative Banking,IDR,,,,,
,BB Derivative Hedging,,BB Derivative Hedging,IDR,,,,,
,BB Derivative Squaring,,BB Derivative Squaring,IDR,,,,,
,BB FX,,BB FX,IDR,,,,,
Yes,,,BB RD OCI,IDR,,,,,
Yes,BBM,,BBM,IDR,,,,,
Yes,BMCI,,BMCI,IDR,,,,,
,BMCI Banking,FVOCI,BMCI Banking,IDR,PortfolioType,FundPortfolio,No,,
,BMCI Trading,FVOCI,BMCI Trading,IDR,PortfolioType,FundPortfolio,No,,
Yes,BMDL,,BMDL,IDR,,,,,
,BMDL Banking,FVTPL,BMDL Banking,IDR,PortfolioType,FundPortfolio,No,,
,BMDL Trading,,BMDL Trading,IDR,,,,,
,BMEL,FVOCI,BMEL,IDR,PortfolioType,FundPortfolio,No,,
Yes,BMHK,,BMHK,IDR,,,,,
,BMHK Banking,,BMHK Banking,IDR,,,,,
,BMHK Trading,FVTPL,BMHK Trading,IDR,PortfolioType,FundPortfolio,No,,
Yes,BMSG,,BMSG,IDR,,,,,
,BMSG Banking,FVOCI,BMSG Banking,IDR,PortfolioType,FundPortfolio,No,,
,BMSG Trading,,BMSG Trading,IDR,,,,,
Yes,BMSH,,BMSH,IDR,,,,,
,BMSH Banking,,BMSH Banking,IDR,,,,,
,BMSH Trading,,BMSH Trading,IDR,,,,,
,BMTP,FVOCI,BMTP,IDR,PortfolioType,FundPortfolio,No,,
Yes,Bonds BU Commercial Banking,,Bonds BU Commercial Banking,IDR,,,,,
