CHOICELIST,,,/CHOICELIST
LIST,ENTRY,DESCRIPTION,
Branch,-15537,CPNDHTNG,
Branch,000600-KC JAKARTA JATINEGARA TIMUR,JKTJTGTMR,
Branch,000601-KCP JAKARTA MATRAMAN,JKTMATRMAN,
Branch,000602-KCP JAKARTA KALIMALANG,JKTKALIMLG,
Branch,000603-KCP JAKARTA PAHLAWAN REVOLUSI,JKTREVIDR,
Branch,000605-KCP JAKARTA JATINEGARA BARAT,JKTJTBRIDR,
Branch,000606-(DO NOT USE XXX),JKTDSAR,
Branch,000607-KCP JAKARTA DI PANJAITAN,JKTPANJIDR,
Branch,000608-(DO NOT USE XXX),JKTKJIIDR,
Branch,000609-KCP JAKARTA PONDOK BAMBU,JKTPBAMIDR,
Branch,000610-(DO NOT USE XXX),JKTJWAR,
Branch,000611-KCP JAKARTA RAWAMANGUN PEGAMBIRA,JKTRWGAIDR,
Branch,000612-(DO NOT USE XXX),JKTRWPE,
Branch,000613-KCP JAKARTA PURI SENTRA NIAGA,JKTSENTIDR,
Branch,000614-KCP JAKARTA PONDOK KELAPA,JKTPKLPIDR,
Branch,000615-KK JAKARTA PRAMUKA,JKTPRAMIDR,
Branch,000616-KK JAKARTA KLENDER,JKTKLENIDR,
Branch,000617-KK JAKARTA OTTO ISKANDARDINATA,JKTOTTOIDR,
Branch,000618-KK JAKARTA RAWAMANGUN BALAI PUST,JKTRMGIDR,
Branch,000619-KCP JAKARTA BUARAN,JKTBUARAN,
Branch,000620-KK JAKARTA WASTIKA KARYA,JKTWASKITA,
Branch,000622-KK JAKARTA CIPINANG JAYA,JKTCPNGIDR,
Branch,000623-KC DUREN SAWIT,DRNSWTIDR,
Branch,000624-KK JAKARTA PEMUDA,KKJKTPMD,
Branch,000625-KCP JAKARTA RAWAMANGUN PEMUDA,JKTRWPEIDR,
Branch,000626-KCP JAKARTA PULOMAS,JKTPLMIDR,
Branch,000627-KCP JAKARTA PASAR MESTER JATINEG,JKTPSRMEJA,
Branch,000628-KK JAKARTA UNIVERSITAS NEGERI JA,KKJAKARUNJ,
Branch,000629-BANK MANDIRI JAKARTA RS PERSAHAB,KKRSPERSHB,
Branch,000629-KK JAKARTA RS PERSAHABATAN,KKJAKARPER,
Branch,000631-KK JAKARTA PASAR JATINEGARA,JKTJATNIDR,
Branch,000632-KCP JAKARTA BASSURA CITY,KCPJAKBASS,
Branch,000641-(DO NOT USE XXX),JKTJBNG,
Branch,000671-KK JAKARTA HALIM PERDANAKUSUMA,JKTHALIIDR,
Branch,000675-KCP JAKARTA PISANGAN LAMA,KCPJAKPISA,
Branch,000676-KCP JAKARTA KAMPUNG AMBON,KCPJAKABON,
Branch,000705-(DO NOT USE XXX),JKTCARKIDR,
Branch,0015022-KCP MANADO TOWN SQUARE 3,KCPMNDTS3,
Branch,003100-KC BANJARMASIN LAMBUNG MANGKURAT,BJMLAMBUNG,
Branch,003101-KCP BANJARMASIN PANGERAN SAMUDER,BJMPANGSMD,
Branch,003102-KCP BANJARMASIN A. YANI,BJMAYANI,
Branch,003103-KC TANJUNG,TANJUNGIDR,
Branch,003104-KC PALANGKARAYA,PALANGKARY,
Branch,003105-KC. SAMPIT,SPTIDR,
Branch,003106-KC KUALA KAPUAS,KKPIDR,
Branch,003107-KCP BANJAR BARU,BJBIDR,
Branch,003108-KK BANJARMASIN SENTRA ANTASARI,BJMSENTRAA,
Branch,003109-KCP BARABAI,BRIIDR,
Branch,003110-KCP MARTAPURA,KCMARTAPUR,
Branch,003111-KCP BATULICIN,BLNIDR,
Branch,003113-KK KAYU TANGI,KKKAYUTANG,
Branch,003114-KC KOTABARU,KCKOTABARU,
Branch,003115-KCP RANTAU,KCPRANTAU,
Branch,003120-KK BANJARMASIN BANDARA SYAMSUDIN,BJMSYAMIDR,
Branch,003121-KK BANJARMASIN PELINDO III/TRISA,BJMPELINDO,
Branch,003122-KCP BANJARMASIN MITRA PLAZA,BJMMITRAPL,
Branch,003123-KCP PANGKALAN BUN,PBUIDR,
Branch,003125-KK BANJARMASIN GATOT SUBROTO KUR,KKBANJAGAT,
Branch,003126-KK BANJARMASIN SUTOYO S,KKBANJATOY,
Branch,003127-KCP BANJARMASIN PASAR BARU,KCPBANSABA,
Branch,003175-KCP BANJARMASIN LANDASAN ULIN,KCPBJRLNUL,
Branch,003176-KCP BANJARMASIN BINUANG,KCPBJRBING,
Branch,003177-KCP BANJARMASIN SUNGAI DANAU,KCPBJRSUND,
Branch,003178-KCP BANJARMASIN AMUNTAI,KCPBJRAMUN,
Branch,003179-KCP BANJARMASIN KANDANGAN,KCPBJRKAND,
Branch,003180-KCP BANJARMASIN BALANGAN,KCPBJRBLNG,
Branch,003181-KCP BANJARMASIN GATOT SUBROTO,KCPBJRGATS,
Branch,003182-KCP DANAU SALAK,KCPDNAUSAL,
Branch,003186-KCP BANJARMASIN SULTAN ADAM,KCPBANSUDA,
Branch,003187-KCP MARABAHAN,KCPMARABAH,
Branch,003188-KCP TANJUNG ANTASARI,KCPTANTASA,
Branch,003189-KCP BANJARBARU CEMPAKA,KCPBANCEMP,
Branch,003190-KCP HANDIL BAKTI,KCPHANDBAK,
Branch,007000-KC JAKARTA PLAZA MANDIRI,JKTMDRIDR,
Branch,007001-KCP JAKARTA GEDUNG JAMSOSTEK,JKTSOSTIDR,
Branch,007002-KCP JAKARTA GEDUNG BIDAKARA,JKTBDKRIDR,
Branch,007003-KCP JAKARTA MT HARYONO,JKTHARYIDR,
Branch,007004-KCP JAKARTA WISMA BAJA,JKTBAJAIDR,
Branch,007005-KCP JAKARTA TELKOM LANDMARK TOWE,JKTGCCIDR,
Branch,007006-KCP JAKARTA PANCORAN,JKTPANCIDR,
Branch,007007-KCP JAKARTA MAMPANG,JKTMAMPIDR,
Branch,007008-KCP JAKARTA GRAHA MITRA,JKTARGOIDR,
Branch,007009-KCP JAKARTA GATOT SUBROTO,JKTGSUBIDR,
Branch,007010-KCP JAKARTA GEDUNG PATRAJASA,JKTPATRIDR,
Branch,007011-KK JAKARTA BKPM,JKTBKPMIDR,
Branch,007012-KK JAKARTA NINDYA KARYA,JKTNINDIDR,
Branch,007013-KK JAKARTA WISMA IKPT,JKTIKPTIDR,
Branch,007014-KCP JAKARTA DEWI SARTIKA,JKTDSARIDR,
Branch,007015-KC JAKARTA PUSAT GROSIR CILILITA,JAKARTAPSG,
Branch,007017-KCP JAKARTA MEGA KUNINGAN,JKTMEGAKUN,
Branch,007018-KCP JAKARTA WARUNG BUNCIT RAYA,KCPJKTWBR,
Branch,007019-KK JAKARTA MAMPANG IMIGRASI,JKTMPGIDR,
Branch,007020-KCP JAKARTA WISMA MULIA,KCPJKTWMLI,
Branch,007021-KCP JAKARTA OAKWOOD,KCPJAKAOAK,
Branch,010100-KC JAKARTA PONDOK INDAH,JKTPIIDR,
Branch,010101-(DO NOT USE XXX),TANGSER,
Branch,010102-KCP JAKARTA PLAZA PONDOK INDAH,JKTPLPIIDR,
