CURRENCYPAIR,,,,,,,,,,/CURRENCYPAIR
CURR2.INSID,POINT_VALUE_INVERSE,SPOT_HOLIDAY_OBSERVANCE,LIQUID_CROSS_RATE,POINT_VALUE,VALUE_DAY_ROLLOVER_CUTOFF,VALUE_DAY_ROLLOVER_TIME_ZONE,CURR1.INSID,NAME,SPOT_BANKING_DAYS_OFFSET,
ATS,0.0001,Split Via Base,,0.0001,,,USD,USD/ATS,2,
HKD,0.0001,Split Via Base,,0.0001,,,AUD,AUD/HKD,2,
NZD,0.0001,Split Via Base,,0.0001,,,AUD,AUD/NZD,2,
THB,0.0001,Split Via Base,,0.0001,,,AUD,AUD/THB,2,
IDR,0.0001,Split Via Base,,0.0001,,,BEF,BEF/IDR,2,
CHF,0.0001,Split Via Base,,0.0001,,,CAD,CAD/CHF,2,
HKD,0.0001,Split Via Base,,0.0001,,,CAD,CAD/HKD,2,
THB,0.0001,Split Via Base,,0.0001,,,CAD,CAD/THB,2,
CNY,0.0001,Split Via Base,,0.0001,,,CHF,CHF/CNY,2,
MYR,0.0001,Split Via Base,,0.0001,,,CHF,CHF/MYR,2,
THB,0.0001,Split Via Base,,0.0001,,,CHF,CHF/THB,2,
JPY,1E-06,Split Via Base,,0.01,,,CNY,CNY/JPY,2,
CNY,0.0001,Split Via Base,,0.0001,,,SEK,SEK/CNY,2,
THB,0.0001,Split Via Base,,0.0001,,,CNY,CNY/THB,2,
IDR,0.0001,Split Via Base,,0.0001,,,DEM,DEM/IDR,2,
IDR,0.0001,Split Via Base,,0.0001,,,ESP,ESP/IDR,2,
MYR,0.0001,Split Via Base,,0.0001,,,EUR,EUR/MYR,2,
FIM,0.0001,Split Via Base,,0.0001,,,USD,USD/FIM,2,
FRF,0.0001,Split Via Base,,0.0001,,,USD,USD/FRF,2,
MYR,0.0001,Split Via Base,,0.0001,,,GBP,GBP/MYR,2,
JPY,1E-06,Split Via Base,,0.01,,,HKD,HKD/JPY,2,
SAR,0.0001,Split Via Base,,0.0001,,,HKD,HKD/SAR,2,
THB,0.0001,Split Via Base,,0.0001,,,HKD,HKD/THB,2,
OMR,0.0001,Split Via Base,,0.0001,,,IDR,IDR/OMR,2,
ITL,0.0001,Split Via Base,,0.0001,,,USD,USD/ITL,2,
JPY,1E-06,Split Via Base,,0.01,,,THB,THB/JPY,2,
MYR,0.0001,Split Via Base,,0.0001,,,SGD,SGD/MYR,2,
THB,0.0001,Split Via Base,,0.0001,,,SAR,SAR/THB,2,
THB,0.0001,Split Via Base,,0.0001,,,SGD,SGD/THB,2,
IDR,0.0001,Split Via Base,,0.0001,,,ATS,ATS/IDR,2,
CNY,0.0001,Split Via Base,,0.0001,,,AUD,AUD/CNY,2,
MYR,0.0001,Split Via Base,,0.0001,,,AUD,AUD/MYR,2,
BEF,0.0001,Split Via Base,,0.0001,,,USD,USD/BEF,2,
CNY,0.0001,Split Via Base,,0.0001,,,CAD,CAD/CNY,2,
MYR,0.0001,Split Via Base,,0.0001,,,CAD,CAD/MYR,2,
SGD,0.0001,Split Via Base,,0.0001,,,CAD,CAD/SGD,2,
HKD,0.0001,Split Via Base,,0.0001,,,CHF,CHF/HKD,2,
CHF,0.0001,Split Via Base,,0.0001,,,NZD,NZD/CHF,2,
CHF,0.0001,Split Via Base,,0.0001,,,SGD,SGD/CHF,2,
CNY,0.0001,Split Via Base,,0.0001,,,GBP,GBP/CNY,2,
CNY,0.0001,Split Via Base,,0.0001,,,MYR,MYR/CNY,2,
USD,0.0001,Split Via Base,,0.0001,,,DEM,DEM/USD,2,
ESP,0.0001,Split Via Base,,0.0001,,,USD,USD/ESP,2,
HKD,0.0001,Split Via Base,,0.0001,,,EUR,EUR/HKD,2,
IDR,0.0001,Split Via Base,,0.0001,,,FIM,FIM/IDR,2,
IDR,0.0001,Split Via Base,,0.0001,,,FRF,FRF/IDR,2,
SAR,0.0001,Split Via Base,,0.0001,,,GBP,GBP/SAR,2,
THB,0.0001,Split Via Base,,0.0001,,,GBP,GBP/THB,2,
HKD,0.0001,Split Via Base,,0.0001,,,MYR,MYR/HKD,2,
IDR,0.0001,Split Via Base,,0.0001,,,ITL,ITL/IDR,2,
IDR,0.0001,Split Via Base,,0.0001,,,NLG,NLG/IDR,2,
IDR,0.0001,Split Via Base,,0.0001,,,PKR,PKR/IDR,2,
QAR,0.0001,Split Via Base,,0.0001,,,IDR,IDR/QAR,2,
JPY,1E-06,Split Via Base,,0.01,,,MYR,MYR/JPY,2,
THB,0.0001,Split Via Base,,0.0001,,,MYR,MYR/THB,2,
NLG,0.0001,Split Via Base,,0.0001,,,USD,USD/NLG,2,
SAR,0.0001,Split Via Base,,0.0001,,,SGD,SGD/SAR,2,
