COMPONENT,,/COMPONENT
COMPNAME,TYPE,
Margin Call Substitution Proc:Send Reject,Operation,
Margin Call Substitution Proc:Send Modification,Operation,
Margin Call Substitution Proc:Receive Request,Operation,
Margin Call Substitution Proc:Receive Rejection,Operation,
Margin Call Substitution Proc:Receive Modification,Operation,
Margin Call Substitution Proc:Initiate Request,Operation,
Margin Call Substitution Proc:Confirm,Operation,
Margin Call Substitution Proc:Candidate,Operation,
Margin Call Substitution Proc:Cancel,Operation,
Margin Call Substitution Proc:Accept,Operation,
Margin Call Process:Start Receive,Operation,
Margin Call Process:Start Pledge,Operation,
Margin Call Process:Send Collateral Instruction,Operation,
Margin Call Process:Send Call,Operation,
Margin Call Process:Select Collateral Assets,Operation,
Margin Call Process:Receive Response,Operation,
Margin Call Process:Receive Pledge,Operation,
Margin Call Process:Receive Call,Operation,
Margin Call Process:Pledge,Operation,
Margin Call Process:Full Dispute,Operation,
Margin Call Process:Failed to Send,Operation,
Margin Call Process:Determine Call Amount,Operation,
Margin Call Process:Confirm,Operation,
Margin Call Process:Collateral Movements,Operation,
Margin Call Process:Cancel,Operation,
Margin Call Process:Amend Received Response,Operation,
Margin Call Process:Amend Received Call,Operation,
Margin Call Process:Amend Receive Pledge,Operation,
Margin Call Process:Amend Pledged Collateral,Operation,
Margin Call Process:Amend Call Amount,Operation,
Margin Call Process:Amend Agreed Amount,Operation,
Margin Call Process:Allocations Done,Operation,
Margin Call Process:Agree Undisputed Amount,Operation,
Margin Call Dispute Process:Resolve with Collateral,Operation,
Margin Call Dispute Process:Resolve,Operation,
Margin Call Dispute Process:Dispute,Operation,
Margin Call Dispute Process:Confirm,Operation,
Margin Call Dispute Process:Close Unresolved,Operation,
Margin Call Dispute Process:Book Trades,Operation,
Margin Call Dispute Process:Append Information,Operation,
Edit Margining Set,Operation,
Value at Risk Scenario Utility,Stored View Disposition,
Value at Risk Custom Percentile,Stored View Disposition,
Value at Risk Backtesting History,Stored View Disposition,
Value at Risk Backtesting Graph,Stored View Disposition,
Value at Risk Backtesting,Stored View Disposition,
Value at Risk,Stored View Disposition,
FRTB SA Basel Totals,Stored View Disposition,
FRTB SA Basel Sensitivities,Stored View Disposition,
FRTB SA Basel Positions,Stored View Disposition,
BO Journal Upload,Operation,
TMPG Menu,Operation,
BIETP Dealer,Operation,
ApiLog,Operation,
Front Office,Operation,
Middle Office,Operation,
Back Office,Operation,
CTP_Mandiri_Export_CSV,Application,
CTP_Mandiri_Import_CTP_File,Application,
CustomerRegistration,Operation,
BBG Dealer,Operation,
Run Create User,Operation,
