USERPROFILE,,PROFILECOMPONENT,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
BO Basic Workflow,BO_BASIC,Yes,Yes,Yes,TextObject,DBObject,,
,,Yes,Yes,Yes,OperationsDocument,DBObject,,
,,Yes,Yes,Yes,NettingRule,DBObject,,
,,,,,Matching Failed Confirmation,Operation,,
,,,,,Match Confirmation,Operation,,
,,,,,Force Business Process to State,Operation,,
,,,,,Allow Monitoring,Operation,,
,,,,,Zero Bond,Application,,
,,,,,Valuation Parameters,Application,,
,,,,,Underlying Definition,Application,,
,,,,,Transaction History,Application,,
,,,,,Trading Manager,Application,,
,,,,,Trade Report,Application,,
,,,,,Trade Filter,Application,,
,,,,,Time Series Specification,Application,,
,,,,,Time Series Dv Spec,Application,,
,,,,,Time Series Data,Application,,
,,,,,Swap,Application,,
,,,,,State Chart Viewer,Application,,
,,,,,State Chart,Application,,
,,,,,Sheet File Viewer,Application,,
,,,,,Settlement Process,Application,,
,,,,,Settle Instruction,Application,,
,,,,,Send Message,Application,,
,,,,,Send As Message...,Application,,
,,,,,Security Transfer,Application,,
,,,,,Save As...,Application,,
,,,,,Save,Application,,
,,,,,Receive Message,Application,,
,,,,,Rate Index,Application,,
,,,,,Quit,Application,,
,,,,,Price Index,Application,,
,,,,,Party Groups,Application,,
,,,,,Party Definition,Application,,
,,,,,Party Alias,Application,,
,,,,,Option,Application,,
,,,,,Operations Viewer,Application,,
,,,,,Operations Manager,Application,,
,,,,,Open...,Application,,
,,,,,Netting Rule Definition,Application,,
,,,,,NDF,Application,,
,,,,,MBS/ABS,Application,,
,,,,,Master Agreement,Application,,
,,,,,Log Categories,Application,,
,,,,,Issuer Definition,Application,,
,,,,,Insert Items,Application,,
,,,,,Instrument Definition,Application,,
,,,,,Information Manager,Application,,
,,,,,Information,Application,,
,,,,,FX Swap Instrument,Application,,
,,,,,FX Rate,Application,,
,,,,,FX Option,Application,,
,,,,,FX Cash,Application,,
,,,,,Future/Forward,Application,,
,,,,,Fund,Application,,
,,,,,FRN,Application,,
,,,,,FRA,Application,,
,,,,,Four Eyes Control,Application,,
,,,,,Flexi Bond,Application,,
,,,,,Fill Fees,Application,,
,,,,,Distributed Information Manager,Application,,
,,,,,Deposit/Loan,Application,,
,,,,,Delete...,Application,,
,,,,,Delete,Application,,
,,,,,Curr Swap,Application,,
,,,,,Contact,Application,,
,,,,,Connected Trades Viewer,Application,,
,,,,,Compact Trade Entry,Application,,
,,,,,Commodity,Application,,
,,,,,Collateral Agreements,Application,,
,,,,,Collateral,Application,,
,,,,,Charges,Application,,
,,,,,CD,Application,,
,,,,,Cash Payment,Application,,
,,,,,Call Deposit/Loan,Application,,
,,,,,Calendar,Application,,
,,,,,Business Process Details,Application,,
,,,,,Business Data Processing,Application,,
,,,,,Bond,Application,,
,,,,,Bill,Application,,
,,,,,Basket Repo/Reverse,Application,,
,,,,,Arena Extract,Application,,
,,,,,Alias Type Specification,Application,,
,,,,,Alias,Application,,
,,,,,Agreement,Application,,
,,,,,AEF Browser,Application,,
,,,,,Account Definition,Application,,
,,,,,About...,Application,,
,,,,,Import Package,Application,,
,,,,,Operation Specification,Application,,
,,,,,User Preferences,Application,,
,,,,,Run Script,Application,,
,,,,,Run Script,Operation,,
,,,,,Choice List,Application,,
,,,,,Administration Console,Application,,
,,,,,Price Entry,Application,,
,,,,,Business Intelligence Workbench,Application,,
,,,,,Floor,Application,,
,,,,,MarketLinkedDepositRaFX,Application,,
,,,,,MarketLinkedDepositIr,Application,,
,,,,,MarketLinkedDepositDeal,Application,,
,,,,,DepositSwap,Application,,
,,,,,DualCurrencyDeposit,Application,,
,,,,,FX Option Pricer,Application,,
,,,,,FxRatioParForward,Application,,
,,,,,Confirmation Instruction,Application,,
,,Yes,Yes,Yes,Message,DBObject,,
,,,,,Currency,Application,,
,,,,Yes,ExternalObject,DBObject,,
,,Yes,,Yes,BusinessProcess,DBObject,,
,,Yes,,Yes,BusinessEvent,DBObject,,
,,,,,Back Office,Operation,,
