USERPROFILE,,PROFILECOMPONENT,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
BO Data Static Checker,BO_DATASTATIC_CHECK,,,,Accounting,Application,,
,,,,,Accounting Parameters,Application,,
,,,,,Additional Info Specification,Application,,
,,,,,Confirmation Instruction,Application,,
,,,,,Price Entry,Application,,
,,,,,Price Finding,Application,,
,,,,,Price Link Specification,Application,,
,,,,,Pricing,Application,,
,,,,,Valuation Viewer,Application,,
,,,,,Bulk Upload of Manual Journals,Operation,,
,,,,,Edit MTM Prices,Operation,,
,,,,,Edit Prices,Operation,,
,,,,,Edit Simulated Journal,Operation,,
,,,,,Mark to Market,Operation,,
,,,,,Regenerate Journal Settlement,Operation,,
,,,,,Regenerate Journal Trade,Operation,,
,,Yes,Yes,Yes,Calendar,DBObject,,
,,Yes,Yes,Yes,InstrAliasType,DBObject,,
,,Yes,Yes,Yes,Journal,DBObject,,
,,Yes,Yes,Yes,JournalHst,DBObject,,
,,Yes,Yes,Yes,JournalInformation,DBObject,,
,,Yes,Yes,Yes,JournalInformationHst,DBObject,,
,,,,Yes,MtmValue,DBObject,,
,,Yes,Yes,Yes,Party,DBObject,,
,,Yes,Yes,Yes,PartyGroup,DBObject,,
,,Yes,Yes,Yes,PriceLinkDefinition,DBObject,,
,,Yes,Yes,Yes,SettleInstrMapping,DBObject,,
,,Yes,Yes,Yes,ValuationParameters,DBObject,,
,,Yes,Yes,Yes,Curr,DBObject,,
,,,,,CustomerRegistration,Operation,,
,,,,Yes,Instrument,DBObject,,
,,,,,ChangeRequest,DBObject,,
,,Yes,Yes,Yes,Price,DBObject,,
,,Yes,Yes,Yes,TextObject,DBObject,,
,,,,,BO Journal Upload,Operation,,
,,,,,Modify FO,Operation,,
,,Yes,Yes,Yes,JournalLink,DBObject,,
,,,,,Modify FO Part,Operation,,
,,,,,Modify Confirmed,Operation,,
,,Yes,Yes,Yes,Hierarchy,DBObject,,
,,Yes,Yes,Yes,HierarchyType,DBObject,,
