USERPROFILE,,PROFILECOMPONENT,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
BO Data Static Maker,BO_DATASTATIC_MAKER,Yes,Yes,Yes,ValuationParameters,DBObject,,
,,,,,Create Standalone Journal,Operation,,
,,Yes,Yes,Yes,SettleInstrMapping,DBObject,,
,,Yes,Yes,Yes,PriceLinkDefinition,DBObject,,
,,Yes,Yes,Yes,PartyGroup,DBObject,,
,,Yes,Yes,Yes,Party,DBObject,,
,,,,Yes,MtmValue,DBObject,,
,,Yes,Yes,Yes,JournalLink,DBObject,,
,,Yes,,,JournalInformation,DBObject,,
,,Yes,,,Journal,DBObject,,
,,Yes,Yes,Yes,InstrAliasType,DBObject,,
,,Yes,Yes,Yes,ChoiceList,DBObject,,
,,Yes,Yes,Yes,Calendar,DBObject,,
,,,,,Regenerate Journal Trade,Operation,,
,,,,,Regenerate Journal Settlement,Operation,,
,,,,,Mark to Market,Operation,,
,,,,,Edit Prices,Operation,,
,,,,,Edit MTM Prices,Operation,,
,,,,,Bulk Upload of Manual Journals,Operation,,
,,,,,Valuation Viewer,Application,,
,,,,,Pricing,Application,,
,,,,,Price Link Specification,Application,,
,,,,,Price Finding,Application,,
,,,,,Price Entry,Application,,
,,,,,Confirmation Instruction,Application,,
,,,,,Additional Info Specification,Application,,
,,,,,Accounting Parameters,Application,,
,,,,,Accounting,Application,,
,,Yes,Yes,Yes,Bond,DBObject,,
,,,,,Modify Confirmed,Operation,,
,,Yes,Yes,Yes,ChangeRequest,DBObject,,
,,,,Yes,Instrument,DBObject,,
,,Yes,,Yes,Price,DBObject,,
,,,,,Adjust Journal DR CR Pair,Operation,,
,,,,,Modify FO,Operation,,
,,,,,CustomerRegistration,Operation,,
,,,,,Business Intelligence Workbench,Application,,
,,,,,Edit Simulated Journal,Operation,,
,,Yes,Yes,Yes,JournalHst,DBObject,,
