USERPROFILE,,PROFILECOMPONENT,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
BO Trade Checker,BO_TRCHECKER,Yes,Yes,Yes,TextObject,DBObject,,
,,Yes,Yes,Yes,Settlement,DBObject,,
,,Yes,Yes,Yes,FixingDateRule,DBObject,,
,,Yes,Yes,Yes,Confirmation,DBObject,,
,,,,,Void Settlement,Operation,,
,,,,,Void Deal,Operation,,
,,,,,Void Confirmation,Operation,,
,,,,,Suppress Message,Operation,,
,,,,,Sign-Off Confirmation,Operation,,
,,,,,Settlement Resubmit NAK,Operation,,
,,,,,Settlement Regenerate,Operation,,
,,,,,Send Confirmation Chaser,Operation,,
,,,,,Resubmit,Operation,,
,,,,,Resend,Operation,,
,,,,,Release Settlement,Operation,,
,,,,,Release Confirmation Exception,Operation,,
,,,,,Release Confirmation,Operation,,
,,,,,Regenerate Settlement Trade,Operation,,
,,,,,Partial Match Confirmation,Operation,,
,,,,,Modify BO Part,Operation,,
,,,,,Instructed To Cancel,Operation,,
,,,,,Instruct To Correct,Operation,,
,,,,,Instruct To Cancel,Operation,,
,,,,,Fund Transfer,Operation,,
,,,,,Edit Settlements,Operation,,
,,,,,Edit Fixings,Operation,,
,,,,,Delete BO Confirmed,Operation,,
,,,,,Confirmation Resubmit NAK,Operation,,
,,,,,Confirmation Regenerate,Operation,,
,,,,,Confirm Void,Operation,,
,,,,,Compensation Payment,Operation,,
,,,,,Compensation Claim,Operation,,
,,,,,Close Settlement,Operation,,
,,,,,BO-BO Confirm,Operation,,
,,,,,BO Reject,Operation,,
,,,,,BO Confirm,Operation,,
,,,,,Account Transfer,Operation,,
,,,,,Accept Settlement Updates,Operation,,
,,,,,Fixing Date Rule,Application,,
,,Yes,Yes,Yes,Bond,DBObject,,
,,,,,Void,Operation,,
,,,,,Authorise Settlement,Operation,,
,,,,,Revert to Unadjusted Payment,Operation,,
,,,,,Revert to Pending Closure,Operation,,
,,,,,Revert to Pending Matching,Operation,,
,,,,,Conf Authorise Manual Match,Operation,,
,,,,,Conf Suppress Message Ack,Operation,,
,,,,,Matching Failed Confirmation,Operation,,
,,,,,Match Confirmation,Operation,,
,,,,,Security Transfer,Operation,,
,,,,,Settle Security,Operation,,
,,,,,Undo Settle Security,Operation,,
,,,,Yes,DealPackage,DBObject,,
,,,,,Modify FO,Operation,,
,,,,,Hold Confirmation,Operation,,
,,,,Yes,Instrument,DBObject,,
,,,,Yes,InstrumentPackage,DBObject,,
,,,,,TMPG Menu,Operation,,
