USERPROFILE,,PROFILECOMPONENT,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
BO Trade Maker,BO_TRMAKER,Yes,Yes,Yes,TextObject,DBObject,,
,,Yes,Yes,Yes,Settlement,DBObject,,
,,Yes,Yes,Yes,FixingDateRule,DBObject,,
,,Yes,Yes,Yes,Confirmation,DBObject,,
,,,,,Standalone Settlement,Operation,,
,,,,,Split Payment,Operation,,
,,,,,Settlement Resubmit NAK,Operation,,
,,,,,Settlement Regenerate,Operation,,
,,,,,Modify Confirmed,Operation,,
,,,,,Modify BO Part,Operation,,
,,,,,Manually Adjust Payment,Operation,,
,,,,,Instructed To Cancel,Operation,,
,,,,,Instruct To Correct,Operation,,
,,,,,Instruct To Cancel,Operation,,
,,,,,Fund Transfer,Operation,,
,,,,,Edit Settlements,Operation,,
,,,,,Edit Fixings,Operation,,
,,,,,Confirmation Resubmit NAK,Operation,,
,,,,,Confirmation Regenerate,Operation,,
,,,,,Compensation Payment,Operation,,
,,,,,Compensation Claim,Operation,,
,,,,,BO Reject,Operation,,
,,,,,Account Transfer,Operation,,
,,,,,Fixing Date Rule,Application,,
,,,,,Modify Chaser,Operation,,
,,,,,Undo Partial Settlement,Operation,,
,,,,,Undo Pair Off Securities,Operation,,
,,,,,Un-Split Payment,Operation,,
,,,,,Un-Net,Operation,,
,,Yes,,Yes,DealPackage,DBObject,,
,,Yes,,Yes,Fx Rate,DBObject,,
,,,,,Void Settlement,Operation,,
,,,,,Modify FO,Operation,,
,,,,,Authorise Settlement,Operation,,
,,,,,Pay Good Value,Operation,,
,,,,,Pay Fair Value,Operation,,
,,,,,Pair Off Securities,Operation,,
,,,,,Net Securities,Operation,,
,,,,,Net Payments,Operation,,
,,,,,Adjust Security Value Day,Operation,,
,,,,,Authorise Late Settlement,Operation,,
,,,,,Partial Settlement,Operation,,
,,,,,Revert to Unadjusted Payment,Operation,,
,,,,,Void Confirmation,Operation,,
,,,,,Bypass Value Day Check,Operation,,
,,,,,TMPG Menu,Operation,,
,,,,Yes,Instrument,DBObject,,
,,,,Yes,InstrumentPackage,DBObject,,
