USERPROFILE,,PROFILECOMPONENT,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
FO Basic application & workflow,FO_BASIC,Yes,Yes,Yes,TextObject,DBObject,,
,,,,,Transaction History,Application,,
,,,,,Trading Manager,Application,,
,,,,,Trade Status Specification,Application,,
,,,,,Trade Report,Application,,
,,,,,Trade Filter,Application,,
,,,,,Time Series Specification,Application,,
,,,,,Time Series Dv Spec,Application,,
,,,,,Time Series Data,Application,,
,,,,,Stored Column,Application,,
,,,,,State Chart Viewer,Application,,
,,,,,State Chart,Application,,
,,,,,Sheet File Viewer,Application,,
,,,,,Session Control,Application,,
,,,,,Send Message,Application,,
,,,,,Send As Message...,Application,,
,,,,,Security Transfer,Application,,
,,,,,Save As...,Application,,
,,,,,Save,Application,,
,,,,,Run Script,Application,,
,,,,,Run Query,Application,,
,,,,,Rounding,Application,,
,,,,,Risk Manager,Application,,
,,,,,Ribbon Designer,Application,,
,,,,,Receive Message,Application,,
,,,,,Rate Index,Application,,
,,,,,Quit,Application,,
,,,,,Price Link Specification,Application,,
,,,,,Price Entry,Application,,
,,,,,Portfolio Definitions,Application,,
,,,,,Party Groups,Application,,
,,,,,Party Definition,Application,,
,,,,,Operations Viewer,Application,,
,,,,,Operations Manager,Application,,
,,,,,Open...,Application,,
,,,,,Log Categories,Application,,
,,,,,Issuer Definition,Application,,
,,,,,Instrument Definition,Application,,
,,,,,Insert Items,Application,,
,,,,,Information Manager,Application,,
,,,,,Hierarchy Editor Application,Application,,
,,,,,Fixing Date Rule,Application,,
,,,,,Currency Pair,Application,,
,,,,,Corporate Actions,Application,,
,,,,,Connected Trades Viewer,Application,,
,,,,,Compact Trade Entry,Application,,
,,,,,Cash Flow Table,Application,,
,,,,,Calendar,Application,,
,,,,,Business Process Details,Application,,
,,,,,Base Yield Curve Def,Application,,
,,,,,AEF Browser,Application,,
,,,,,About...,Application,,
,,Yes,,Yes,TransHstValidFrom,DBObject,,
,,Yes,,Yes,TransHstSubscription,DBObject,,
,,Yes,,Yes,TransHst,DBObject,,
,,Yes,,Yes,InstrumentPackage,DBObject,,
,,Yes,,Yes,Extension Module,DBObject,,
,,Yes,,Yes,BusinessProcess,DBObject,,
,,Yes,,Yes,BusinessEvent,DBObject,,
,,,,,Change Trade Key4,Operation,,
,,,,,Change Trade Key3,Operation,,
,,,,,Change Trade Key1,Operation,,
,,,,,Yield Curve Definition,Application,,
,,,,,Yield Curve Calculation,Application,,
,,,,,Volatility Manager,Application,,
,,,,,Volatility,Application,,
,,,,,Valuation Viewer,Application,,
,,,,,User Preferences,Application,,
,,,,,Underlying Definition,Application,,
,,,,,Portfolio Definition,Application,,
,,,,,Run Script,Operation,,
,,,,,Currency,Application,,
,,,,,Business Data Processing,Application,,
,,,,,Collateral Agreements,Application,,
,,,,,Master Agreement,Application,,
,,,,,Agreement,Application,,
,,,,Yes,Party,DBObject,,
,,,,,Additional Info Specification,Application,,
,,,,,Administration Console,Application,,
,,,,,Page Definition,Application,,
,,,,,Change Trade Key2,Operation,,
,,Yes,,Yes,MasterAgreement,DBObject,,
,,,,,Business Intelligence Workbench,Application,,
,,,,,Choice List,Application,,
,,,,,Import Package,Application,,
,,,,,Front Office,Operation,,
,,,,,DataLoader,Application,,
,,,,,BO Reject,Operation,,
,,,,,BBG Dealer,Operation,,
