USERPROFILE,PROFILECOMPONENT,,/PROFILECOMPONENT,/USERPROFILE
PROFID,COMPNBR.COMPNAME,COMPNBR.TYPE,,
INQUIRY_HO_APP,Underlying Definition,Application,,
,Contact,Application,,
,Zero Bond,Application,,
,User Preferences,Application,,
,User Definition,Application,,
,Transaction History,Application,,
,Trading Manager,Application,,
,Task Management,Application,,
,Send Message,Application,,
,Routing,Application,,
,Rounding,Application,,
,Ribbon Designer,Application,,
,Risk Manager,Application,,
,Party Groups,Application,,
,Party Alias,Application,,
,Swap,Application,,
,Receive Message,Application,,
,Rate Index,Application,,
,MBS/ABS,Application,,
,Master Agreement,Application,,
,Alias Type Specification,Application,,
,Alias,Application,,
,Additional Info Specification,Application,,
,AEF Browser,Application,,
,Administration Console,Application,,
,Price Link Specification,Application,,
,Price Entry,Application,,
,Portfolio Definitions,Application,,
,Portfolio Definition,Application,,
,Party Definition,Application,,
,Operations Manager,Application,,
,Option,Application,,
,Open...,Application,,
,NDF,Application,,
,Issuer Definition,Application,,
,Instrument Definition,Application,,
,Insert Items,Application,,
,Information Manager,Application,,
,FX Option,Application,,
,FX Cash,Application,,
,Future/Forward,Application,,
,Fund,Application,,
,FRN,Application,,
,FRA,Application,,
,Floor,Application,,
,Explorer,Application,,
,Deposit/Loan,Application,,
,Currency Pair,Application,,
,Currency,Application,,
,Curr Swap,Application,,
,Control Parameters,Application,,
,Commodity,Application,,
,Collateral,Application,,
,Choice List,Application,,
,CD,Application,,
,Cap,Application,,
,Calendar,Application,,
,Business Process Details,Application,,
,Business Intelligence Workbench,Application,,
,Business Data Processing,Application,,
,Bond,Application,,
,Bill,Application,,
,Basket Repo/Reverse,Application,,
,Base Yield Curve Def,Application,,
,Accounting Parameters,Application,,
,About...,Application,,
,Account Definition,Application,,
,Accounting,Application,,
