USERPROFILE,,PROFILECOMPONENT,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
All Instruments,INS_ALL,,,Swap,Application,,
,,Yes,Yes,CurrSwap,DBObject,,
,,Yes,Yes,Zero,DBObject,,
,,Yes,Yes,Swap,DBObject,,
,,Yes,Yes,Option,DBObject,,
,,Yes,Yes,MBS/ABS,DBObject,,
,,Yes,Yes,Future/Forward,DBObject,,
,,Yes,Yes,Fund,DBObject,,
,,Yes,Yes,FRN,DBObject,,
,,Yes,Yes,FRA,DBObject,,
,,Yes,Yes,DealPackage,DBObject,,
,,Yes,Yes,Deposit,DBObject,,
,,Yes,Yes,Curr,DBObject,,
,,Yes,Yes,Commodity,DBObject,,
,,Yes,Yes,Collateral,DBObject,,
,,Yes,Yes,Bond,DBObject,,
,,Yes,Yes,Bill,DBObject,,
,,Yes,Yes,BasketRepo/Reverse,DBObject,,
,,,,Zero Bond,Application,,
,,,,Option,Application,,
,,,,NDF,Application,,
,,,,MBS/ABS,Application,,
,,,,MarketLinkedDepositRaFX,Application,,
,,,,MarketLinkedDepositIr,Application,,
,,,,MarketLinkedDepositDeal,Application,,
,,,,FxRatioParForward,Application,,
,,,,FX Option Pricer,Application,,
,,,,FX Option,Application,,
,,,,FX Cash,Application,,
,,,,Future/Forward,Application,,
,,,,Fund,Application,,
,,,,FRN,Application,,
,,,,FRA,Application,,
,,,,DualCurrencyDeposit,Application,,
,,,,DepositSwap,Application,,
,,,,Deposit/Loan,Application,,
,,,,Currency,Application,,
,,,,Curr Swap,Application,,
,,,,Commodity,Application,,
,,,,Collateral,Application,,
,,,,Bond,Application,,
,,,,Bill,Application,,
,,,,Basket Repo/Reverse,Application,,
,,,,Cash Payment,Application,,
,,,,Account Transfer,Operation,,
,,Yes,Yes,FxSwap,DBObject,,
,,Yes,Yes,Fx Rate,DBObject,,
,,Yes,Yes,Fx Forward Rate,DBObject,,
