USERPROFILE,,PROFILECOMPONENT,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
MO Maker Trade,MO_MAKER_TRADE,Yes,Yes,Yes,Swap,DBObject,,
,,Yes,,Yes,TradeFilter,DBObject,,
,,Yes,Yes,Yes,BasketRepo/Reverse,DBObject,,
,,Yes,Yes,Yes,Bill,DBObject,,
,,Yes,Yes,Yes,Bond,DBObject,,
,,Yes,Yes,Yes,Collateral,DBObject,,
,,Yes,Yes,Yes,DealPackage,DBObject,,
,,Yes,Yes,Yes,Deposit,DBObject,,
,,Yes,Yes,Yes,FRA,DBObject,,
,,Yes,Yes,Yes,FreeDefCF,DBObject,,
,,Yes,Yes,Yes,FRN,DBObject,,
,,Yes,Yes,Yes,Fund,DBObject,,
,,Yes,Yes,Yes,Future/Forward,DBObject,,
,,Yes,Yes,Yes,Fx Forward Rate,DBObject,,
,,Yes,Yes,Yes,Fx Rate,DBObject,,
,,Yes,Yes,Yes,FxSwap,DBObject,,
,,Yes,Yes,Yes,Instrument,DBObject,,
,,Yes,Yes,Yes,InstrumentPackage,DBObject,,
,,Yes,Yes,Yes,MBS/ABS,DBObject,,
,,Yes,Yes,Yes,Option,DBObject,,
,,Yes,Yes,Yes,CurrSwap,DBObject,,
,,Yes,Yes,Yes,Curr,DBObject,,
,,,,,Limit Check,Operation,,
