USERPROFILE,,PROFILECOMPONENT,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
Portfolio MO,PORT_MO,Yes,SUBSIDIARIES,Portfolio,,
,,Yes,OVERSEAS,Portfolio,,
,,Yes,MUF,Portfolio,,
,,Yes,MTF,Portfolio,,
,,Yes,MMI,Portfolio,,
,,Yes,MIR,Portfolio,,
,,Yes,MCI,Portfolio,,
,,Yes,BMTP,Portfolio,,
,,Yes,BMSH Trading,Portfolio,,
,,Yes,BMSH Banking,Portfolio,,
,,Yes,BMSH,Portfolio,,
,,Yes,BMSG Banking,Portfolio,,
,,Yes,BMSG Trading,Portfolio,,
,,Yes,BMCI,Portfolio,,
,,Yes,BMCI Banking,Portfolio,,
,,Yes,BMCI Trading,Portfolio,,
,,Yes,BMDL,Portfolio,,
,,Yes,BMDL Banking,Portfolio,,
,,Yes,BMDL Trading,Portfolio,,
,,Yes,BMEL,Portfolio,,
,,Yes,BMHK,Portfolio,,
,,Yes,BMHK Banking,Portfolio,,
,,Yes,BMHK Trading,Portfolio,,
,,Yes,BMSG,Portfolio,,
,,Yes,PDN PA DETAIL,Portfolio,,
,,Yes,PDN MIR,Portfolio,,
,,Yes,PDN MANSEK,Portfolio,,
,,Yes,PDN Konsolidasi,Portfolio,,
,,Yes,PDN CONSOLIDATED,Portfolio,,
,,Yes,PDN BMEL,Portfolio,,
,,Yes,PDN,Portfolio,,
