USERPROFILE,,PROFILECOMPONENT,,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_AUTHORIZE,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
WCO Checker,WCO_CHECKER,,Yes,,Yes,TextObject,DBObject,,
,,,,,,Party Alias,Application,,
,,,,,,Party Definition,Application,,
,,,,,,Party Groups,Application,,
,,,,,,Portfolio Definitions,Application,,
,,,,,,Portfolio Definition,Application,,
,,Yes,Yes,Yes,Yes,ComplianceRule,DBObject,,
,,Yes,Yes,Yes,Yes,AppliedRule,DBObject,,
,,,,,,Four Eyes Control,Application,,
,,,,,,Trading Manager,Application,,
,,,Yes,,Yes,CreditLimit,DBObject,,
,,,,,Yes,Party,DBObject,,
