USERPROFILE,,PROFILECOMPONENT,,,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,ALLOW_CREATE,ALLOW_DELETE,ALLOW_WRITE,COMPNBR.COMPNAME,COMPNBR.TYPE,,
WCO Maker,WCO_MAKER,Yes,,Yes,TextObject,DBObject,,
,,Yes,Yes,Yes,ComplianceRule,DBObject,,
,,,,,Portfolio Definition,Application,,
,,,,,Portfolio Definitions,Application,,
,,,,,Party Groups,Application,,
,,,,,Party Definition,Application,,
,,,,,Party Alias,Application,,
,,Yes,Yes,Yes,AppliedRule,DBObject,,
,,,,,Trading Manager,Application,,
,,Yes,,Yes,CreditLimit,DBObject,,
,,,,,Limit Specification,Application,,
,,,,,About...,Application,,
,,,,,Four Eyes Control,Application,,
,,,,Yes,Party,DBObject,,
