Book,Treatment,T Type,Treatment filter,AI Name (Rule),Description (Rule),AI filter,Type,Trigger,AggrLevel,Posting Field,D/C,Mapped Account,Account,Account filter,Category,Description,ReversalMethod,StartDate,EndDate,RollingConv,HistAmend,Suppress,RevExclusion,RevFreq,ExcludeFXConv,FXConvDate,Periodic
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_MF_Maturity Date Principal,Bond OnBalance Maturity Date,A_AI_MF_Redemption,Money Flow,Real Time,Contract Trdnbr and Moneyflow,Cash Analysis Projected,Credit,Bond Investment Account AC,01-018 Bond Investment Account AC,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Moneyflow Pay Day,Accounting Moneyflow Pay Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_MF_Maturity Date Principal,Bond OnBalance Maturity Date,A_AI_MF_Redemption,Money Flow,Real Time,Contract Trdnbr and Moneyflow,Cash Analysis Projected,Debit,Cash Accounts Client,Cash Accounts Client,A_AC_Client,Balance Sheet,,Reverse and Replace,Accounting Moneyflow Pay Day,Accounting Moneyflow Pay Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_MF_Maturity Date Principal,Bond OnBalance Maturity Date,A_AI_MF_Redemption,Money Flow,Real Time,Contract Trdnbr and Moneyflow,Cash Analysis Projected,Debit,Cash Accounts Nostro,Cash Accounts Nostro,A_AC_Nostro,Balance Sheet,,Reverse and Replace,Accounting Moneyflow Pay Day,Accounting Moneyflow Pay Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_MF_Pay Date Interest Settlement,Interest Settlement,A_AI_MF_Coupon,Money Flow,Real Time,Contract Trade Number,Cash Analysis Projected,Credit,Bond Interest Income AC,05-007 Bond Interest Income AC,A_AC_All,Revenue Sheet,,Reverse and Replace,Accounting Moneyflow Pay Day,Accounting Moneyflow Pay Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_MF_Pay Date Interest Settlement,Interest Settlement,A_AI_MF_Coupon,Money Flow,Real Time,Contract Trade Number,Cash Analysis Projected,Debit,Cash Accounts Client,Cash Accounts Client,A_AC_Client,Balance Sheet,,Reverse and Replace,Accounting Moneyflow Pay Day,Accounting Moneyflow Pay Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_MF_Pay Date Interest Settlement,Interest Settlement,A_AI_MF_Coupon,Money Flow,Real Time,Contract Trade Number,Cash Analysis Projected,Debit,Cash Accounts Nostro,Cash Accounts Nostro,A_AC_Nostro,Balance Sheet,,Reverse and Replace,Accounting Moneyflow Pay Day,Accounting Moneyflow Pay Day,None,Yes,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Closing Value Date Premium/Discount Amortization,Premium/Discount Amortization Sell Value Date,A_AI_TD_Sell,Trade,End of Day,Trade,Accounting Depreciation Minus One BusDay,Debit,Bond Amortised Discount AC,05-008 Bond Amortised Discount AC,A_AC_Neg,Revenue Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Closing Value Date Premium/Discount Amortization,Premium/Discount Amortization Sell Value Date,A_AI_TD_Sell,Trade,End of Day,Trade,Accounting Depreciation Minus One BusDay,Debit,Bond Amortised Premium AC,07-001 Bond Amortised Premium AC,A_AC_Pos,Revenue Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Closing Value Date Premium/Discount Amortization,Premium/Discount Amortization Sell Value Date,A_AI_TD_Sell,Trade,End of Day,Trade,Accounting Depreciation Minus One BusDay,Credit,Bond Unamortised Premium Discount AC,01-019 Bond Unamortised Premium Discount AC,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
Treasury,Bond Amortised Cost,Trade,A_TR_Bond AC,Bond_TD_Closing Value Date Principal,Bond Sell Value Date,A_AI_TD_Sell,Trade,Real Time,Trade,Accounting Traded Interest,Credit,Bond Interest Accrued AC,01-020 Bond Interest Accrued AC,A_AC_All,Balance Sheet,,Reverse and Replace,Accounting Value Day,Accounting Value Day,None,No,No,None,Daily,No,,No
