SETTLEINSTRUCTION,,,,,,,SETTLEINSTRUCTIONRULE,,,,,/SETTLEINSTRUCTIONRULE,/SETTLEINSTRUCTION
SETTLE_DELIVERY_TYPE,DEFAULT_INSTRUCTION,SIZE,PTYNBR.PTYID,QUERY_FILTER,SETTLEID,ACCOUNT_TYPE,EFFECTIVE_FROM,SEC_ACCNBR.PTYNBR.PTYID,ACCNBR.PTYNBR.PTYID,SEC_ACCNBR.NAME,ACCNBR.NAME,,
Delivery versus Payment,Yes,623,Acquirer 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85yusfEBp7zRSlCanymnqtnfi0MoSBhdjqf77CsjDEMCLj8B6hpnZtRdFURR4t64Or4eByrFQY0eL5+W6bl9ESxq+XC0K82DS/7JSnGh/OfMmRUelGq9HzJukJIm3mENbRlvKlbNmKOw7DZCuBjLJ4BNnNeW2VkpC2E046pLmOCg6y9MHcqrSSBbtUlMp2fAfIJ7FdEvmwUzVB/1TGSimpo8BbQYpKa/Hh5K0FCN7LgmPNH7iUuh8q6hgyFMsYghyHQk6jRyro2H4ImyAByHXlFxD4mZsP9/nLEjJn5TeamWUiOq076gkSkioVA1XgVs8YdRwFedwQQme6GvC6I7UGSxOYjiyUMeWpMTI7obZTMACowc5syd0IDK2dKUefd7oRNfZGZipYOkzRE/JfR3kuu8BsxzeFPB2iDdCvAvC+Y8k/ya5vqW3x8U8S3wUggX4fRPWU4z0ro/IhftxRZOvq7txlx4/N4HEQLMSScmjk5JwPqDJgGUCkoa8HPgJuPM+7PqM3xlOOx4btczv24aRPv1/Zt85o5ddA3RlXLVdRZWy4QoLeMNwZLTLroy3q9n1c57N8uofZzjDAg,AQ1_DVP_EUR_COBADEFF,Cash and Security,2020-04-29,Acquirer 1,Acquirer 1,AQ1_SEC_EUR_CHASUS33,AQ1_EUR_COBADEFF,,
Delivery versus Payment,Yes,623,Acquirer 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85ytQPqC0dxopSppT5DRy2ztxaGUJg4uxVP99BeRhnAWDj8B6hpnZtRcIIUR26/K4P/ZMDUgPLUOvy3XVbGVDa7FcLZB9CO1+eSHPrLueeVeyZUoPtyP2TUrRyFvsoTfOGia0t2YpHFoDEK9OZJLBJ8xqzG2ttUphN+JoSupTr9kszymQVxVHcmjXmlKrWvwk4jlMv2QezFZ9sD+dgWJruhDQpleKiWp4KmjDCHbnovDY4EcuhS+3CgqGJ4oFDMG+I6DT2LM6GIYvyvv0IOSakmtI2IzPcjtnQUz+qPROK6tEUKdDyxTVUqVKVQsN3OKF4FroMIcrCniiqyhnO1plsDjL/sShji1oQbDbhdmMwIDRg73ZAx0IjC1TaUbfZHTi2+wEZmqy9Bmix+S+DXLT9wmzPL0p0tsh3AjhLoDzH0j+XXJzy8mekPMsyUlKDvD7prxjBJvdKaKQ/scVj76u/sZDeqa5ARKTmpVASp69lMD5SE1GWiZS0pCXg2kCHryHXZ/xO8Npz2Orlv1923Daxf/P3Dtn9HJrCV0ZVm1XMq1duGAB7xiejG7Zl/F+Nbd+ybNdXv0DZ1bDAg,AQ1_DVP_USD_CHASUS33,Cash and Security,2020-04-29,Acquirer 1,Acquirer 1,AQ1_SEC_USD_CHASUS33,AQ1_USD_CHASUS33,,
Delivery Free of Payment,Yes,895,Acquirer 1,!enc!IXppcHghMTQ4ODcheNrtm11vmzAUhu/7K1B/QN1J2x2rFGWNVGlK1iXdvQOnHZOxmTHS+PeTofkws8Fs06R2b64iY3Nezjm8Dx/JRZIkSbpabO8/3jek28S0FSXvLxdZ+UGVvJCXNxdJ90l5/V2sVU71Yc4nrSrSpj1O6fakNR/ZSzfpVlBJ0jhjnYRNZQOMr45UMkNPWNW5toUxOkbdmUa7pNg3hiZ1DgM5q8Yj9dEOa7ZGF/IpMl4f010yHaxbtaMfZkaUbk0dCrRUjTSkK65Ne7XmJaWsnzsqgVkNIwfGno8smDQ2yFqgKMytirfazCl3sCG+cNHEN8ODzOmxkJRv9t8oM7EVStlwZVhyJygod1OR5kbpWMWF9Il8k7JCjmg4RPHOqDMuaMWzGSpy1eyF7+RZ83XK+q1+NWfBPC7AHBvwTQg4iF1pXWjgYuxoYx57i079jKSPpfvoqfb0i7DVeNOIt4qwQYT9wO8CgXP/lHJ7lINtUk2rTPdKCY++Ry5qSpndOowolcs5dgY6d4OPiiAlSHkeaKd5Tld3sja6sSWwX3dtBWC+JmBeA5gAJoAJYAKYf35r2WhNMsNt5e8XZW5BwsW4ffg8VYKx9I+mHvezwDPwDDwDzy/vfnZLxghackNPSrfLr+LOUAli40EwwAlwApwAJ8A5+SAYDAVDwVAwFAwFQ8HQOIbixSlenAKOgCPgCDgCjm6gRWl/lAs8viI8vvvf8QhDgaHAUP6eobzF9fa/v96+xvX2i7/eHvaNp2NieyWqS/z9EdsZcT0R0w3z+mDYAb/U3l/1iXrPqLRT4y5b3X8kl4LX43+C7Pc5ka9+LOKsDGdt1b/1sc3lT+AphpPGfthN4+nQ+vHnfu6Gb34CJaqCnw,AQ1_EUR_COBADEFF,Cash,2020-04-29,,Acquirer 1,,AQ1_EUR_COBADEFF,,
Delivery Free of Payment,Yes,623,Acquirer 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85ytQPqC0dxopTeteKidRqt6JQytLGFyMpfrvKyAP4wBefATWM8zMrr1ACCFSrA/7j33P1ID00DL0vFxXzatsaC2WqwWyD6HdLy/liXWXMzslW6b0cD1i36QUTbzFHnrjrGFCe2uWwrY1AOlqIJMMPnFWY25rrRWE3YijKamPvWazPKdAXlUayaFdag5a1eIHiOcw/ZJ5MFv1yf50Boqt6WJAm14pJqrhoaQNI9idS8Jjg5+4FD7fKioYnigWMQT7jgSdxp7V0TB8Ud7Dg5BrSq4hcTPeX3ZzFqTkT0rvtLJKRHXatkxRLRVUqlrowC2eCK6FjnO4oARPdBXlrKBVBouT7I881LElLQl2u2E2I7DA6MHe7AkdiIwtU2lG32R04uvsDMxUsPQZoqfkvg5y0/eAWQ5vCng7xBsh3gXh/EeSf5Pc3HKyJ+Q8S3KUkgf4fVPeMYLN7hRRSP/jikdfV3/jLj3T3AQSA81KJCWPXkrC+YAmA5YJSBrycjBNwJ33Yddn/M5w2vPYqmV/3zacdun/M/fOGb3cGqAr46oVB6a1C1dYwBuGJ6Nb9mW8Xc2tn/Nsl1f/6DDC7w,AQ1_GBP_COBADEFF,Cash,2020-04-29,,Acquirer 1,,AQ1_GBP_COBADEFF,,
Delivery Free of Payment,Yes,623,Acquirer 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85yusfEBp7zRSlCanymnqtnfi0MoSBhdjqf77CsjDEMCLj8B6hpnZtRdFURR4t64Or4eByrFQY0eL5+W6bl9ESxq+XC0K82DS/7JSnGh/OfMmRUelGq9HzJukJIm3mENbRlvKlbNmKOw7DZCuBjLJ4BNnNeW2VkpC2E046pLmOCg6y9MHcqrSSBbtUlMp2fAfIJ7FdEvmwUzVB/1TGSimpo8BbQYpKa/Hh5K0FCN7LgmPNH7iUuh8q6hgyFMsYghyHQk6jRyro2H4ImyAByHXlFxD4mZsP9/nLEjJn5TeamWUiOq076gkSkioVA1XgVs8YdRwFedwQQme6GvC6I7UGSxOYjiyUMeWpMTI7obZTMACowc5syd0IDK2dKUefd7oRNfZGZipYOkzRE/JfR3kuu8BsxzeFPB2iDdCvAvC+Y8k/ya5vqW3x8U8S3wUggX4fRPWU4z0ro/IhftxRZOvq7txlx4/N4HEQLMSScmjk5JwPqDJgGUCkoa8HPgJuPM+7PqM3xlOOx4btczv24aRPv1/Zt85o5ddA3RlXLVdRZWy4QoLeMNwZLTLroy3q9n1c57N8uofZzjDAg,AQ1_SEC_EUR_CHASUS33,Security,2020-04-29,Acquirer 1,,AQ1_SEC_EUR_CHASUS33,,,
Delivery Free of Payment,Yes,623,Acquirer 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85ytQPqC0dxopTeteKidRqt6JQytLGFyMpfrvKyAP4wBefATWM8zMrr1ACCFSrA/7j33P1ID00DL0vFxXzatsaC2WqwWyD6HdLy/liXWXMzslW6b0cD1i36QUTbzFHnrjrGFCe2uWwrY1AOlqIJMMPnFWY25rrRWE3YijKamPvWazPKdAXlUayaFdag5a1eIHiOcw/ZJ5MFv1yf50Boqt6WJAm14pJqrhoaQNI9idS8Jjg5+4FD7fKioYnigWMQT7jgSdxp7V0TB8Ud7Dg5BrSq4hcTPeX3ZzFqTkT0rvtLJKRHXatkxRLRVUqlrowC2eCK6FjnO4oARPdBXlrKBVBouT7I881LElLQl2u2E2I7DA6MHe7AkdiIwtU2lG32R04uvsDMxUsPQZoqfkvg5y0/eAWQ5vCng7xBsh3gXh/EeSf5Pc3HKyJ+Q8S3KUkgf4fVPeMYLN7hRRSP/jikdfV3/jLj3T3AQSA81KJCWPXkrC+YAmA5YJSBrycjBNwJ33Yddn/M5w2vPYqmV/3zacdun/M/fOGb3cGqAr46oVB6a1C1dYwBuGJ6Nb9mW8Xc2tn/Nsl1f/6DDC7w,AQ1_SEC_GBP_CHASUS33,Security,2020-04-29,Acquirer 1,,AQ1_SEC_GBP_CHASUS33,,,
Delivery Free of Payment,Yes,623,Acquirer 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85ytQPqC0dxopSppT5DRy2ztxaGUJg4uxVP99BeRhnAWDj8B6hpnZtRcIIUR26/K4P/ZMDUgPLUOvy3XVbGVDa7FcLZB9CO1+eSHPrLueeVeyZUoPtyP2TUrRyFvsoTfOGia0t2YpHFoDEK9OZJLBJ8xqzG2ttUphN+JoSupTr9kszymQVxVHcmjXmlKrWvwk4jlMv2QezFZ9sD+dgWJruhDQpleKiWp4KmjDCHbnovDY4EcuhS+3CgqGJ4oFDMG+I6DT2LM6GIYvyvv0IOSakmtI2IzPcjtnQUz+qPROK6tEUKdDyxTVUqVKVQsN3OKF4FroMIcrCniiqyhnO1plsDjL/sShji1oQbDbhdmMwIDRg73ZAx0IjC1TaUbfZHTi2+wEZmqy9Bmix+S+DXLT9wmzPL0p0tsh3AjhLoDzH0j+XXJzy8mekPMsyUlKDvD7prxjBJvdKaKQ/scVj76u/sZDeqa5ARKTmpVASp69lMD5SE1GWiZS0pCXg2kCHryHXZ/xO8Npz2Orlv1923Daxf/P3Dtn9HJrCV0ZVm1XMq1duGAB7xiejG7Zl/F+Nbd+ybNdXv0DZ1bDAg,AQ1_SEC_USD_CHASUS33,Security,2020-04-29,Acquirer 1,,AQ1_SEC_USD_CHASUS33,,,
Delivery Free of Payment,Yes,893,Acquirer 1,!enc!IXppcHghMTQ4ODcheNrtm99umzAUxu/7FKgPUHfSdscqRWkjVZqSVUl375DTjglsZow03n6yaRLMbDDbNKndl6vI2JyPcw7fjz/JRZIkSbpabB8+PTSk2kS3FSUfLxdZeStLnovLm4vEflJefy/W8kD1cc5nJStSuj1NsXtSio/sxU66K6gkoZ0xK2FTmQDjqyOVzNATVtXXttBaxajraTRL8n2jaVLnMJCzajxSF+24ZqtVLp4j43Ux3SXTweyqHf3QM6LYNXUo0FI2QpOquNLt1ZqXlLJu7qgEZjSMHBh7ObJg0tgga4GiMLcq3mozp9zBhvjCiya+GR7FgZ5yQYfN/htlOrZCKRuuDEu2goJyNxUprqWKVZwLn8h3KcvFiIZjFO+MOuMFrXg2Q8VBNvvCd/Ks+Tpl3Va/ml4wjwswxwZ8EwIOYlYaFxq4GDvZmMfeolM/I+lj6T55qjn9Imw13jTirSJsEGE/8LtA4Nw/p9wc5WCbkNMq072UhUffEy9qSpnZOowopMs51gOdu8FHRZASpOwH2il+oKt7UWvVmBKYr7u2AjDfEjCvAUwAE8AEMAHMP7+1bJQikeG28veLMrcg4WI8bm+nSjCW/tHU434WeAaegWfg+fXdz25J64KWXNOzVO3ya3GvqQSx8SAY4AQ4AU6AE+CcfBAMhoKhYCgYCoaCoWBoHEPx4hQvTgFHwBFwBBwBRzfQojQ/ygUe3xAeP/zveIShwFBgKH/PUN7jevvfX29f43r71V9vD/vG0zGxvRLVJf7+iO2MuJ6I6YZ5fTDsgF9q76/6RL1nVNqpsc2W/Y/ksuD1+J8gu31O5Ksbizgrw1lbdW99THP5E3iO4aSxG3bTeD60bvyln+3wzU8lyIKf,AQ1_USD_CHASUS33,Cash,2020-04-29,,Acquirer 1,,AQ1_USD_CHASUS33,,
Delivery versus Payment,Yes,623,Client 1,!enc!IXppcHghMjc1NCF42pVWy27DIBC85yusfEBp7zRSlCanymnqtnfi0MoSBhdjqf77CsjDEMCLj8B6hpnZtRdFURR4t64Or4eByrFQY0eL5+W6bl9ESxq+XC0K82DS/7JSnGh/OfMmRUelGq9HzJukJIm3mENbRlvKlbNmKOw7DZCuBjLJ4BNnNeW2VkpC2E046pLmOCg6y9MHcqrSSBbtUlMp2fAfIJ7FdEvmwUzVB/1TGSimpo8BbQYpKa/Hh5K0FCN7LgmPNH7iUuh8q6hgyFMsYghyHQk6jRyro2H4ImyAByHXlFxD4mZsP9/nLEjJn5TeamWUiOq076gkSkioVA1XgVs8YdRwFedwQQme6GvC6I7UGSxOYjiyUMeWpMTI7obZTMACowc5syd0IDK2dKUefd7oRNfZGZipYOkzRE/JfR3kuu8BsxzeFPB2iDdCvAvC+Y8k/ya5vqW3x8U8S3wUggX4fRPWU4z0ro/IhftxRZOvq7txlx4/N4HEQLMSScmjk5JwPqDJgGUCkoa8HPgJuPM+7PqM3xlOOx4btczv24aRPv1/Zt85o5ddA3RlXLVdRZWy4QoLeMNwZLTLroy3q9n1c57N8uofZzjDAg,CL1_DVP_EUR_CHASUS33,Cash and Security,2020-04-29,Client 1,Client 1,CL1_SEC_EUR_CHASUS33,CL1_EUR_CHASUS33,,
