BOOKLINK,,,/BOOKLINK
BOOK.NAME,TREATMENT.NAME,ID,
Treasury,Bank Notes Commodity Fwd,Treasury|Bank Notes Commodity Fwd,
Treasury,Bank Notes Commodity Spot,Treasury|Bank Notes Commodity Spot,
Treasury,Bond Amortised Cost,Treasury|Bond Amortised Cost,
Treasury,Bond Forward,Treasury|Bond Forward,
Treasury,Bond FVOCI,Treasury|Bond FVOCI,
Treasury,Bond FVTPL,Treasury|Bond FVTPL,
Treasury,Bond Issuance,Treasury|Bond Issuance,
Treasury,Bond Option,Treasury|Bond Option,
Treasury,Borrowing,Treasury|Borrowing,
Treasury,Cash_Payment Autoinvest,Treasury|Cash_Payment Autoinvest,
Treasury,CCS IRS,Treasury|CCS IRS,
Treasury,DCI Premium,Treasury|DCI Premium,
Treasury,FRA,Treasury|FRA,
Treasury,FX Forward,Treasury|FX Forward,
Treasury,FX NDF,Treasury|FX NDF,
Treasury,FX Spot,Treasury|FX Spot,
Treasury,FX Swap,Treasury|FX Swap,
Treasury,FXO,Treasury|FXO,
Treasury,MMLD FXO,Treasury|MMLD FXO,
Treasury,MMLD Rate,Treasury|MMLD Rate,
Treasury,Placement,Treasury|Placement,
Treasury,Placement(Discounted),Treasury|Placement(Discounted),
Treasury,Repo,Treasury|Repo,
Treasury,Repo Coupon Transfer,Treasury|Repo Coupon Transfer,
Treasury,Reverse Repo,Treasury|Reverse Repo,
Treasury,Settlement,Treasury|Settlement,
