CONTEXT,CONTEXTLINK,,,,,,,/CONTEXTLINK,/CONTEXT
NAME,ATTRIBUTE0,PRFNBR.PRFID,NAME,PRFNBR.ASSINF,ATTRIBUTE_TYPE0,MAPPING_TYPE,TYPE,,
Accounting,Swap,,Last EOD Price,,Instrument Type,Attribute1,Price Finding,,
,Bill,,Bid Price,,Instrument Type,Attribute1,Price Finding,,
,Bond,,Bid Price,,Instrument Type,Attribute1,Price Finding,,
,Cap,,Last EOD Price,,Instrument Type,Attribute1,Price Finding,,
,Curr,,Last EOD Price,,Instrument Type,Attribute1,Price Finding,,
,CurrSwap,,Last EOD Price,,Instrument Type,Attribute1,Price Finding,,
,FRN,,Bid Price,,Instrument Type,Attribute1,Price Finding,,
,Floor,,Last EOD Price,,Instrument Type,Attribute1,Price Finding,,
,FxSwap,,Last EOD Price,,Instrument Type,Attribute1,Price Finding,,
,RateIndex,,Last EOD Price,,Instrument Type,Attribute1,Price Finding,,
,Stock,,Last EOD Price,,Instrument Type,Attribute1,Price Finding,,
,,,ACCOUNTING AC/OCI,,,General,Accounting Parameter,,
,,BB BOND PL,ACCOUNTING PL,BB BOND PL,,Portfolio,Accounting Parameter,,
,,BB BOND SHARIA PL,ACCOUNTING_SHARIAH PL,BB BOND SHARIA PL,,Portfolio,Accounting Parameter,,
,,BB BOND SHARIA OCI,ACCOUNTING_SHARIAH AC/OCI,BB BOND SHARIA OCI,,Portfolio,Accounting Parameter,,
,,BB BOND SHARIA AC,ACCOUNTING_SHARIAH AC/OCI,BB BOND SHARIA AC,,Portfolio,Accounting Parameter,,
,,IRT DCM 8,ACCOUNTING PL,IRT DCM 8,,Portfolio,Accounting Parameter,,
,,IRT DCM 7,ACCOUNTING PL,IRT DCM 7,,Portfolio,Accounting Parameter,,
,,IRT DCM 6,ACCOUNTING PL,IRT DCM 6,,Portfolio,Accounting Parameter,,
,,IRT DCM 5,ACCOUNTING PL,IRT DCM 5,,Portfolio,Accounting Parameter,,
,,IRT DCM 4,ACCOUNTING PL,IRT DCM 4,,Portfolio,Accounting Parameter,,
,,IRT DCM 3,ACCOUNTING PL,IRT DCM 3,,Portfolio,Accounting Parameter,,
,,IRT DCM 2,ACCOUNTING PL,IRT DCM 2,,Portfolio,Accounting Parameter,,
,,IRT DCM 1,ACCOUNTING PL,IRT DCM 1,,Portfolio,Accounting Parameter,,
,,IRT Dept Head Bond RDPU Der,ACCOUNTING PL,IRT Dept Head Bond RDPU Der,,Portfolio,Accounting Parameter,,
,,Commercial 6,ACCOUNTING AC/OCI,Commercial 6,,Portfolio,Accounting Parameter,,
,,Commercial 5,ACCOUNTING AC/OCI,Commercial 5,,Portfolio,Accounting Parameter,,
,,Commercial 4,ACCOUNTING AC/OCI,Commercial 4,,Portfolio,Accounting Parameter,,
,,Commercial 3,ACCOUNTING AC/OCI,Commercial 3,,Portfolio,Accounting Parameter,,
,,Commercial 2,ACCOUNTING AC/OCI,Commercial 2,,Portfolio,Accounting Parameter,,
,,Commercial 1,ACCOUNTING AC/OCI,Commercial 1,,Portfolio,Accounting Parameter,,
,,GVI 2,ACCOUNTING AC/OCI,GVI 2,,Portfolio,Accounting Parameter,,
,,GVI 1,ACCOUNTING AC/OCI,GVI 1,,Portfolio,Accounting Parameter,,
,,CB 6,ACCOUNTING AC/OCI,CB 6,,Portfolio,Accounting Parameter,,
,,CB 5,ACCOUNTING AC/OCI,CB 5,,Portfolio,Accounting Parameter,,
,,CB 4,ACCOUNTING AC/OCI,CB 4,,Portfolio,Accounting Parameter,,
,,CB 3,ACCOUNTING AC/OCI,CB 3,,Portfolio,Accounting Parameter,,
,,CB 2,ACCOUNTING AC/OCI,CB 2,,Portfolio,Accounting Parameter,,
,,CB 1,ACCOUNTING AC/OCI,CB 1,,Portfolio,Accounting Parameter,,
,,IRT MM Bond RDPU 3,ACCOUNTING PL,IRT MM Bond RDPU 3,,Portfolio,Accounting Parameter,,
,,IRT MM Bond RDPU 2,ACCOUNTING PL,IRT MM Bond RDPU 2,,Portfolio,Accounting Parameter,,
,,IRT MM Bond RDPU 1,ACCOUNTING PL,IRT MM Bond RDPU 1,,Portfolio,Accounting Parameter,,
,,SAM 3,ACCOUNTING AC/OCI,SAM 3,,Portfolio,Accounting Parameter,,
,,SAM 2,ACCOUNTING AC/OCI,SAM 2,,Portfolio,Accounting Parameter,,
,,SAM 1,ACCOUNTING AC/OCI,SAM 1,,Portfolio,Accounting Parameter,,
,,BB BOND AC,ACCOUNTING AC/OCI,BB BOND AC,,Portfolio,Accounting Parameter,,
,FRA,,Last EOD Price,,Instrument Type,Attribute1,Price Finding,,
,Future/Forward,,Last EOD Price,,Instrument Type,Attribute1,Price Finding,,
,Option,,Last EOD Price,,Instrument Type,Attribute1,Price Finding,,
,Fund,,Bid Price,,Instrument Type,Attribute1,Price Finding,,
,,Wholesale SP,ACCOUNTING FX,Wholesale SP,,Portfolio,Accounting Parameter,,
,,Wholesale FX Branch,ACCOUNTING FX,Wholesale FX Branch,,Portfolio,Accounting Parameter,,
,,Wholesale FX & Derivative BO,ACCOUNTING FX,Wholesale FX & Derivative BO,,Portfolio,Accounting Parameter,,
,,Retail SP,ACCOUNTING FX,Retail SP,,Portfolio,Accounting Parameter,,
,,Retail FX Branch,ACCOUNTING FX,Retail FX Branch,,Portfolio,Accounting Parameter,,
,,Retail FX BO,ACCOUNTING FX,Retail FX BO,,Portfolio,Accounting Parameter,,
,,FXT Spot Major,ACCOUNTING FX,FXT Spot Major,,Portfolio,Accounting Parameter,,
,,FXT Spot Emerging,ACCOUNTING FX,FXT Spot Emerging,,Portfolio,Accounting Parameter,,
,,FXT Specialist 3,ACCOUNTING FX,FXT Specialist 3,,Portfolio,Accounting Parameter,,
,,FXT Specialist 2,ACCOUNTING FX,FXT Specialist 2,,Portfolio,Accounting Parameter,,
,,FXT Specialist 1,ACCOUNTING FX,FXT Specialist 1,,Portfolio,Accounting Parameter,,
,,FXT Derivatives 3,ACCOUNTING FX,FXT Derivatives 3,,Portfolio,Accounting Parameter,,
,,FXT Derivatives 2,ACCOUNTING FX,FXT Derivatives 2,,Portfolio,Accounting Parameter,,
,,FXT Derivatives 1,ACCOUNTING FX,FXT Derivatives 1,,Portfolio,Accounting Parameter,,
,,FXT Dept Head,ACCOUNTING FX,FXT Dept Head,,Portfolio,Accounting Parameter,,
,,Banknotes Interbank,ACCOUNTING FX,Banknotes Interbank,,Portfolio,Accounting Parameter,,
,,Banknotes Export Import,ACCOUNTING FX,Banknotes Export Import,,Portfolio,Accounting Parameter,,
,,BB FX,ACCOUNTING FX,BB FX,,Portfolio,Accounting Parameter,,
,,FXT Spot Major 3,ACCOUNTING FX,FXT Spot Major 3,,Portfolio,Accounting Parameter,,
,,FXT Spot Major 2,ACCOUNTING FX,FXT Spot Major 2,,Portfolio,Accounting Parameter,,
,,FXT Spot Major 1,ACCOUNTING FX,FXT Spot Major 1,,Portfolio,Accounting Parameter,,
,,FXT Spot Emerging 3,ACCOUNTING FX,FXT Spot Emerging 3,,Portfolio,Accounting Parameter,,
,,FXT Spot Emerging 2,ACCOUNTING FX,FXT Spot Emerging 2,,Portfolio,Accounting Parameter,,
,,FXT Spot Emerging 1,ACCOUNTING FX,FXT Spot Emerging 1,,Portfolio,Accounting Parameter,,
,,IBFI 1,ACCOUNTING AC/OCI,IBFI 1,,Portfolio,Accounting Parameter,,
,,Clients Bonds Tax Amnesty,ACCOUNTING PL,Clients Bonds Tax Amnesty,,Portfolio,Accounting Parameter,,
,,Clients Bonds FI,ACCOUNTING PL,Clients Bonds FI,,Portfolio,Accounting Parameter,,
,,Clients Bonds Retail,ACCOUNTING PL,Clients Bonds Retail,,Portfolio,Accounting Parameter,,
