TACCOUNTALLOCLINK,,,,,,/TACCOUNTALLOCLINK
COA.ID,CHART_OF_ACCOUNT.T_ACCOUNT.NUMBER,JVD.ID,CHART_OF_ACCOUNT.BOOK.NAME,ID,TREATMENT.NAME,
Treasury|21011110_TaxBilateralLoan,21011110_TaxBilateralLoan,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit,Treasury,Treasury|21011110_TaxBilateralLoan|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit|Borrowing,Borrowing,
Treasury|21011110_TaxBilateralLoan,21011110_TaxBilateralLoan,PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit,Treasury,Treasury|21011110_TaxBilateralLoan|PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit|Borrowing,Borrowing,
Treasury|21011110_TaxBilateralLoan,21011110_TaxBilateralLoan,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit,Treasury,Treasury|21011110_TaxBilateralLoan|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit|Borrowing,Borrowing,
Treasury|21011102_TaxFIForeign,21011102_TaxFIForeign,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit,Treasury,Treasury|21011102_TaxFIForeign|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit|Bond Amortised Cost,Bond Amortised Cost,
Treasury|21011102_TaxFIForeign,21011102_TaxFIForeign,PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit,Treasury,Treasury|21011102_TaxFIForeign|PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit|Bond Amortised Cost,Bond Amortised Cost,
Treasury|21011102_TaxFIForeign,21011102_TaxFIForeign,PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit,Treasury,Treasury|21011102_TaxFIForeign|PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit|Bond FVOCI,Bond FVOCI,
Treasury|21011102_TaxFIForeign,21011102_TaxFIForeign,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit,Treasury,Treasury|21011102_TaxFIForeign|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit|Bond FVOCI,Bond FVOCI,
Treasury|21011102_TaxFIForeign,21011102_TaxFIForeign,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit,Treasury,Treasury|21011102_TaxFIForeign|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit|Bond FVTPL,Bond FVTPL,
Treasury|21011102_TaxFIForeign,21011102_TaxFIForeign,PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit,Treasury,Treasury|21011102_TaxFIForeign|PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit|Bond FVTPL,Bond FVTPL,
Treasury|21011102_TaxFIForeign,21011102_TaxFIForeign,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit,Treasury,Treasury|21011102_TaxFIForeign|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit|Bond Amortised Cost,Bond Amortised Cost,
Treasury|21011102_TaxFIForeign,21011102_TaxFIForeign,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit,Treasury,Treasury|21011102_TaxFIForeign|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit|Bond FVOCI,Bond FVOCI,
Treasury|21011102_TaxFIForeign,21011102_TaxFIForeign,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit,Treasury,Treasury|21011102_TaxFIForeign|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI)|Cash Analysis Projected|Debit|Bond FVTPL,Bond FVTPL,
Treasury|21011110_TaxDerivative,21011110_TaxDerivative,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit,Treasury,Treasury|21011110_TaxDerivative|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit|FXO,FXO,
Treasury|21011110_TaxDerivative,21011110_TaxDerivative,PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit,Treasury,Treasury|21011110_TaxDerivative|PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Credit|FXO,FXO,
Treasury|21011110_TaxDerivative,21011110_TaxDerivative,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit,Treasury,Treasury|21011110_TaxDerivative|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY_IDR|Cash Analysis Projected|Credit|MMLD FXO,MMLD FXO,
