TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury,Bank Notes Commodity Fwd,BN_MF_Value Date Premium,Treasury|Bank Notes Commodity Fwd|BN_MF_Value Date Premium,
Treasury,Bank Notes Commodity Spot,BN_MF_Value Date Premium,Treasury|Bank Notes Commodity Spot|BN_MF_Value Date Premium,
Treasury,Bank Notes Commodity Fwd,BN_MF_Value Date Premium PnL,Treasury|Bank Notes Commodity Fwd|BN_MF_Value Date Premium PnL,
Treasury,Bank Notes Commodity Spot,BN_MF_Value Date Premium PnL,Treasury|Bank Notes Commodity Spot|BN_MF_Value Date Premium PnL,
Treasury,Bank Notes Commodity Fwd,BN_TD_Trade Date Nominal OffBalance,Treasury|Bank Notes Commodity Fwd|BN_TD_Trade Date Nominal OffBalance,
Treasury,Bank Notes Commodity Spot,BN_TD_Trade Date Nominal OffBalance,Treasury|Bank Notes Commodity Spot|BN_TD_Trade Date Nominal OffBalance,
Treasury,Bank Notes Commodity Fwd,BN_TD_Trade Date Premium OffBalance,Treasury|Bank Notes Commodity Fwd|BN_TD_Trade Date Premium OffBalance,
Treasury,Bank Notes Commodity Spot,BN_TD_Trade Date Premium OffBalance,Treasury|Bank Notes Commodity Spot|BN_TD_Trade Date Premium OffBalance,
Treasury,Bank Notes Commodity Fwd,BN_TD_Value Date Nominal,Treasury|Bank Notes Commodity Fwd|BN_TD_Value Date Nominal,
Treasury,Bank Notes Commodity Spot,BN_TD_Value Date Nominal,Treasury|Bank Notes Commodity Spot|BN_TD_Value Date Nominal,
Treasury,Bank Notes Commodity Fwd,BN_TD_Value Date Nominal OffBalance,Treasury|Bank Notes Commodity Fwd|BN_TD_Value Date Nominal OffBalance,
Treasury,Bank Notes Commodity Spot,BN_TD_Value Date Nominal OffBalance,Treasury|Bank Notes Commodity Spot|BN_TD_Value Date Nominal OffBalance,
Treasury,Bank Notes Commodity Fwd,BN_TD_Value Date Nominal PnL,Treasury|Bank Notes Commodity Fwd|BN_TD_Value Date Nominal PnL,
Treasury,Bank Notes Commodity Spot,BN_TD_Value Date Nominal PnL,Treasury|Bank Notes Commodity Spot|BN_TD_Value Date Nominal PnL,
Treasury,Bank Notes Commodity Fwd,BN_TD_Value Date Premium OffBalance,Treasury|Bank Notes Commodity Fwd|BN_TD_Value Date Premium OffBalance,
Treasury,Bank Notes Commodity Spot,BN_TD_Value Date Premium OffBalance,Treasury|Bank Notes Commodity Spot|BN_TD_Value Date Premium OffBalance,
Treasury,Bond Forward,Bond Forward_MF_OffBalance Expiry Date Fwd Premium,Treasury|Bond Forward|Bond Forward_MF_OffBalance Expiry Date Fwd Premium,
Treasury,Bond Forward,Bond Forward_MF_OffBalance Trade Date Fwd Premium,Treasury|Bond Forward|Bond Forward_MF_OffBalance Trade Date Fwd Premium,
Treasury,Bond Forward,Bond Forward_TD_Daily MtM Contract,Treasury|Bond Forward|Bond Forward_TD_Daily MtM Contract,
Treasury,Bond Forward,Bond Forward_TD_OffBalance Expiry Date Contract Value,Treasury|Bond Forward|Bond Forward_TD_OffBalance Expiry Date Contract Value,
Treasury,Bond Forward,Bond Forward_TD_OffBalance Trade Date Contract Value,Treasury|Bond Forward|Bond Forward_TD_OffBalance Trade Date Contract Value,
Treasury,Bond FVTPL,Bond FVTPL_TD_Trade Date Buy,Treasury|Bond FVTPL|Bond FVTPL_TD_Trade Date Buy,
Treasury,Bond Issuance,Bond Issue_TD_ Attributable Fee Amortization Maturity Date,Treasury|Bond Issuance|Bond Issue_TD_ Attributable Fee Amortization Maturity Date,
Treasury,Bond Issuance,Bond Issue_TD_Premium/Discount Amortization Maturity Date,Treasury|Bond Issuance|Bond Issue_TD_Premium/Discount Amortization Maturity Date,
Treasury,Bond Amortised Cost,Bond OCI/AC_TD_Trade Date Buy,Treasury|Bond Amortised Cost|Bond OCI/AC_TD_Trade Date Buy,
Treasury,Bond FVOCI,Bond OCI/AC_TD_Trade Date Buy,Treasury|Bond FVOCI|Bond OCI/AC_TD_Trade Date Buy,
Treasury,Bond Option,Bond Option_MF_Premium Pay Date,Treasury|Bond Option|Bond Option_MF_Premium Pay Date,
Treasury,Bond Option,Bond Option_MF_Premium Trade Date,Treasury|Bond Option|Bond Option_MF_Premium Trade Date,
Treasury,Bond Option,Bond Option_TD_Daily MtM,Treasury|Bond Option|Bond Option_TD_Daily MtM,
