TREATMENTMAPPING,,,,,,,,/TREATMENTMAPPING
BOOK.NAME,ID,QUERY_SEQNBR.NAME,NEXT_ID,QUERY_SEQNBR.TYPE,BOOK_LINK.ID,PREVIOUS_ID,TYPE,
Treasury,6562097a-0d1f-4e5e-ba53-15f1b23f0e57,A_TR_FXNDF,4311fdd8-f728-492b-8dc1-0f060ee02fef,FASQL Query,Treasury|FX NDF,f89f7838-d4bb-479f-b570-e5369db6502f,Trade,
Treasury,4311fdd8-f728-492b-8dc1-0f060ee02fef,A_TR_FX_Spot,37d50953-a20d-465c-8333-ebc7d335677c,FASQL Query,Treasury|FX Spot,6562097a-0d1f-4e5e-ba53-15f1b23f0e57,Trade,
Treasury,357cffa7-4e1b-4636-8230-250c5167c5f9,A_TR_FXO,a12df5f8-1236-42b4-b105-698ee24663ca,FASQL Query,Treasury|FXO,61be18fe-2348-415b-a120-56102c89c235,Trade,
Treasury,a12df5f8-1236-42b4-b105-698ee24663ca,A_TR_Bond AC,02afda7c-2217-42e5-a4c1-6804872c53d4,FASQL Query,Treasury|Bond Amortised Cost,357cffa7-4e1b-4636-8230-250c5167c5f9,Trade,
Treasury,02afda7c-2217-42e5-a4c1-6804872c53d4,A_TR_Bond FVOCI,bc89e2a2-2d92-4140-9a0e-a761f53780eb,FASQL Query,Treasury|Bond FVOCI,a12df5f8-1236-42b4-b105-698ee24663ca,Trade,
Treasury,bc89e2a2-2d92-4140-9a0e-a761f53780eb,A_TR_Bond FVTPL,2d4c89a6-4486-4c02-8cb1-1c0ec592a124,FASQL Query,Treasury|Bond FVTPL,02afda7c-2217-42e5-a4c1-6804872c53d4,Trade,
Treasury,f89f7838-d4bb-479f-b570-e5369db6502f,A_TR_CCS_IRS,6562097a-0d1f-4e5e-ba53-15f1b23f0e57,FASQL Query,Treasury|CCS IRS,5931babd-b522-4dc9-99b0-93702ebd6896,Trade,
Treasury,5931babd-b522-4dc9-99b0-93702ebd6896,A_TR_ReverseRepo,f89f7838-d4bb-479f-b570-e5369db6502f,FASQL Query,Treasury|Reverse Repo,f7130e7e-ad3b-4414-9d2b-cb23831183cf,Trade,
Treasury,f7130e7e-ad3b-4414-9d2b-cb23831183cf,A_TR_Placement,5931babd-b522-4dc9-99b0-93702ebd6896,FASQL Query,Treasury|Placement,3c710d6f-05ee-41b8-91c3-a7b86f88f69a,Trade,
Treasury,3c710d6f-05ee-41b8-91c3-a7b86f88f69a,A_TR_Borrowing,f7130e7e-ad3b-4414-9d2b-cb23831183cf,FASQL Query,Treasury|Borrowing,,Trade,
Treasury,37d50953-a20d-465c-8333-ebc7d335677c,A_TR_FX_Forward,61be18fe-2348-415b-a120-56102c89c235,FASQL Query,Treasury|FX Forward,4311fdd8-f728-492b-8dc1-0f060ee02fef,Trade,
Treasury,61be18fe-2348-415b-a120-56102c89c235,A_TR_FX_Swap,357cffa7-4e1b-4636-8230-250c5167c5f9,FASQL Query,Treasury|FX Swap,37d50953-a20d-465c-8333-ebc7d335677c,Trade,
Treasury,2d4c89a6-4486-4c02-8cb1-1c0ec592a124,A_TR_Discounted Term Deposit,c97a13f4-0954-4426-a4f9-a27db9006b36,FASQL Query,Treasury|Placement(Discounted),bc89e2a2-2d92-4140-9a0e-a761f53780eb,Trade,
Treasury,c97a13f4-0954-4426-a4f9-a27db9006b36,A_TR_Bond Issuance,4357fea6-b6d6-4d66-b310-2db51170fcbe,FASQL Query,Treasury|Bond Issuance,2d4c89a6-4486-4c02-8cb1-1c0ec592a124,Trade,
Treasury,4357fea6-b6d6-4d66-b310-2db51170fcbe,A_TR_FRA,4b14eea4-a9e2-4608-8a9f-d020967aa27f,FASQL Query,Treasury|FRA,c97a13f4-0954-4426-a4f9-a27db9006b36,Trade,
Treasury,4b14eea4-a9e2-4608-8a9f-d020967aa27f,A_TR_RepoCollateral Coupon Transfer,f3cb994f-6680-40f4-a6f1-dbcc63cf83a7,FASQL Query,Treasury|Repo Coupon Transfer,4357fea6-b6d6-4d66-b310-2db51170fcbe,Trade,
Treasury,f3cb994f-6680-40f4-a6f1-dbcc63cf83a7,A_TR_Repo,8b736bfa-3e41-4c37-a86e-e22788cc8b4d,FASQL Query,Treasury|Repo,4b14eea4-a9e2-4608-8a9f-d020967aa27f,Trade,
Treasury,8b736bfa-3e41-4c37-a86e-e22788cc8b4d,A_TR_Bond Option,8cebcaa4-fc0a-4f61-a8d2-1f064fd1b193,FASQL Query,Treasury|Bond Option,f3cb994f-6680-40f4-a6f1-dbcc63cf83a7,Trade,
Treasury,8cebcaa4-fc0a-4f61-a8d2-1f064fd1b193,A_TR_Bank Note Commodity Spot,14df98ee-276b-45c1-a998-2c040dc84940,FASQL Query,Treasury|Bank Notes Commodity Spot,8b736bfa-3e41-4c37-a86e-e22788cc8b4d,Trade,
Treasury,14df98ee-276b-45c1-a998-2c040dc84940,A_TR_Bank Note Commodity Fwd,e0dbc278-bfbf-42b1-a2d5-23dd2229486c,FASQL Query,Treasury|Bank Notes Commodity Fwd,8cebcaa4-fc0a-4f61-a8d2-1f064fd1b193,Trade,
Treasury,ceb37eb0-0d44-49ab-a079-198de4a5b9f0,,,,Treasury|Settlement,,Settlement,
Treasury,e0dbc278-bfbf-42b1-a2d5-23dd2229486c,A_TR_MMLD FXO,b1dbcc80-6fca-4a71-9a4f-7b106415e964,FASQL Query,Treasury|MMLD FXO,14df98ee-276b-45c1-a998-2c040dc84940,Trade,
Treasury,b1dbcc80-6fca-4a71-9a4f-7b106415e964,A_TR_DCIDeposit,3bc60915-f27d-4497-9799-6d2ed1ed39bd,FASQL Query,Treasury|DCI Premium,e0dbc278-bfbf-42b1-a2d5-23dd2229486c,Trade,
Treasury,3bc60915-f27d-4497-9799-6d2ed1ed39bd,A_TR_MMLD Rate,905b0e72-1b20-447c-bf5b-3fb70873cbd0,FASQL Query,Treasury|MMLD Rate,b1dbcc80-6fca-4a71-9a4f-7b106415e964,Trade,
Treasury,905b0e72-1b20-447c-bf5b-3fb70873cbd0,A_TR_Bond Forward,,FASQL Query,Treasury|Bond Forward,3bc60915-f27d-4497-9799-6d2ed1ed39bd,Trade,
