TREATMENT,,,/TREATMENT
NAME,TYPE,DESCRIPTION,
Bank Notes Commodity Fwd,Trade,Bank Notes Commodity Fwd,
Bank Notes Commodity Spot,Trade,Bank Notes Commodity Spot,
Bond Amortised Cost,Trade,Bond Amortised Cost,
Bond Forward,Trade,Bond Forward,
Bond FVOCI,Trade,Bond FVOCI,
Bond FVTPL,Trade,Bond FVTPL,
Bond Issuance,Trade,Bond Issuance,
Bond Option,Trade,Bond Option,
Borrowing,Trade,Borrowing,
Cash_Payment Autoinvest,Settlement,Cash_Payment Autoinvest,
CCS IRS,Trade,Swaps,
DCI Premium,Trade,DCI Premium,
FRA,Trade,FRA,
FX Forward,Trade,FX Forward,
FX NDF,Trade,FX NDF,
FX Spot,Trade,FX Spot,
FX Swap,Trade,FX Swap,
FXO,Trade,FXO,
MMLD FXO,Trade,MMLD FXO,
MMLD Rate,Trade,MMLD Rate,
Placement,Trade,Placement,
Placement(Discounted),Trade,Placement(Discounted),
Repo,Trade,Repurchase Agreement,
Repo Coupon Transfer,Trade,Repo Coupon Transfer,
Reverse Repo,Trade,Reverse Repurchase Agreement,
Settlement,Settlement,Settlement,
