ADDITIONALINFOSPEC,,,,,,,/ADDITIONALINFOSPEC
SUBREC_MASK1,SUBREC_MASK2,DESCRIPTION,DATA_TYPE.GRP,DATA_TYPE.TYPE,FIELD_NAME,REC_TYPE,
1216,,BondPortfolio,RecordRef,Portfolio,BondPortfolio,Trade,
1048576,,Client Rate,Standard,String,ClientRate,Trade,
1216,32768,CTP Number,Standard,String,CTPNumber,Trade,
,,DealerCode,Standard,String,DealerCode,Trade,
,,Underlying Maturity Date,Standard,Date,UnderlyingMatDate,Trade,
,,DocumentType,RecordRef,ChoiceList,DocumentType,Trade,
,2097152,Fund Maturity Date,Standard,Date,FundMaturityDate,Instrument,
192,,Recording Day,Standard,Integer,RecordingDay,Trade,
,,RTM,RecordRef,ChoiceList,RTM,Trade,
1048576,,Spot Rate,Standard,Double,SpotRate,Trade,
8192,,SyariahDepositType,RecordRef,ChoiceList,SyariahDepositType,Trade,
8192,,Nisbah,Standard,String,Nisbah,Trade,
,,TransactionPurpose,RecordRef,ChoiceList,TransactionPurpose,Trade,
,,Nominal of Underlying,Standard,Double,UnderlyingNominal,Trade,
,,Underlying Reference,Standard,String,UnderlyingRef,Trade,
,,BankNoteCurrency,Standard,String,BankNoteCurr,CurrencyPair,
,,Counterparty Name,Standard,String,CptyName,Trade,
9408,,Manual WHT,Standard,Boolean,ManualWHT,Trade,
1216,,Collectability,Standard,String,Collectability,Instrument,
