INSTRALIASTYPE,,,,/INSTRALIASTYPE,,,
ALIAS_TYPE_DESCRIPTION,NETWORK,TYPE,ALIAS_TYPE_NAME,,,,
,,Instrument,CTP ALIAS,,,,
,,Instrument,S-INVEST ALIAS,,,,
,,Instrument,CUSTODY ALIAS,,,,
,,Instrument,BI-SSSS ALIAS,,,,
,,Instrument,ANTASENA       ,,,,
,,Instrument,BB             ,,,,
,,Instrument,BB NUMBER      ,,,,
,,Instrument,BBGID               ,,,,
,,Instrument,CUSIP          ,,,,
,,Instrument,ID             ,,,,
,,Instrument,ID CUSIP       ,,,,
,,Instrument,ID NUMBER      ,,,,
,,Instrument,ISIN           ,,,,
,,Instrument,JENIS          ,,,,
,,Instrument,LB07           ,,,,
,,Instrument,LB07GOL        ,,,,
,,Instrument,LB07PORT       ,,,,
,,Instrument,LBU04          ,,,,
,,Instrument,LBU07          ,,,,
,,Instrument,LBU07PORT      ,,,,
,,Instrument,LBU2           ,,,,
,,Instrument,LISTING        ,,,,
,,Instrument,OTHER          ,,,,
,,Instrument,PERINGKAT,,,,
