USERPROFILE,,PROFILECOMPONENT,,,/PROFILECOMPONENT,/USERPROFILE
DESCRIPTION,PROFID,COMPNBR.COMPNAME,COMPNBR.TYPE,FUNCS,,
Instrument Applications,INS_APP,Basket Repo/Reverse Legacy,Application,Trading/&IR,,
,,Bill,Application,Trading/&IR,,
,,Bond,Application,Trading/&IR,,
,,CD,Application,Trading/&IR,,
,,Call Deposit/Loan,Application,Trading/&MM,,
,,Cap,Application,Trading/&IR,,
,,Cash Flow Engineering,Application,Trading/&IR,,
,,Cash Payment,Application,Trading/&FX,,
,,Curr Swap,Application,Trading/&IR,,
,,Currency,Application,Trading/&FX,,
,,Deposit/Loan,Application,Trading/&MM,,
,,Engineering Trade,Application,Trading/&IR,,
,,FRA,Application,Trading/&IR,,
,,FRN,Application,Trading/&IR,,
,,FX Cash,Application,Trading/&FX,,
,,FX Rate,Application,Trading/&FX,,
,,FX Swap Instrument,Application,Trading/&FX,,
,,Flexi Bond,Application,Trading/&IR,,
,,Floor,Application,Trading/&IR,,
,,Future/Forward,Application,Trading/&IR,,
,,NDF,Application,Trading/&FX,,
,,Rate Index,Application,Trading/&IR,,
,,Swap,Application,Trading/&IR,,
,,FX Option,Application,,,
,,Option,Application,,,
,,Fund,Application,,,
,,Repo/Reverse,Application,,,
,,Basket Repo/Reverse,Application,,,
,,Account Transfer,Operation,,,
