CHOICELIST,,,,/CHOICELIST
DESCRIPTION,ENTRY,LIST,SORT_ORDER,
Customer Type from eMas,Customer Type,MASTER,,
A,Perorangan,Customer Type,,
B,Badan Usaha Sws,Customer Type,1,
C,Bank,Customer Type,2,
D,Lbg.Kg.Non Bank,Customer Type,3,
E,Badan Sosial,Customer Type,4,
F,Lbg.Pemrth.,Customer Type,5,
G,Lbg.Intrnsl.,Customer Type,6,
H,Pwkl.Neg.Asing,Customer Type,7,
I,Koperasi,Customer Type,8,
J,BUMN,Customer Type,9,
K,BUMD,Customer Type,10,
L,Pen.Modal Asing,Customer Type,11,
M,BPR,Customer Type,12,
N,Lembaga PEMDA,Customer Type,13,
O,Yayasan,Customer Type,14,
P,Prsh Securitas,Customer Type,15,
Q,PMDN,Customer Type,16,
R,Lembaga Nirlaba,Customer Type,17,
S,Partai Politik,Customer Type,18,
T,Treasury Broker,Customer Type,19,
U,Custody,Customer Type,20,
V,Konsorsium,Customer Type,21,
W,Non KYC-BI,Customer Type,22,
X,Non KYC-DK,Customer Type,23,
Y,Non KYC-PNM,Customer Type,24,
Z,Non Nasabah,Customer Type,25,
9,Masyarakat,Customer Type,26,
