CHOICELIST,,,/CHOICELIST
LIST,ENTRY,DESCRIPTION,
MASTER,Customer Type,Customer Type from eMAS,
Customer Type,Perorangan test,A,
Customer Type,Badan Usaha Sws,B,
Customer Type,Bank,C,
Customer Type,Lbg.Kg.Non Bank,D,
Customer Type,Badan Sosial,E,
Customer Type,Lbg.Pemrth.,F,
Customer Type,Lbg.Intrnsl.,G,
Customer Type,Pwkl.Neg.Asing,H,
Customer Type,Koperasi,I,
Customer Type,BUMN,J,
Customer Type,BUMD,K,
Customer Type,Pen.Modal Asing,L,
Customer Type,BPR,M,
Customer Type,Lembaga PEMDA,N,
Customer Type,Yayasan,O,
Customer Type,Prsh Securitas,P,
Customer Type,PMDN,Q,
Customer Type,Lembaga Nirlaba,R,
Customer Type,Partai Politik,S,
Customer Type,Treasury Broker,T,
Customer Type,Custody,U,
Customer Type,Konsorsium,V,
Customer Type,Non KYC-BI,W,
Customer Type,Non KYC-DK,X,
Customer Type,Non KYC-PNM,Y,
Customer Type,Non Nasabah,Z,
