CHOICELIST,,,/CHOICELIST
LIST,ENTRY,DESCRIPTION,
MASTER,EmasProdCode,Emas Product Code,
EmasProdCode,ZAUD,NonCustValutaAsingAU,
EmasProdCode,ZCHF,NonCustValutaAsingCh,
EmasProdCode,ZEUR,NonCustValutaAsingEU,
EmasProdCode,ZGBP,NonCustValutaAsingGB,
EmasProdCode,ZHKD,NonCustValutaAsingHK,
EmasProdCode,ZIDR,NonCustomerRupiahM,
EmasProdCode,ZJPY,NonCustValutaAsingJP,
EmasProdCode,ZSGD,NonCustValutaAsingSG,
EmasProdCode,ZUSD,NonCustValutaAsingUS,
EmasProdCode,GIR-AUD-C,Giro Valas AUD-Cor,
EmasProdCode,GIR-AUD-G,Giro Valas AUD-Gov,
EmasProdCode,GIR-AUD-P,Giro Valas AUD-Cor,
EmasProdCode,GIR-CHF-C,Giro Valas CHF-Cor,
EmasProdCode,GIR-CHF-G,Giro Valas CHF-Gov,
EmasProdCode,GIR-CHF-P,Giro Valas CHF-Pers,
EmasProdCode,GIR-EUR-C,Giro Valas EUR-Cor,
EmasProdCode,GIR-EUR-G,Giro Valas EUR-Gov,
EmasProdCode,GIR-EUR-P,Giro Valas EUR-Pers,
EmasProdCode,GIR-GBP-C,Giro Valas GBP-Cor,
EmasProdCode,GIR-GBP-G,Giro Valas GBP-Gov,
EmasProdCode,GIR-GBP-P,Giro Valas GBP-Pers,
EmasProdCode,GIR-HKD-C,Giro Valas HKD-Cor,
EmasProdCode,GIR-HKD-G,Giro Valas HKD-Gov,
EmasProdCode,GIR-HKD-P,Giro Valas HKD-Pers,
EmasProdCode,GIR-IDR-C,Giro Rupiah IDR-Cor,
EmasProdCode,GIR-IDR-G,Giro Rupiah IDR-Gov,
EmasProdCode,GIR-IDR-P,Giro Rupiah IDR-Pers,
EmasProdCode,GIR-JPY-C,Giro Valas JPY-Cor,
EmasProdCode,GIR-JPY-G,Giro Valas JPY-Gov,
EmasProdCode,GIR-JPY-P,Giro Valas JPY-Pers,
EmasProdCode,GIR-SGD-C,Giro Valas SGD-Cor,
EmasProdCode,GIR-SGD-G,Giro Valas SGD-Gov,
EmasProdCode,GIR-SGD-P,Giro Valas SGD-Pers,
EmasProdCode,GIR-USD-C,Giro Valas USD-Cor,
EmasProdCode,GIR-USD-G,Giro Valas USD-Gov,
EmasProdCode,GIR-USD-P,Giro Valas USD-Pers,
EmasProdCode,GIRESC-USD,Giro Escrow - USD,
EmasProdCode,GIRJMN-IDR,Giro Jaminan - IDR,
EmasProdCode,GIRJMN-USD,Giro Jaminan - USD,
EmasProdCode,GIRVOS-IDR,Giro Vostro - IDR,
EmasProdCode,GIRVOS-USD,Girovostro valas-USD,
EmasProdCode,TABCARD,Mandiri Debet Card,
EmasProdCode,TABGOLD,Tab Gold Mandiri,
EmasProdCode,TABHAJI,Tab Haji dan Umroh,
EmasProdCode,TABHAJIN,Tab Haji Non Balas,
EmasProdCode,TABINVESTA,Tab Investa,
EmasProdCode,TABJPY,Tabungan Valas - JPY,
EmasProdCode,TABPOLRI,Tab MD (Mapan) Polri,
EmasProdCode,TABSGD,Tabungan Valas - SGD,
EmasProdCode,TABTNI,Tab Mpn TNI Mandiri,
EmasProdCode,TABUSD,Tabungan Valas - USD,
EmasProdCode,GJMNLC-IDR,Giro jaminan LC -IDR,
EmasProdCode,GJMNBG-IDR,Giro jaminan BG-IDR,
EmasProdCode,GJMNSKBDN,Giro jaminan SKBDN,
EmasProdCode,GJMNLC-USD,Giro jaminan LC -USD,
EmasProdCode,GJMNLC-EUR,Giro jaminan LC-EUR,
EmasProdCode,GJMNLC-JPY,Giro jaminan LC-JPY,
EmasProdCode,GJMNLC-CHF,Giro jaminan LC-CHF,
EmasProdCode,GJMNBG-EUR,Giro jaminan BG-EUR,
EmasProdCode,GJMNBG-JPY,Giro jaminan BG-JPY,
EmasProdCode,GJMNBG-SGD,Giro jaminan BG-SGD,
EmasProdCode,GJMNBG-USD,Giro jaminan BG-USD,
EmasProdCode,BEJ-IDR-C,Giro Rupiah IDR-Cor,
EmasProdCode,BEJ-SGD-C,Giro Valas SGD-Cor,
EmasProdCode,BEJ-USD-C,Giro Valas USD-Cor,
EmasProdCode,BEJ,Giro Valas SGD-Cor,
EmasProdCode,BEJ,Giro Valas USD-Cor,
EmasProdCode,GIRZRO-IDR,Giro Rupiah zero bal,
EmasProdCode,GIR-IDR-G2,Giro Rupiah IDR-Gov2,
EmasProdCode,GJMNLC-GBP,Giro jaminan LC-GBP,
EmasProdCode,GJMNBG-GBP,Giro jaminan BG-GBP,
EmasProdCode,GJMNBG-CHF,Giro Jaminan BG-CHF,
EmasProdCode,TABIPO,TABUNGAN IPO,
EmasProdCode,GJMNBG-SAR,Giro Jaminan BG-SAR,
EmasProdCode,GJMNLC-SGD,Giro Jaminan LC-SGD,
EmasProdCode,GJMNLC-CAD,Giro Jaminan LC-CAD,
EmasProdCode,GJMNLC-SEK,Giro Jaminan LC-SEK,
EmasProdCode,GJMNBG-CAD,Giro Jaminan BG-CAD,
EmasProdCode,GJMNBG-SEK,Giro Jaminan BG-SEK,
EmasProdCode,GJMNLC-DKK,Giro Jaminan LC-DKK,
EmasProdCode,GJMNLC-NZD,Giro Jaminan LC-NZD,
EmasProdCode,GJMNBG-DKK,Giro jaminan BG-DKK,
EmasProdCode,GJMNBG-NZD,Giro jaminan NZD,
EmasProdCode,ZCAD,NonCustValutaAsingCA,
EmasProdCode,ZDKK,NonCustValutaAsingDK,
EmasProdCode,GIRZRO-USD,Giro USD Zero Bal,
EmasProdCode,GJMNBG-HKD,Giro Jaminan BG-HKD,
EmasProdCode,GJMNLC-HKD,Giro Jaminan LC-HKD,
EmasProdCode,GIRZRO-SGD,Giro SGD Zero Bal,
EmasProdCode,TABINS,TABUNGAN RENCANA MDR,
EmasProdCode,GIRVOS-EUR,GiroVostro-valas EUR,
EmasProdCode,GIRVOS-AUD,GiroVostro-valas AUD,
EmasProdCode,GIRVOS-JPY,GiroVostro-valas JPY,
EmasProdCode,GIRVOS-SGD,GiroVostro-valas SGD,
EmasProdCode,GJMNLC-AUD,Giro Jaminan LC-AUD,
EmasProdCode,GIR-IDR-PD,PINJ. DITERIMA LAIN,
EmasProdCode,GIR-IDR-PB,TTPBNG PINJ.DITERIMA,
EmasProdCode,ZNZD,GNC VALUTA NZD,
EmasProdCode,ZINR,NonCustValutAsingINR,
EmasProdCode,GJSKBDNUSD,GIRJAM SKBDN USD,
EmasProdCode,TABKAPEL,TAB KARYAWAN/PELAJAR,
EmasProdCode,TABTKI-RYD,Tab TKI Riyadh,
EmasProdCode,TABTKI-HKG,Tab TKI Hongkong,
EmasProdCode,TABTKI-MLY,Tab TKI Malaysia,
EmasProdCode,TABTKI-SNG,Tab TKI Singapura,
EmasProdCode,TABTKI-TWN,Tab TKI Taiwan,
EmasProdCode,GIRESC-EUR,Giro Escrow - EUR,
EmasProdCode,GJMNBG-AUD,Giro Jaminan BG-AUD,
EmasProdCode,PERTAMINA,PERTAMINA PREPAID,
EmasProdCode,PTMN-INDV,Pertamina Prepaid In,
EmasProdCode,PTMN-FLEET,Pertamina Prepaid Fl,
EmasProdCode,TABMIKRO,Mandiri TabunganMU,
EmasProdCode,TABBISNIS,TAB BISNIS MANDIRI,
EmasProdCode,BKLBI-IDR,BUNGA KLBI-IDR,
EmasProdCode,BPNM-IDR,BUNGA PNM-IDR,
EmasProdCode,BSOL-IDR,BUNGA SOL-IDR,
EmasProdCode,BTSL-IDR,BUNGA TSL-IDR,
EmasProdCode,BTSL-USD,BUNGA TSL-USD,
EmasProdCode,KLBI-IDR,KREDIT LIKUIDITAS BI,
