CHOICELIST,,,,/CHOICELIST
DESCRIPTION,ENTRY,LIST,SORT_ORDER,
LBUT_FITUR TAMBAHAN,LBUT_FITUR TAMBAHAN,MASTER,,
F,Ada fitur tambahan,LBUT_FITUR TAMBAHAN,,
FCO,Opsi beli,LBUT_FITUR TAMBAHAN,1,
FPO,Opsi jual,LBUT_FITUR TAMBAHAN,2,
FCM,Opsi Konversi-Mandatory,LBUT_FITUR TAMBAHAN,3,
FCN,Opsi Konversi-Tidak mandatory,LBUT_FITUR TAMBAHAN,4,
FX,Lainnya,LBUT_FITUR TAMBAHAN,5,
T,Tidak ada fitur tambahan,LBUT_FITUR TAMBAHAN,6,
FIN,Fitur tambahan-asuransi,LBUT_FITUR TAMBAHAN,7,
FED,Fitur tambahan-derivatif melekat,LBUT_FITUR TAMBAHAN,8,
FID,Fitur tambahan-asuransi dan derivatif,LBUT_FITUR TAMBAHAN,9,
