CHOICELIST,,,,/CHOICELIST
LIST,SORT_ORDER,ENTRY,DESCRIPTION,
LBUT_JENIS SB,LBUT_JENIS SB,MASTER,,
LBUT_JENIS SB,,Sertifikat Bank Indonesia (SBI),F0401,
LBUT_JENIS SB,1,Sertifikat Deposito Bank Indonesia/SDBI,F0403,
LBUT_JENIS SB,2,SBBI - Valuta Asing,F0404,
LBUT_JENIS SB,3,Surat Perbendaharaan Negara (SPN),F040501,
LBUT_JENIS SB,4,Surat Perbendaharaan Negara Syariah,F040502,
LBUT_JENIS SB,5,Sertf. Inv. Mudharabah Antarbank/SIMA,F0406,
LBUT_JENIS SB,6,Promes / Aksep,F0408,
LBUT_JENIS SB,7,Wesel - Wesel Ekspor,F040901,
LBUT_JENIS SB,8,Wesel - SKBDN,F040902,
LBUT_JENIS SB,9,Wesel - Lainnya,F040999,
LBUT_JENIS SB,10,Surat Berharga Komersial,F0410,
LBUT_JENIS SB,11,Medium Term Notes (MTN),F041101,
LBUT_JENIS SB,12,Medium Term Notes (MTN) Syariah,F041102,
LBUT_JENIS SB,13,Floating Rate Notes (FRN),F0412,
LBUT_JENIS SB,14,Credit Linked Notes,F0413,
LBUT_JENIS SB,15,Reksadana,F041401,
LBUT_JENIS SB,16,Reksadana Syariah,F041402,
LBUT_JENIS SB,17,Reksadana Dana Pendapatan Tetap,F041403,
LBUT_JENIS SB,18,Obligasi rekapitulasi bank umum,F04150101,
LBUT_JENIS SB,19,Obligasi Negara (ON),F04150102,
LBUT_JENIS SB,20,Obligasi Ritel Indonesia (ORI),F04150103,
LBUT_JENIS SB,21,Obligasi Korporasi,F04150104,
LBUT_JENIS SB,22,Obligasi Korporasi - Subordinasi,F0415010501,
LBUT_JENIS SB,23,Obligasi Korporasi - Non Subordinasi,F0415010602,
LBUT_JENIS SB,24,Obligasi Lainnya,F04150199,
LBUT_JENIS SB,25,Sukuk Bank Indonesia,F04150201,
LBUT_JENIS SB,26,Sukuk Negara,F04150203,
LBUT_JENIS SB,27,Sukuk Ritel,F04150204,
LBUT_JENIS SB,28,Ijarah Fixed Rate,F0415020501,
LBUT_JENIS SB,29,Sukuk Korporasi - Non,F0415020602,
LBUT_JENIS SB,30,Project Based Sukuk (PBS),F04150207,
LBUT_JENIS SB,31,Sukuk Lainnya,F04150299,
LBUT_JENIS SB,32,Dana Investasi Real Estate (DIRE),F0416,
LBUT_JENIS SB,33,Efek Beragun Aset,F041701,
LBUT_JENIS SB,34,Efek Beragun Aset Syariah,F041702,
LBUT_JENIS SB,35,Sekuritas Rupiah Bank Indonesia,F0422,
LBUT_JENIS SB,36,Sekuritas Valas Bank Indonesia,F0423,
LBUT_JENIS SB,37,Surat Berharga Lainnya,F0499,
LBUT_JENIS SB,38,Sertifikat Deposito,F110201,
LBUT_JENIS SB,37,Surat Berharga Lainnya(SIPA Type 1),F042101,
