CHOICELIST,,,,/CHOICELIST
LIST,SORT_ORDER,ENTRY,DESCRIPTION,
MASTER,,Location,Customer Address Location in eMAS,
Location,,XXXPropinsi Jawa Barat,100,
Location,1,"Kab. Bekasi, Jawa Barat",102,
Location,2,"Kab. Purwakarta, Jawa Barat",103,
Location,3,"Kab. Karawang, Jawa Barat",106,
Location,4,"Kab. Bogor, Jawa Barat",108,
Location,5,"Kab. Sukabumi, Jawa Barat",109,
Location,6,"Kab. Cianjur, Jawa Barat",110,
Location,7,"Kab. Bandung, Jawa Barat",111,
Location,8,"Kab. Sumedang, Jawa Barat",112,
Location,9,"Kab. Tasikmalaya, Jawa Barat",113,
Location,10,"Kab. Garut, Jawa Barat",114,
Location,11,"Kab. Ciamis, Jawa Barat",115,
Location,12,"Kab. Cirebon, Jawa Barat",116,
Location,13,"Kab. Kuningan, Jawa Barat",117,
Location,14,"Kab. Indramayu, Jawa Barat",118,
Location,15,"Kab. Majalengka, Jawa Barat",119,
Location,16,"Kab. Subang, Jawa Barat",121,
Location,17,Kabupaten Bandung Barat,122,
Location,18,Kab. PANGANDARAN,123,
Location,19,"Kotif Banjar, Jawa Barat",180,
Location,20,"XXXProv.Jawa Barat,Kab/Kota Lainnya",188,
Location,21,"Kod. Bandung, Jawa Barat",191,
Location,22,"Kod. Bogor, Jawa Barat",192,
Location,23,"Kod. Sukabumi, Jawa Barat",193,
Location,24,"Kod. Cirebon, Jawa Barat",194,
Location,25,"Kotif Tasikmalaya, Jawa Barat",195,
Location,26,"Kotif Cimahi, Jawa Barat",196,
Location,27,"Kotif Depok, Jawa Barat",197,
Location,28,"Kotif Bekasi, Jawa Barat",198,
Location,29,XXXProvinsi Banten,200,
Location,30,Kab.Lebak,201,
Location,31,Kab.Pandeglang,202,
Location,32,Kab.Serang,203,
Location,33,Kab.Tangerang,204,
Location,34,XXXKab. TANGERANG SELATAN,205,
Location,35,"XXXProv.Banten,Kab/Kota Lainnya",288,
Location,36,Kota Cilegon,291,
Location,37,Kota Tangerang,292,
Location,38,Kota Serang,293,
Location,39,Kab. Tangerang Selatan,294,
Location,40,XXXDKI Jaya,300,
Location,41,"Wil. Jakarta Pusat, Jakarta",391,
Location,42,"Wil. Jakarta Utara, Jakarta",392,
Location,43,"Wil. Jakarta Barat, Jakarta",393,
Location,44,"Wil. Jakarta Selatan, Jakarta",394,
Location,45,"Wil. Jakarta Timur, Jakarta",395,
Location,46,Wil. Kepulauan Seribu,396,
Location,47,D.I.Yogyakarta,500,
Location,48,"Kab. Bantul, Yogyakarta",501,
Location,49,"Kab. Sleman, Yogyakarta",502,
Location,50,"Kab. Gunung Kidul, Yogyakarta",503,
Location,51,"Kab. Kulon Progo, Yogyakarta",504,
Location,52,"Kod. Yogyakarta, Yogyakarta",591,
Location,53,XXXProp.Jawa Tengah,900,
Location,54,"Kab. Semarang, Jawa Tengah",901,
Location,55,"Kab. Kendal, Jawa Tengah",902,
Location,56,"Kab. Demak, Jawa Tengah",903,
Location,57,"Kab. Grobogan, Jawa Tengah",904,
Location,58,"Kab. Pekalongan, Jawa Tengah",905,
Location,59,"Kab. Tegal, Jawa Tengah",906,
Location,60,"Kab. Brebes, Jawa Tengah",907,
Location,61,"Kab. Pati, Jawa Tengah",908,
Location,62,"Kab. Kudus, Jawa Tengah",909,
Location,63,"Kab. Pemalang, Jawa Tengah",910,
Location,64,"Kab. Jepara, Jawa Tengah",911,
Location,65,"Kab. Rembang, Jawa Tengah",912,
Location,66,"Kab. Blora, Jawa Tengah",913,
Location,67,"Kab. Banyumas, Jawa Tengah",914,
Location,68,"Kab. Cilacap, Jawa Tengah",915,
Location,69,"Kab. Purbalingga, Jawa Tengah",916,
Location,70,"Kab. Banjarnegara, Jawa Tengah",917,
Location,71,"Kab. Magelang, Jawa Tengah",918,
Location,72,"Kab. Temanggung, Jawa Tengah",919,
Location,73,"Kab. Wonosobo, Jawa Tengah",920,
Location,74,"Kab. Purworejo, Jawa Tengah",921,
Location,75,"Kab. Kebumen, Jawa Tengah",922,
Location,76,"Kab. Klaten, Jawa Tengah",923,
Location,77,"Kab. Boyolali, Jawa Tengah",924,
Location,78,"Kab. Sragen, Jawa Tengah",925,
Location,79,"Kab. Sukoharjo, Jawa Tengah",926,
Location,80,"Kab. Karanganyar, Jawa Tengah",927,
Location,81,"Kab. Wonogiri, Jawa Tengah",928,
Location,82,"Kab. Batang, Jawa Tengah",929,
Location,83,"XXXProp.Jawa Tengah,Kab/Kota lainnya",988,
Location,84,"Kod. Semarang, Jawa Tengah",991,
Location,85,"Kod. Salatiga, Jawa Tengah",992,
Location,86,"Kod. Pekalongan, Jawa Tengah",993,
Location,87,"Kod. Tegal, Jawa Tengah",994,
Location,88,"Kod. Magelang, Jawa Tengah",995,
Location,89,"Kod. Surakarta, Jawa Tengah",996,
Location,90,"Kotif Klaten, Jawa Tengah",997,
Location,91,"Kotif Cilacap, Jawa Tengah",998,
Location,92,"Kotif Purwokerto, Jawa Tengah",999,
Location,93,XXXProv.Jawa Timur,1200,
Location,94,"Kab. Gresik, Jawa Timur",1201,
Location,95,"Kab. Sidoarjo, Jawa Timur",1202,
Location,96,"Kab. Mojokerto, Jawa Timur",1203,
Location,97,"Kab. Jombang, Jawa Timur",1204,
Location,98,"Kab. Sampang, Jawa Timur",1205,
Location,99,"Kab. Pamekasan, Jawa Timur",1206,
Location,100,"Kab. Sumenep, Jawa Timur",1207,
Location,101,"Kab. Bangkalan, Jawa Timur",1208,
Location,102,"Kab. Bondowoso, Jawa Timur",1209,
Location,103,"Kab. Banyuwangi, Jawa Timur",1211,
Location,104,"Kab. Jember, Jawa Timur",1212,
Location,105,"Kab. Malang, Jawa Timur",1213,
Location,106,"Kab. Pasuruan, Jawa Timur",1214,
Location,107,"Kab. Probolinggo, Jawa Timur",1215,
Location,108,"Kab. Lumajang, Jawa Timur",1216,
Location,109,"Kab. Kediri, Jawa Timur",1217,
Location,110,"Kab. Nganjuk, Jawa Timur",1218,
Location,111,"Kab. Tulungagung, Jawa Timur",1219,
Location,112,"Kab. Trenggalek, Jawa Timur",1220,
Location,113,"Kab. Blitar, Jawa Timur",1221,
Location,114,"Kab. Madiun, Jawa Timur",1222,
