CHOICELIST,,,,/CHOICELIST
LIST,SORT_ORDER,ENTRY,DESCRIPTION,
MASTER,,TransactionPurpose,Customer Address Location in eMAS,
TransactionPurpose,,11-Impor Barang,U11,
TransactionPurpose,1,12-Ekspor Barang,U12,
TransactionPurpose,2,13-Penjualan Barang Dalam Negeri,U13,
TransactionPurpose,3,14-Pembelian Barang Dalam Negeri,U14,
TransactionPurpose,4,15-Impor Jasa,U15,
TransactionPurpose,5,16-Ekspor Jasa,U16,
TransactionPurpose,6,17-Pembelian Jasa Dalam Negeri,U17,
TransactionPurpose,7,18-Penjualan Jasa Dalam Negeri,U18,
TransactionPurpose,8,19-Kegiatan Pedagang Valuta Asing (PVA),U19,
TransactionPurpose,9,31-Penyertaan Langsung,U31,
TransactionPurpose,10,32-Pembelian Saham,U32,
TransactionPurpose,11,33-Pembelian srt Berharga Negara (SBN),U33,
TransactionPurpose,12,34-Pembelian Obligasi Korporasi,U34,
TransactionPurpose,13,35-Pembelian SBI,U35,
TransactionPurpose,14,36-Penambahan modal kerja,U36,
TransactionPurpose,15,50-Pemberian Kredit,U50,
TransactionPurpose,16,51-Penerimaan Pinjaman Luar Negeri,U51,
TransactionPurpose,17,52-Pembayaran Hutang/Pnjmn dlm Negeri,U52,
TransactionPurpose,18,53-Pembayaran Pinjaman Luar Negeri,U53,
TransactionPurpose,19,54-Penjualan Devisa Hasil Ekspor,U54,
TransactionPurpose,20,55-Repatriasi dana penyertaan langsung,U55,
TransactionPurpose,21,56-Repatriasi dana pemberian kredit,U56,
TransactionPurpose,22,57-Repatriasi dana hsl penjualan saham,U57,
TransactionPurpose,23,58-Repatriasi dana penjualan SBN,U58,
TransactionPurpose,24,59-Repatriasi dana penj obl korporasi,U59,
TransactionPurpose,25,60-Repatriasi dana hasil penjualan SBI,U60,
TransactionPurpose,26,61-Repatriasi deviden dan kupon,U61,
TransactionPurpose,27,62-Repatriasi hsl jasa dilakukan di DN,U62,
TransactionPurpose,28,63-Pencairan bunga/pokok rek valas DN,U63,
TransactionPurpose,29,64-Biaya Pendidikan,U64,
TransactionPurpose,30,65-Biaya perjalanan luar negeri,U65,
TransactionPurpose,31,66-Sosial (konversi sumbangan/grant),U66,
TransactionPurpose,32,67-Biaya overhead,U67,
TransactionPurpose,33,68-Biaya administrasi,U68,
TransactionPurpose,34,69-Disimpan pd rek valas dalam negeri,U69,
TransactionPurpose,35,70-Kegiatan remitansi,U70,
TransactionPurpose,36,71-Pembayaran pajak,U71,
TransactionPurpose,37,72-Biaya remunerasi pegawai,U72,
TransactionPurpose,38,73-Lindung nilai kepemilikan dana valas,U73,
TransactionPurpose,39,741-Trx Bank ACCD(squaring position)LCS,U741,
TransactionPurpose,40,742-Trx Bank ACCD(pengelolaan Liq.) LCS,U742,
TransactionPurpose,41,743-Trx Bank ACCD(dana trade fin.)LCS,U743,
TransactionPurpose,42,75-Trx antarbank cover pos.nsbh-BankDN,U75,
TransactionPurpose,43,76-Trx antarbank cover pos Bank-BankLN,U76,
