CHOICELIST,,,/CHOICELIST
LIST,ENTRY,DESCRIPTION,
MASTER,UCCODE_EMAS,UCCODE eMAS Code,
UCCODE_EMAS,000,Indonesia,
UCCODE_EMAS,111,Jepang,
UCCODE_EMAS,112,Hongkong,
UCCODE_EMAS,113,Korea Utara,
UCCODE_EMAS,114,Korea Selatan,
UCCODE_EMAS,115,Taiwan,
UCCODE_EMAS,116,RRC,
UCCODE_EMAS,119,Asia Timur Lainnya,
UCCODE_EMAS,120,Papua Nugini,
UCCODE_EMAS,121,Muangthai,
UCCODE_EMAS,122,Singapura,
UCCODE_EMAS,123,Filipina,
UCCODE_EMAS,124,Malaysia,
UCCODE_EMAS,125,Burma,
UCCODE_EMAS,126,Kamboja,
UCCODE_EMAS,127,Laos,
UCCODE_EMAS,131,Vietnam,
UCCODE_EMAS,133,India,
UCCODE_EMAS,134,Pakistan,
UCCODE_EMAS,135,Bangladesh,
UCCODE_EMAS,136,Srilangka,
UCCODE_EMAS,137,Afganistan,
UCCODE_EMAS,138,Sabang,
UCCODE_EMAS,139,Asia Tggra Lainnya,
UCCODE_EMAS,141,Irak,
UCCODE_EMAS,142,Iran,
UCCODE_EMAS,143,Saudi Arabia,
UCCODE_EMAS,144,Israil,
UCCODE_EMAS,145,Kuwait,
UCCODE_EMAS,146,Yordania,
UCCODE_EMAS,147,Aden,
UCCODE_EMAS,148,Libanon,
UCCODE_EMAS,151,Yaman,
UCCODE_EMAS,152,Oman,
UCCODE_EMAS,153,Syria,
UCCODE_EMAS,154,Turki,
UCCODE_EMAS,155,Dubai,
UCCODE_EMAS,159,Asia Barat Lainnya,
UCCODE_EMAS,211,Mesir,
UCCODE_EMAS,212,Lybia,
UCCODE_EMAS,213,Maroko,
UCCODE_EMAS,214,Tunisia,
UCCODE_EMAS,215,Aljazair,
UCCODE_EMAS,216,Sudan,
UCCODE_EMAS,221,Ethiopia,
UCCODE_EMAS,222,Tanzania,
UCCODE_EMAS,223,Malagasi,
UCCODE_EMAS,224,Somalia,
UCCODE_EMAS,225,Kenya,
UCCODE_EMAS,227,Mozambique,
UCCODE_EMAS,231,Ghana,
