ADDITIONALINFOSPEC,,,,,/ADDITIONALINFOSPEC
DATA_TYPE.GRP,DESCRIPTION,DATA_TYPE.TYPE,FIELD_NAME,REC_TYPE,
Standard,Customer Old Account Type,String,AccountType,Account,
Standard,Address 3 from emas,String,Address3,Party,
Standard,Address 4 from emas,String,Address4,Party,
Standard,ca5 from CUST Opics,String,Address5,Party,
Standard,Branch Code eMAS,String,BranchCode,Party,
Standard,Business Unit Code,String,BUC,Party,
Standard,Party Collectability,String,KOLEKTABILITAS,Party,
Standard,Nomor KTP,String,KTP,Party,
Standard,Tax ID,String,NPWP,Party,
Standard,Customer Product Code,String,ProductCode,Account,
Standard,Customer Account Short Name,String,ShortName,Account,
Standard,Standard Industry Code,String,SIC,Party,
Standard,Customer Account Status,String,Status,Account,
Standard,Ultimate Country Code,String,UCCODE,Party,
Standard,Date of Birth,Date,DOB,Party,
