MASTERAGREEMENT,,,,,,,COLLATERALANNEX,,,,,,,,,,,,,,,,,,,,,,,,,,MARGININGSET,,,,,,,,HAIRCUTRULE,,,,,,,,,/HAIRCUTRULE,/MARGININGSET,/COLLATERALANNEX,/MASTERAGREEMENT
AGREEMENT_OWNER_PTYNBR.PTYID,CLOSE_OUT_NETTING,DOCUMENT_TYPE_CHLNBR.ENTRY,DOCUMENT_TYPE_CHLNBR.LIST,NAME,OUR_AGREEMENT_OWNER_PTYNBR.PTYID,VERSION,ACCRUED_CASH_HANDLING,BASE_CURR.INSID,CALC_AGENT,COLLATERAL_VAL_CALC_CHLNBR.ENTRY,COLLATERAL_VAL_CALC_CHLNBR.LIST,COMMUNICATION_TYPE_CHLNBR.ENTRY,COMMUNICATION_TYPE_CHLNBR.LIST,EXPOSURE_CALC_CHLNBR.ENTRY,EXPOSURE_CALC_CHLNBR.LIST,EXPOSURE_TRADE_INCLUSION,INDEPENDENT_AMOUNT,INDEPENDENT_AMOUNT_TYPE,MARGIN_CALL_BASE_DATE,MARGIN_CALL_DAY_METHOD,MARGIN_CALL_FREQUENCY,MARGIN_TYPE,MINIMUM_POST_AMOUNT,MINIMUM_RECEIVE_AMOUNT,MITIGATION_METHOD,NAME,ROUNDING_SPEC_SEQNBR.NAME,STATUS,THRESHOLD_POST,THRESHOLD_RECEIVE,TRANSFER_TYPE,VALID_FROM,CALL_CURR.INSID,EXPOSURE_SET_TYPE,IS_DEFAULT,MARGIN_RATIO,NAME,REHYPOTHECATION,RIGHT_OF_SUBSTITUTION,SETTLE_TYPE,CURR.INSID,DIRECTION,ELIGIBLE_PRODUCTS.NAME,ELIGIBLE_PRODUCTS.TYPE,HAIRCUT,HAIRCUT_TYPE,IS_DEFAULT,NAME,PRODUCT_FILTER_TYPE,,,,
Counterparty 1,Netted,ISDA,Standard Document,Exposure=GMRA Indonesia,Acquirer 1,2002,Include,USD,Both,MtM Yesterday,Collateral Value Calculation,Manual,Margin Call Communication Type,MtM Yesterday,Exposure Calculation,All Trades,10000,Margining Set,2022-01-31,Following,1d,Initial Margin In,5000,5000,CTM,CSA Initial Margin,CollateralRounding,Active,10000,10000,Title Transfer,2020-01-31,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Include,IDR,Both,MtM Yesterday,Collateral Value Calculation,Manual,Margin Call Communication Type,GMRA Indonesia,Exposure Calculation,All Trades,10000,Margining Set,2021-01-31,Following,1d,Variation Margin,5000,5000,CTM,VM,CollateralRounding,Active,10000,10000,Title Transfer,2020-01-31,IDR,Net,False,1,MS,Rehypothecation,Yes,Bilateral,IDR,Both,AllBonds,FASQL Query,10,100-percent,False,Security Haircut,Multi Instrument,,,,
Counterparty 1,Netted,ISDA,Standard Document,Exposure=GMRA Int.- Purchase Price + Accr Method,Acquirer 1,2002,Include,USD,Both,MtM Yesterday,Collateral Value Calculation,Manual,Margin Call Communication Type,MtM Yesterday,Exposure Calculation,All Trades,10000,Margining Set,2022-01-31,Following,1d,Initial Margin In,5000,5000,CTM,CSA Initial Margin,CollateralRounding,Active,10000,10000,Title Transfer,2020-01-31,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Include,IDR,Both,MtM Yesterday,Collateral Value Calculation,Manual,Margin Call Communication Type,GMRA Int.- Purchase Price + Accr Method,Exposure Calculation,All Trades,10000,Margining Set,2021-01-31,Following,1d,Variation Margin,5000,5000,CTM,CSA,CollateralRounding,Active,10000,10000,Title Transfer,2020-01-31,IDR,Net,False,1,MS,Rehypothecation,Yes,Bilateral,IDR,Both,AllBonds,FASQL Query,10,100-percent,False,Security Haircut,Multi Instrument,,,,
Counterparty 1,Netted,ISDA,Standard Document,Exposure=GMRA Int.- Purchase Price Method,Acquirer 1,2002,Include,USD,Both,MtM Yesterday,Collateral Value Calculation,Manual,Margin Call Communication Type,MtM Yesterday,Exposure Calculation,All Trades,10000,Margining Set,2022-01-31,Following,1d,Initial Margin In,5000,5000,CTM,CSA Initial Margin,CollateralRounding,Active,10000,10000,Title Transfer,2020-01-31,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Include,IDR,Both,MtM Yesterday,Collateral Value Calculation,Manual,Margin Call Communication Type,GMRA Int.- Purchase Price Method,Exposure Calculation,All Trades,10000,Margining Set,2021-01-31,Following,1d,Variation Margin,5000,5000,CTM,VA,CollateralRounding,Active,10000,10000,Title Transfer,2020-01-31,IDR,Net,False,1,MS,Rehypothecation,Yes,Bilateral,IDR,Both,AllBonds,FASQL Query,10,100-percent,False,Security Haircut,Multi Instrument,,,,
Counterparty 1,Netted,ISDA,Standard Document,Exposure=GMRA Int.- Repurchase Price Method,Acquirer 1,2002,Include,USD,Both,MtM Yesterday,Collateral Value Calculation,Manual,Margin Call Communication Type,MtM Yesterday,Exposure Calculation,All Trades,10000,Margining Set,2022-01-31,Following,1d,Initial Margin In,5000,5000,CTM,CSA Initial Margin,CollateralRounding,Active,10000,10000,Title Transfer,2020-01-31,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Include,USD,Both,MtM Yesterday,Collateral Value Calculation,Manual,Margin Call Communication Type,GMRA Int.- Repurchase Price Method,Exposure Calculation,All Trades,10000,Margining Set,2021-01-31,Following,1d,Variation Margin,5000,5000,CTM,VM,CollateralRounding,Active,10000,10000,Title Transfer,2020-01-31,USD,Net,False,1,MS,Rehypothecation,Yes,Bilateral,USD,Both,AllBonds,FASQL Query,10,100-percent,False,Security Haircut,Multi Instrument,,,,
Counterparty 1,Netted,ISDA,Standard Document,Exposure=MtMYest and CollVal=GMRA Indonesia: Clean Price Method,Acquirer 1,2002,Include,USD,Both,MtM Yesterday,Collateral Value Calculation,Manual,Margin Call Communication Type,MtM Yesterday,Exposure Calculation,All Trades,10000,Margining Set,2022-01-31,Following,1d,Initial Margin In,5000,5000,CTM,CSA Initial Margin,CollateralRounding,Active,10000,10000,Title Transfer,2020-01-31,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Include,IDR,Both,GMRA Indonesia: Clean Price Methodology,Collateral Value Calculation,Manual,Margin Call Communication Type,MtM Yesterday,Exposure Calculation,All Trades,10000,Margining Set,2021-01-31,Following,1d,Variation Margin,5000,5000,CTM,CSA VM,CollateralRounding,Active,10000,10000,Title Transfer,2020-01-31,IDR,Net,False,1,MS,Rehypothecation,Yes,Bilateral,IDR,Both,AllBonds,FASQL Query,10,100-percent,False,Security Haircut,Multi Instrument,,,,
