PRICE,,,,,,,/PRICE
INSADDR.INSID,PTYNBR.PTYID,CURR.INSID,SETTLE,DAY,BITS,HISTORICAL,
Bond Example,internal,USD,125,27-Oct-22,1280,Yes,
Bond Example,internal,USD,76,26-Oct-22,1280,Yes,
Bond Example,internal,USD,76,25-Oct-22,1280,Yes,
Bond Example,internal,USD,111,24-Oct-22,1280,Yes,
Bond Example,internal,USD,86,23-Oct-22,1280,Yes,
Bond Example,internal,USD,63,22-Oct-22,1280,Yes,
Bond Example,internal,USD,78,21-Oct-22,1280,Yes,
Bond Example,internal,USD,100,20-Oct-22,1280,Yes,
Bond Example,internal,USD,113,19-Oct-22,1280,Yes,
Bond Example,internal,USD,142,18-Oct-22,1280,Yes,
Bond Example,internal,USD,110,17-Oct-22,1280,Yes,
Bond Example,internal,USD,108,16-Oct-22,1280,Yes,
Bond Example,internal,USD,90,15-Oct-22,1280,Yes,
Bond Example,internal,USD,89,14-Oct-22,1280,Yes,
Bond Example,internal,USD,106,13-Oct-22,1280,Yes,
Bond Example,internal,USD,85,12-Oct-22,1280,Yes,
Bond Example,internal,USD,110,11-Oct-22,1280,Yes,
Bond Example,internal,USD,87,10-Oct-22,1280,Yes,
Bond Example,internal,USD,104,9-Oct-22,1280,Yes,
Bond Example,internal,USD,109,8-Oct-22,1280,Yes,
Bond Example,internal,USD,116,7-Oct-22,1280,Yes,
Bond Example,internal,USD,87,6-Oct-22,1280,Yes,
Bond Example,internal,USD,111,5-Oct-22,1280,Yes,
Bond Example,internal,USD,117,4-Oct-22,1280,Yes,
Bond Example,internal,USD,104,3-Oct-22,1280,Yes,
Bond Example,internal,USD,100,2-Oct-22,1280,Yes,
Bond Example,internal,USD,98,1-Oct-22,1280,Yes,
Bond Example,internal,USD,83,30-Sep-22,1280,Yes,
Bond Example,internal,USD,118,29-Sep-22,1280,Yes,
Bond Example,internal,USD,89,28-Sep-22,1280,Yes,
Bond Example,internal,USD,83,27-Sep-22,1280,Yes,
Bond Example,internal,USD,106,26-Sep-22,1280,Yes,
Bond Example,internal,USD,90,25-Sep-22,1280,Yes,
Bond Example,internal,USD,93,24-Sep-22,1280,Yes,
Bond Example,internal,USD,80,23-Sep-22,1280,Yes,
Bond Example,internal,USD,115,22-Sep-22,1280,Yes,
Bond Example,internal,USD,119,21-Sep-22,1280,Yes,
Bond Example,internal,USD,88,20-Sep-22,1280,Yes,
Bond Example,internal,USD,119,19-Sep-22,1280,Yes,
Bond Example,internal,USD,85,18-Sep-22,1280,Yes,
Bond Example,internal,USD,105,17-Sep-22,1280,Yes,
Bond Example,internal,USD,117,16-Sep-22,1280,Yes,
Bond Example,internal,USD,96,15-Sep-22,1280,Yes,
Bond Example,internal,USD,116,14-Sep-22,1280,Yes,
Bond Example,internal,USD,86,13-Sep-22,1280,Yes,
Bond Example,internal,USD,81,12-Sep-22,1280,Yes,
Bond Example,internal,USD,111,11-Sep-22,1280,Yes,
Bond Example,internal,USD,86,10-Sep-22,1280,Yes,
Bond Example,internal,USD,105,9-Sep-22,1280,Yes,
Bond Example,internal,USD,95,8-Sep-22,1280,Yes,
Bond Example,internal,USD,102,7-Sep-22,1280,Yes,
Bond Example,internal,USD,101,6-Sep-22,1280,Yes,
Bond Example,internal,USD,92,5-Sep-22,1280,Yes,
Bond Example,internal,USD,91,4-Sep-22,1280,Yes,
Bond Example,internal,USD,98,3-Sep-22,1280,Yes,
Bond Example,internal,USD,96,2-Sep-22,1280,Yes,
Bond Example,internal,USD,118,1-Sep-22,1280,Yes,
Bond Example,internal,USD,115,31-Aug-22,1280,Yes,
Bond Example,internal,USD,85,30-Aug-22,1280,Yes,
Bond Example,internal,USD,82,29-Aug-22,1280,Yes,
Bond Example,internal,USD,110,28-Aug-22,1280,Yes,
Bond Example,internal,USD,91,27-Aug-22,1280,Yes,
Bond Example,internal,USD,91,26-Aug-22,1280,Yes,
Bond Example,internal,USD,110,25-Aug-22,1280,Yes,
Bond Example,internal,USD,93,24-Aug-22,1280,Yes,
Bond Example,internal,USD,115,23-Aug-22,1280,Yes,
Bond Example,internal,USD,117,22-Aug-22,1280,Yes,
Bond Example,internal,USD,111,21-Aug-22,1280,Yes,
Bond Example,internal,USD,113,20-Aug-22,1280,Yes,
Bond Example,internal,USD,117,19-Aug-22,1280,Yes,
Bond Example,internal,USD,88,18-Aug-22,1280,Yes,
Bond Example,internal,USD,82,17-Aug-22,1280,Yes,
Bond Example,internal,USD,84,16-Aug-22,1280,Yes,
Bond Example,internal,USD,86,15-Aug-22,1280,Yes,
Bond Example,internal,USD,112,14-Aug-22,1280,Yes,
Bond Example,internal,USD,100,13-Aug-22,1280,Yes,
Bond Example,internal,USD,80,12-Aug-22,1280,Yes,
Bond Example,internal,USD,116,11-Aug-22,1280,Yes,
Bond Example,internal,USD,88,10-Aug-22,1280,Yes,
Bond Example,internal,USD,80,9-Aug-22,1280,Yes,
Bond Example,internal,USD,105,8-Aug-22,1280,Yes,
Bond Example,internal,USD,90,7-Aug-22,1280,Yes,
Bond Example,internal,USD,110,6-Aug-22,1280,Yes,
Bond Example,internal,USD,80,5-Aug-22,1280,Yes,
Bond Example,internal,USD,88,4-Aug-22,1280,Yes,
Bond Example,internal,USD,109,3-Aug-22,1280,Yes,
Bond Example,internal,USD,112,2-Aug-22,1280,Yes,
Bond Example,internal,USD,95,1-Aug-22,1280,Yes,
Bond Example,internal,USD,110,31-Jul-22,1280,Yes,
Bond Example,internal,USD,91,30-Jul-22,1280,Yes,
Bond Example,internal,USD,110,29-Jul-22,1280,Yes,
Bond Example,internal,USD,84,28-Jul-22,1280,Yes,
Bond Example,internal,USD,99,27-Jul-22,1280,Yes,
Bond Example,internal,USD,120,26-Jul-22,1280,Yes,
Bond Example,internal,USD,89,25-Jul-22,1280,Yes,
Bond Example,internal,USD,115,24-Jul-22,1280,Yes,
Bond Example,internal,USD,89,23-Jul-22,1280,Yes,
Bond Example,internal,USD,86,22-Jul-22,1280,Yes,
Bond Example,internal,USD,101,21-Jul-22,1280,Yes,
Bond Example,internal,USD,114,20-Jul-22,1280,Yes,
Bond Example,internal,USD,117,19-Jul-22,1280,Yes,
Bond Example,internal,USD,103,18-Jul-22,1280,Yes,
Bond Example,internal,USD,113,17-Jul-22,1280,Yes,
Bond Example,internal,USD,118,16-Jul-22,1280,Yes,
Bond Example,internal,USD,87,15-Jul-22,1280,Yes,
Bond Example,internal,USD,120,14-Jul-22,1280,Yes,
Bond Example,internal,USD,117,13-Jul-22,1280,Yes,
Bond Example,internal,USD,115,12-Jul-22,1280,Yes,
Bond Example,internal,USD,106,11-Jul-22,1280,Yes,
Bond Example,internal,USD,83,10-Jul-22,1280,Yes,
Bond Example,internal,USD,100,9-Jul-22,1280,Yes,
