PRICE,,,,,,,/PRICE
PTYNBR.PTYID,SETTLE,HISTORICAL,BITS,DAY,INSADDR.INSID,CURR.INSID,
internal,108,Yes,256,10/27/2022,USD,JPY,
internal,123,Yes,256,10/26/2022,USD,JPY,
internal,100,Yes,256,10/25/2022,USD,JPY,
internal,112,Yes,256,10/24/2022,USD,JPY,
internal,126,Yes,256,10/23/2022,USD,JPY,
internal,100,Yes,256,10/22/2022,USD,JPY,
internal,121,Yes,256,10/21/2022,USD,JPY,
internal,107,Yes,256,10/20/2022,USD,JPY,
internal,107,Yes,256,10/19/2022,USD,JPY,
internal,110,Yes,256,10/18/2022,USD,JPY,
internal,102,Yes,256,10/17/2022,USD,JPY,
internal,114,Yes,256,10/16/2022,USD,JPY,
internal,126,Yes,256,10/15/2022,USD,JPY,
internal,118,Yes,256,10/14/2022,USD,JPY,
internal,117,Yes,256,10/13/2022,USD,JPY,
internal,122,Yes,256,10/12/2022,USD,JPY,
internal,125,Yes,256,10/11/2022,USD,JPY,
internal,128,Yes,256,10/10/2022,USD,JPY,
internal,123,Yes,256,10/9/2022,USD,JPY,
internal,100,Yes,256,10/8/2022,USD,JPY,
internal,113,Yes,256,10/7/2022,USD,JPY,
internal,110,Yes,256,10/6/2022,USD,JPY,
internal,116,Yes,256,10/5/2022,USD,JPY,
internal,1.46,Yes,256,10/27/2022,USD,CAD,
internal,1.4,Yes,256,10/26/2022,USD,CAD,
internal,1.36,Yes,256,10/25/2022,USD,CAD,
internal,1.4,Yes,256,10/24/2022,USD,CAD,
internal,1.2,Yes,256,10/23/2022,USD,CAD,
internal,1.5,Yes,256,10/22/2022,USD,CAD,
internal,1.5,Yes,256,10/21/2022,USD,CAD,
internal,1.45,Yes,256,10/20/2022,USD,CAD,
internal,1.4,Yes,256,10/19/2022,USD,CAD,
internal,1.54,Yes,256,10/18/2022,USD,CAD,
internal,1.3,Yes,256,10/17/2022,USD,CAD,
internal,1.32,Yes,256,10/16/2022,USD,CAD,
internal,1.42,Yes,256,10/15/2022,USD,CAD,
internal,1.48,Yes,256,10/14/2022,USD,CAD,
internal,1.3,Yes,256,10/13/2022,USD,CAD,
internal,1.56,Yes,256,10/12/2022,USD,CAD,
internal,1.7,Yes,256,10/11/2022,USD,CAD,
internal,1.6,Yes,256,10/10/2022,USD,CAD,
internal,1.8,Yes,256,10/9/2022,USD,CAD,
internal,1.56,Yes,256,10/8/2022,USD,CAD,
internal,1.52,Yes,256,10/7/2022,USD,CAD,
internal,1.41,Yes,256,10/6/2022,USD,CAD,
internal,1.62,Yes,256,10/5/2022,USD,CAD,
internal,1.42,Yes,256,10/4/2022,USD,CAD,
internal,1.43,Yes,256,10/3/2022,USD,CAD,
internal,1.48,Yes,256,10/2/2022,USD,CAD,
internal,1.36,Yes,256,10/1/2022,USD,CAD,
internal,1.25,Yes,256,9/30/2022,USD,CAD,
internal,1.38,Yes,256,9/29/2022,USD,CAD,
internal,1.65,Yes,256,9/28/2022,USD,CAD,
internal,1.72,Yes,256,9/27/2022,USD,CAD,
internal,1.52,Yes,256,9/26/2022,USD,CAD,
internal,1.64,Yes,256,9/25/2022,USD,CAD,
internal,1.56,Yes,256,9/24/2022,USD,CAD,
internal,1.48,Yes,256,9/23/2022,USD,CAD,
internal,1.52,Yes,256,9/22/2022,USD,CAD,
internal,1.49,Yes,256,9/21/2022,USD,CAD,
internal,15321,Yes,256,10/27/2022,USD ,IDR,
internal,15133,Yes,256,10/26/2022,USD ,IDR,
internal,15852,Yes,256,10/25/2022,USD ,IDR,
internal,15660,Yes,256,10/24/2022,USD ,IDR,
internal,14086,Yes,256,10/23/2022,USD ,IDR,
internal,14715,Yes,256,10/22/2022,USD ,IDR,
internal,15558,Yes,256,10/21/2022,USD ,IDR,
internal,15014,Yes,256,10/20/2022,USD ,IDR,
internal,15513,Yes,256,10/19/2022,USD ,IDR,
internal,15849,Yes,256,10/18/2022,USD ,IDR,
internal,15214,Yes,256,10/17/2022,USD ,IDR,
internal,15383,Yes,256,10/16/2022,USD ,IDR,
internal,15323,Yes,256,10/15/2022,USD ,IDR,
internal,14246,Yes,256,10/14/2022,USD ,IDR,
internal,15874,Yes,256,10/13/2022,USD ,IDR,
internal,15838,Yes,256,10/12/2022,USD ,IDR,
internal,14537,Yes,256,10/11/2022,USD ,IDR,
internal,15461,Yes,256,10/10/2022,USD ,IDR,
internal,14611,Yes,256,10/9/2022,USD ,IDR,
internal,14477,Yes,256,10/8/2022,USD ,IDR,
internal,14883,Yes,256,10/7/2022,USD ,IDR,
internal,15777,Yes,256,10/6/2022,USD ,IDR,
internal,14832,Yes,256,10/5/2022,USD ,IDR,
internal,14416,Yes,256,10/4/2022,USD ,IDR,
internal,14380,Yes,256,10/3/2022,USD ,IDR,
internal,15943,Yes,256,10/2/2022,USD ,IDR,
internal,15460,Yes,256,10/1/2022,USD ,IDR,
internal,15697,Yes,256,9/30/2022,USD ,IDR,
internal,14599,Yes,256,9/29/2022,USD ,IDR,
internal,14265,Yes,256,9/28/2022,USD ,IDR,
internal,14578,Yes,256,9/27/2022,USD ,IDR,
internal,14489,Yes,256,9/26/2022,USD ,IDR,
internal,14102,Yes,256,9/25/2022,USD ,IDR,
internal,15540,Yes,256,9/24/2022,USD ,IDR,
internal,14768,Yes,256,9/23/2022,USD ,IDR,
internal,15825,Yes,256,9/22/2022,USD ,IDR,
internal,14715,Yes,256,9/21/2022,USD ,IDR,
internal,1.1,Yes,256,10/27/2022,EUR,USD,
internal,1.2,Yes,256,10/26/2022,EUR,USD,
internal,1.21,Yes,256,10/25/2022,EUR,USD,
internal,1.52,Yes,256,10/24/2022,EUR,USD,
internal,1.56,Yes,256,10/23/2022,EUR,USD,
internal,1,Yes,256,10/22/2022,EUR,USD,
internal,0.9,Yes,256,10/21/2022,EUR,USD,
internal,0.8,Yes,256,10/20/2022,EUR,USD,
internal,1.3,Yes,256,10/19/2022,EUR,USD,
internal,1.5,Yes,256,10/18/2022,EUR,USD,
internal,1.6,Yes,256,10/17/2022,EUR,USD,
internal,1,Yes,256,10/16/2022,EUR,USD,
internal,1.65,Yes,256,10/15/2022,EUR,USD,
internal,1.7,Yes,256,10/14/2022,EUR,USD,
internal,1.2,Yes,256,10/13/2022,EUR,USD,
internal,1.3,Yes,256,10/12/2022,EUR,USD,
internal,1.4,Yes,256,10/11/2022,EUR,USD,
internal,1.22,Yes,256,10/10/2022,EUR,USD,
internal,1.36,Yes,256,10/9/2022,EUR,USD,
internal,1.55,Yes,256,10/8/2022,EUR,USD,
internal,1.44,Yes,256,10/7/2022,EUR,USD,
internal,0.88,Yes,256,10/6/2022,EUR,USD,
internal,0.66,Yes,256,10/5/2022,EUR,USD,
internal,0.99,Yes,256,10/4/2022,EUR,USD,
internal,0.55,Yes,256,10/3/2022,EUR,USD,
internal,0.56,Yes,256,10/2/2022,EUR,USD,
internal,1.3,Yes,256,10/1/2022,EUR,USD,
internal,1.4,Yes,256,9/30/2022,EUR,USD,
internal,1.5,Yes,256,9/29/2022,EUR,USD,
internal,1.6,Yes,256,9/28/2022,EUR,USD,
internal,0.5,Yes,256,9/27/2022,EUR,USD,
internal,1.6,Yes,256,9/26/2022,EUR,USD,
internal,1.2,Yes,256,9/25/2022,EUR,USD,
internal,1.3,Yes,256,9/24/2022,EUR,USD,
internal,1.5,Yes,256,9/23/2022,EUR,USD,
internal,1.6,Yes,256,9/22/2022,EUR,USD,
internal,1.1,Yes,256,9/21/2022,EUR,USD,
