PRICE,,,,,,/PRICE,,,,
PTYNBR.PTYID,BITS,DAY,INSADDR.INSID,CURR.INSID,LAST,,,,,
SPOT,1040,10/18/2022,USD/LIBOR/ON,USD,0.093852,,,,,
SPOT,1040,10/18/2022,USD/LIBOR/1W,USD,0.102102,,,,,
SPOT,1040,10/18/2022,USD/LIBOR/1M,USD,0.100452,,,,,
SPOT,1040,10/18/2022,USD/LIBOR/2M,USD,0.13,,,,,
SPOT,1040,10/18/2022,USD/LIBOR/3M,USD,0.147268,,,,,
SPOT,1040,10/18/2022,USD/LIBOR/6M,USD,0.170577,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/1Y,USD,0.1848,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/2Y,USD,0.33935,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/3Y,USD,0.5797,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/4Y,USD,0.78474,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/5Y,USD,0.94325,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/6Y,USD,1.077285,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/7Y,USD,1.1946,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/8Y,USD,1.4333,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/9Y,USD,1.529,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/10Y,USD,1.562,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/11Y,USD,1.65,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/12Y,USD,1.76,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/13Y,USD,1.848,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/14Y,USD,1.87,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/15Y,USD,1.925,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/17Y,USD,1.969,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/20Y,USD,1.98,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/25Y,USD,2.2,,,,,
SPOT,1040,10/18/2022,USD/IRS/LI3M-F/30Y,USD,3.3,,,,,
