PRICE,,,,,,,/PRICE
INSADDR.INSID,PTYNBR.PTYID,CURR.INSID,SETTLE,DAY,BITS,HISTORICAL,
USD/LIBOR/ON,internal,USD,0.08532,17-Oct-22,1280,Yes,
USD/LIBOR/1W,internal,USD,0.09282,17-Oct-22,1280,Yes,
USD/LIBOR/1M,internal,USD,0.09132,17-Oct-22,1280,Yes,
USD/LIBOR/2M,internal,USD,0.092,17-Oct-22,1280,Yes,
USD/LIBOR/3M,internal,USD,0.13388,17-Oct-22,1280,Yes,
USD/LIBOR/6M,internal,USD,0.15507,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/1Y,internal,USD,0.168,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/2Y,internal,USD,0.3085,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/3Y,internal,USD,0.527,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/4Y,internal,USD,0.7134,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/5Y,internal,USD,0.8575,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/6Y,internal,USD,0.97935,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/7Y,internal,USD,1.086,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/8Y,internal,USD,1.303,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/9Y,internal,USD,1.39,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/10Y,internal,USD,1.42,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/11Y,internal,USD,1.5,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/12Y,internal,USD,1.6,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/13Y,internal,USD,1.68,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/14Y,internal,USD,1.7,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/15Y,internal,USD,1.75,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/17Y,internal,USD,1.79,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/20Y,internal,USD,1.8,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/25Y,internal,USD,2,17-Oct-22,1280,Yes,
USD/IRS/LI3M-F/30Y,internal,USD,3,17-Oct-22,1280,Yes,
USD/LIBOR/ON,internal,USD,0.093852,16-Oct-22,1280,Yes,
USD/LIBOR/1W,internal,USD,0.102102,16-Oct-22,1280,Yes,
USD/LIBOR/1M,internal,USD,0.100452,16-Oct-22,1280,Yes,
USD/LIBOR/2M,internal,USD,0.1,16-Oct-22,1280,Yes,
USD/LIBOR/3M,internal,USD,0.147268,16-Oct-22,1280,Yes,
USD/LIBOR/6M,internal,USD,0.170577,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/1Y,internal,USD,0.1848,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/2Y,internal,USD,0.33935,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/3Y,internal,USD,0.5797,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/4Y,internal,USD,0.78474,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/5Y,internal,USD,0.94325,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/6Y,internal,USD,1.077285,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/7Y,internal,USD,1.1946,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/8Y,internal,USD,1.4333,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/9Y,internal,USD,1.529,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/10Y,internal,USD,1.562,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/11Y,internal,USD,1.65,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/12Y,internal,USD,1.76,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/13Y,internal,USD,1.848,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/14Y,internal,USD,1.87,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/15Y,internal,USD,1.925,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/17Y,internal,USD,1.969,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/20Y,internal,USD,1.98,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/25Y,internal,USD,2.2,16-Oct-22,1280,Yes,
USD/IRS/LI3M-F/30Y,internal,USD,3.3,16-Oct-22,1280,Yes,
USD/LIBOR/ON,internal,USD,0.1032372,15-Oct-22,1280,Yes,
USD/LIBOR/1W,internal,USD,0.1123122,15-Oct-22,1280,Yes,
USD/LIBOR/1M,internal,USD,0.1104972,15-Oct-22,1280,Yes,
USD/LIBOR/2M,internal,USD,0.105,15-Oct-22,1280,Yes,
USD/LIBOR/3M,internal,USD,0.1619948,15-Oct-22,1280,Yes,
USD/LIBOR/6M,internal,USD,0.1876347,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/1Y,internal,USD,0.20328,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/2Y,internal,USD,0.373285,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/3Y,internal,USD,0.63767,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/4Y,internal,USD,0.863214,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/5Y,internal,USD,1.037575,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/6Y,internal,USD,1.1850135,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/7Y,internal,USD,1.31406,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/8Y,internal,USD,1.57663,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/9Y,internal,USD,1.6819,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/10Y,internal,USD,1.7182,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/11Y,internal,USD,1.815,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/12Y,internal,USD,1.936,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/13Y,internal,USD,2.0328,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/14Y,internal,USD,2.057,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/15Y,internal,USD,2.1175,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/17Y,internal,USD,2.1659,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/20Y,internal,USD,2.178,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/25Y,internal,USD,2.42,15-Oct-22,1280,Yes,
USD/IRS/LI3M-F/30Y,internal,USD,3.63,15-Oct-22,1280,Yes,
USD/LIBOR/ON,internal,USD,0.11356092,14-Oct-22,1280,Yes,
USD/LIBOR/1W,internal,USD,0.12354342,14-Oct-22,1280,Yes,
USD/LIBOR/1M,internal,USD,0.12154692,14-Oct-22,1280,Yes,
USD/LIBOR/2M,internal,USD,0.108,14-Oct-22,1280,Yes,
USD/LIBOR/3M,internal,USD,0.17819428,14-Oct-22,1280,Yes,
USD/LIBOR/6M,internal,USD,0.20639817,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/1Y,internal,USD,0.223608,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/2Y,internal,USD,0.4106135,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/3Y,internal,USD,0.701437,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/4Y,internal,USD,0.9495354,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/5Y,internal,USD,1.1413325,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/6Y,internal,USD,1.30351485,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/7Y,internal,USD,1.445466,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/8Y,internal,USD,1.734293,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/9Y,internal,USD,1.85009,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/10Y,internal,USD,1.89002,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/11Y,internal,USD,1.9965,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/12Y,internal,USD,2.1296,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/13Y,internal,USD,2.23608,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/14Y,internal,USD,2.2627,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/15Y,internal,USD,2.32925,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/17Y,internal,USD,2.38249,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/20Y,internal,USD,2.3958,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/25Y,internal,USD,2.662,14-Oct-22,1280,Yes,
USD/IRS/LI3M-F/30Y,internal,USD,3.993,14-Oct-22,1280,Yes,
USD/LIBOR/ON,internal,USD,0.124917012,14-Oct-22,1280,Yes,
USD/LIBOR/1W,internal,USD,0.135897762,13-Oct-22,1280,Yes,
USD/LIBOR/1M,internal,USD,0.133701612,13-Oct-22,1280,Yes,
USD/LIBOR/2M,internal,USD,0.11,13-Oct-22,1280,Yes,
USD/LIBOR/3M,internal,USD,0.196013708,13-Oct-22,1280,Yes,
USD/LIBOR/6M,internal,USD,0.227037987,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/1Y,internal,USD,0.2459688,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/2Y,internal,USD,0.45167485,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/3Y,internal,USD,0.7715807,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/4Y,internal,USD,1.04448894,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/5Y,internal,USD,1.25546575,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/6Y,internal,USD,1.433866335,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/7Y,internal,USD,1.5900126,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/8Y,internal,USD,1.9077223,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/9Y,internal,USD,2.035099,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/10Y,internal,USD,2.079022,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/11Y,internal,USD,2.19615,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/12Y,internal,USD,2.34256,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/13Y,internal,USD,2.459688,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/14Y,internal,USD,2.48897,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/15Y,internal,USD,2.562175,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/17Y,internal,USD,2.620739,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/20Y,internal,USD,2.63538,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/25Y,internal,USD,2.9282,13-Oct-22,1280,Yes,
USD/IRS/LI3M-F/30Y,internal,USD,4.3923,13-Oct-22,1280,Yes,
USD/LIBOR/ON,internal,USD,0.137408713,12-Oct-22,1280,Yes,
USD/LIBOR/1W,internal,USD,0.149487538,12-Oct-22,1280,Yes,
USD/LIBOR/1M,internal,USD,0.147071773,12-Oct-22,1280,Yes,
USD/LIBOR/2M,internal,USD,0.13,12-Oct-22,1280,Yes,
USD/LIBOR/3M,internal,USD,0.215615079,12-Oct-22,1280,Yes,
USD/LIBOR/6M,internal,USD,0.249741786,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/1Y,internal,USD,0.27056568,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/2Y,internal,USD,0.496842335,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/3Y,internal,USD,0.84873877,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/4Y,internal,USD,1.148937834,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/5Y,internal,USD,1.381012325,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/6Y,internal,USD,1.577252969,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/7Y,internal,USD,1.74901386,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/8Y,internal,USD,2.09849453,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/9Y,internal,USD,2.2386089,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/10Y,internal,USD,2.2869242,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/11Y,internal,USD,2.415765,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/12Y,internal,USD,2.576816,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/13Y,internal,USD,2.7056568,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/14Y,internal,USD,2.737867,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/15Y,internal,USD,2.8183925,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/17Y,internal,USD,2.8828129,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/20Y,internal,USD,2.898918,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/25Y,internal,USD,3.22102,12-Oct-22,1280,Yes,
USD/IRS/LI3M-F/30Y,internal,USD,4.83153,12-Oct-22,1280,Yes,
USD/LIBOR/ON,internal,USD,0.151149585,11-Oct-22,1280,Yes,
USD/LIBOR/1W,internal,USD,0.164436292,11-Oct-22,1280,Yes,
USD/LIBOR/1M,internal,USD,0.161778951,11-Oct-22,1280,Yes,
USD/LIBOR/2M,internal,USD,0.14,11-Oct-22,1280,Yes,
USD/LIBOR/3M,internal,USD,0.237176587,11-Oct-22,1280,Yes,
USD/LIBOR/6M,internal,USD,0.274715964,11-Oct-22,1280,Yes,
USD/IRS/LI3M-F/1Y,internal,USD,0.297622248,11-Oct-22,1280,Yes,
USD/IRS/LI3M-F/2Y,internal,USD,0.546526569,11-Oct-22,1280,Yes,
USD/IRS/LI3M-F/3Y,internal,USD,0.933612647,11-Oct-22,1280,Yes,
USD/IRS/LI3M-F/4Y,internal,USD,1.263831617,11-Oct-22,1280,Yes,
USD/IRS/LI3M-F/5Y,internal,USD,1.519113558,11-Oct-22,1280,Yes,
USD/IRS/LI3M-F/6Y,internal,USD,1.734978265,11-Oct-22,1280,Yes,
USD/IRS/LI3M-F/7Y,internal,USD,1.923915246,11-Oct-22,1280,Yes,
USD/IRS/LI3M-F/8Y,internal,USD,2.308343983,11-Oct-22,1280,Yes,
USD/IRS/LI3M-F/9Y,internal,USD,2.46246979,11-Oct-22,1280,Yes,
USD/IRS/LI3M-F/10Y,internal,USD,2.51561662,11-Oct-22,1280,Yes,
USD/IRS/LI3M-F/11Y,internal,USD,2.6573415,11-Oct-22,1280,Yes,
USD/IRS/LI3M-F/12Y,internal,USD,2.8344976,11-Oct-22,1280,Yes,
USD/IRS/LI3M-F/13Y,internal,USD,2.97622248,11-Oct-22,1280,Yes,
USD/IRS/LI3M-F/14Y,internal,USD,3.0116537,11-Oct-22,1280,Yes,
USD/IRS/LI3M-F/15Y,internal,USD,3.10023175,11-Oct-22,1280,Yes,
USD/IRS/LI3M-F/17Y,internal,USD,3.17109419,11-Oct-22,1280,Yes,
