PRICE,,,,,,,/PRICE
INSADDR.INSID,PTYNBR.PTYID,CURR.INSID,SETTLE,DAY,BITS,HISTORICAL,
BMW,internal,USD,120,27-Oct-22,1280,Yes,
BMW,internal,USD,153,26-Oct-22,1280,Yes,
BMW,internal,USD,121,25-Oct-22,1280,Yes,
BMW,internal,USD,126,24-Oct-22,1280,Yes,
BMW,internal,USD,155,23-Oct-22,1280,Yes,
BMW,internal,USD,134,22-Oct-22,1280,Yes,
BMW,internal,USD,155,21-Oct-22,1280,Yes,
BMW,internal,USD,121,20-Oct-22,1280,Yes,
BMW,internal,USD,140,19-Oct-22,1280,Yes,
BMW,internal,USD,149,18-Oct-22,1280,Yes,
BMW,internal,USD,123,17-Oct-22,1280,Yes,
BMW,internal,USD,144,16-Oct-22,1280,Yes,
BMW,internal,USD,137,15-Oct-22,1280,Yes,
BMW,internal,USD,130,14-Oct-22,1280,Yes,
BMW,internal,USD,100,13-Oct-22,1280,Yes,
BMW,internal,USD,141,12-Oct-22,1280,Yes,
BMW,internal,USD,124,11-Oct-22,1280,Yes,
BMW,internal,USD,77,10-Oct-22,1280,Yes,
BMW,internal,USD,75,9-Oct-22,1280,Yes,
BMW,internal,USD,75,8-Oct-22,1280,Yes,
BMW,internal,USD,107,7-Oct-22,1280,Yes,
BMW,internal,USD,122,6-Oct-22,1280,Yes,
BMW,internal,USD,96,5-Oct-22,1280,Yes,
BMW,internal,USD,96,4-Oct-22,1280,Yes,
BMW,internal,USD,72,3-Oct-22,1280,Yes,
BMW,internal,USD,76,2-Oct-22,1280,Yes,
BMW,internal,USD,140,1-Oct-22,1280,Yes,
BMW,internal,USD,121,30-Sep-22,1280,Yes,
BMW,internal,USD,148,29-Sep-22,1280,Yes,
BMW,internal,USD,102,28-Sep-22,1280,Yes,
BMW,internal,USD,87,27-Sep-22,1280,Yes,
BMW,internal,USD,95,26-Sep-22,1280,Yes,
BMW,internal,USD,147,25-Sep-22,1280,Yes,
BMW,internal,USD,146,24-Sep-22,1280,Yes,
BMW,internal,USD,110,23-Sep-22,1280,Yes,
BMW,internal,USD,149,22-Sep-22,1280,Yes,
BMW,internal,USD,84,21-Sep-22,1280,Yes,
BMW,internal,USD,141,20-Sep-22,1280,Yes,
BMW,internal,USD,148,19-Sep-22,1280,Yes,
BMW,internal,USD,71,18-Sep-22,1280,Yes,
BMW,internal,USD,140,17-Sep-22,1280,Yes,
BMW,internal,USD,72,16-Sep-22,1280,Yes,
BMW,internal,USD,141,15-Sep-22,1280,Yes,
BMW,internal,USD,75,14-Sep-22,1280,Yes,
BMW,internal,USD,79,13-Sep-22,1280,Yes,
BMW,internal,USD,75,12-Sep-22,1280,Yes,
BMW,internal,USD,103,11-Sep-22,1280,Yes,
BMW,internal,USD,111,10-Sep-22,1280,Yes,
BMW,internal,USD,128,9-Sep-22,1280,Yes,
BMW,internal,USD,150,8-Sep-22,1280,Yes,
BMW,internal,USD,96,7-Sep-22,1280,Yes,
BMW,internal,USD,107,6-Sep-22,1280,Yes,
BMW,internal,USD,133,5-Sep-22,1280,Yes,
BMW,internal,USD,75,4-Sep-22,1280,Yes,
BMW,internal,USD,93,3-Sep-22,1280,Yes,
BMW,internal,USD,143,2-Sep-22,1280,Yes,
BMW,internal,USD,71,1-Sep-22,1280,Yes,
BMW,internal,USD,104,31-Aug-22,1280,Yes,
BMW,internal,USD,144,30-Aug-22,1280,Yes,
BMW,internal,USD,81,29-Aug-22,1280,Yes,
BMW,internal,USD,101,28-Aug-22,1280,Yes,
BMW,internal,USD,90,27-Aug-22,1280,Yes,
BMW,internal,USD,96,26-Aug-22,1280,Yes,
BMW,internal,USD,102,25-Aug-22,1280,Yes,
BMW,internal,USD,80,24-Aug-22,1280,Yes,
BMW,internal,USD,80,23-Aug-22,1280,Yes,
BMW,internal,USD,114,22-Aug-22,1280,Yes,
BMW,internal,USD,91,21-Aug-22,1280,Yes,
BMW,internal,USD,144,20-Aug-22,1280,Yes,
BMW,internal,USD,91,19-Aug-22,1280,Yes,
BMW,internal,USD,126,18-Aug-22,1280,Yes,
BMW,internal,USD,107,17-Aug-22,1280,Yes,
BMW,internal,USD,80,16-Aug-22,1280,Yes,
BMW,internal,USD,145,15-Aug-22,1280,Yes,
BMW,internal,USD,139,14-Aug-22,1280,Yes,
BMW,internal,USD,88,13-Aug-22,1280,Yes,
BMW,internal,USD,94,12-Aug-22,1280,Yes,
BMW,internal,USD,139,11-Aug-22,1280,Yes,
BMW,internal,USD,119,10-Aug-22,1280,Yes,
BMW,internal,USD,74,9-Aug-22,1280,Yes,
BMW,internal,USD,94,8-Aug-22,1280,Yes,
BMW,internal,USD,137,7-Aug-22,1280,Yes,
BMW,internal,USD,81,6-Aug-22,1280,Yes,
BMW,internal,USD,108,5-Aug-22,1280,Yes,
BMW,internal,USD,129,4-Aug-22,1280,Yes,
BMW,internal,USD,120,3-Aug-22,1280,Yes,
BMW,internal,USD,73,2-Aug-22,1280,Yes,
BMW,internal,USD,104,1-Aug-22,1280,Yes,
BMW,internal,USD,134,31-Jul-22,1280,Yes,
BMW,internal,USD,74,30-Jul-22,1280,Yes,
BMW,internal,USD,84,29-Jul-22,1280,Yes,
BMW,internal,USD,124,28-Jul-22,1280,Yes,
BMW,internal,USD,141,27-Jul-22,1280,Yes,
BMW,internal,USD,112,26-Jul-22,1280,Yes,
BMW,internal,USD,118,25-Jul-22,1280,Yes,
BMW,internal,USD,73,24-Jul-22,1280,Yes,
BMW,internal,USD,113,23-Jul-22,1280,Yes,
BMW,internal,USD,97,22-Jul-22,1280,Yes,
BMW,internal,USD,104,21-Jul-22,1280,Yes,
BMW,internal,USD,85,20-Jul-22,1280,Yes,
BMW,internal,USD,149,19-Jul-22,1280,Yes,
BMW,internal,USD,92,18-Jul-22,1280,Yes,
BMW,internal,USD,137,17-Jul-22,1280,Yes,
BMW,internal,USD,105,16-Jul-22,1280,Yes,
BMW,internal,USD,76,15-Jul-22,1280,Yes,
BMW,internal,USD,112,14-Jul-22,1280,Yes,
BMW,internal,USD,121,13-Jul-22,1280,Yes,
BMW,internal,USD,135,12-Jul-22,1280,Yes,
BMW,internal,USD,88,11-Jul-22,1280,Yes,
BMW,internal,USD,94,10-Jul-22,1280,Yes,
BMW,internal,USD,124,9-Jul-22,1280,Yes,
