CONTEXT,CONTEXTLINK,,,,,,,,,,,,,,/CONTEXTLINK,/CONTEXT
NAME,DISC_TYPE_CHLNBR.ENTRY,INSADDR.INSID,GROUP_CHLNBR.ENTRY,PRFNBR.ASSINF,ATTRIBUTE0,DISC_TYPE_CHLNBR.LIST,PRFNBR.PRFID,GROUP_CHLNBR.LIST,NAME,INSADDR.ISIN,CURR.INSID,ATTRIBUTE_TYPE0,MAPPING_TYPE,TYPE,,
Global_new,,,PriceBase-TheorEqMkt,,,,,ValGroup,Theoretical Equals Market,,,,Val Group,Price Base,,
,,,PriceBase-Theoretical,,,,,ValGroup,Theoretical,,,,Val Group,Price Base,,
,,,PriceBase-MtMFromFeed,,,,,ValGroup,MtM From Feed Flag,,,,Val Group,Price Base,,
,,,PriceBase-Market,,,,,ValGroup,Market,,,,Val Group,Price Base,,
,,,TrinomialSwaption,,,,,ValGroup,Trinomial Swaption,,,,Val Group,Core Valuation Function,,
,,,PricingToExercise,,,,,ValGroup,Pricing To Exercise,,,,Val Group,Core Valuation Function,,
,,,IRF-NoConvexityAdj,,,,,ValGroup,Non Convexity Adjusted IRF,,,,Val Group,Core Valuation Function,,
,,,,,,,,,DEFAULT,,,,General,Accounting Parameter,,
,,,,,,,,,VND-SWAP,,VND,,Instrument,Yield Curve,,
,,,CCS-Basis,,,,,ValGroup,USD-SOFR,,USD,,Val Group,Yield Curve,,
,,,RateIndex,,,,,ValGroup,USD-CAP-B&S-LOG,,USD,,Val Group,Volatility,,
,,USD/SOFR,,,,,,,USD-CAP-SOFR,,USD,,Instrument,Volatility,,
,,,,,,,,,USD-SWTN-BP-VOL,,USD,,Instrument,Volatility,,
,,,Vol-Swtn-RFR,,,,,ValGroup,USD-SWTN-SOFR,,USD,,Val Group,Volatility,,
,,USD,,,,,,,FX-USDSGD,,SGD,,Instrument,Volatility,,
,,USD,,,,,,,FX-USDHKD,,HKD,,Instrument,Volatility,,
,,USD,,,,,,,FX-USDIDR,,IDR,,Instrument,Volatility,,
,FX,,,,,DiscType,,,KRW-FX,,KRW,,Instrument,Yield Curve,,
,,USD,,,,,,,KRW-FX,,KRW,,Instrument,Yield Curve,,
,,,,,,,,,KRW-SWAP,,KRW,,Instrument,Yield Curve,,
,FX,,,,,DiscType,,,TWD-FX,,TWD,,Instrument,Yield Curve,,
,,USD,,,,,,,TWD-FX,,TWD,,Instrument,Yield Curve,,
,,,,,,,,,TWD-SWAP,,TWD,,Instrument,Yield Curve,,
,FX,,,,,DiscType,,,HKD-FX,,HKD,,Instrument,Yield Curve,,
,,USD,,,,,,,HKD-FX,,HKD,,Instrument,Yield Curve,,
