ACCOUNTINGINSTRUCTION,,,,,,,,,,,,,,ADDITIONALINFO,,/ADDITIONALINFO,JOURNALVALUEDEF,,,/JOURNALVALUEDEF,/ACCOUNTINGINSTRUCTION
AGGREGATION_LEVEL,AMEND_HISTORIC_JOURNALS,BUSINESS_DAY_METHOD,DESCRIPTION,END_DATE_METHOD_CHAIN,EXCLUDE_REVERSALS_ON_END_DATE,JOURNAL_TRIGGER_TYPE,KEEP_HISTORIC_JOURNALS,NAME,REVERSAL_FREQUENCY,REVERSAL_METHOD,START_DATE_METHOD_CHAIN,SUPPRESS_IF_UNCHANGED,TYPE,ADDINF_SPECNBR.FIELD_NAME,VALUE,,DEBIT_OR_CREDIT,ID,POSTING_FIELD_NAME,,
Contract Trade Number,,Mod. Following,FX_MF_Value Date OffBalance Principal,Accounting Moneyflow Value Day,,End of Day,,FX_MF_Value Date OffBalance Principal,Daily,Reverse and Replace,Accounting Moneyflow Value Day,,Money Flow,SendToEMAS,Yes,,Credit,FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,FX_MF_Trade Date OffBalance Principal,Accounting Moneyflow Trade Time,,End of Day,,FX_MF_Trade Date OffBalance Principal,Daily,Reverse and Replace,Accounting Moneyflow Trade Time,,Money Flow,SendToEMAS,Yes,,Credit,FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Credit,Cash Analysis Projected,,
,,,,,,,,,,,,,,,,,Debit,FX_MF_Trade Date OffBalance Principal|Cash Analysis Projected|Debit,Cash Analysis Projected,,
Contract Trade Number,,Mod. Following,FX_TD_Closing Date OffBalance Principal,Accounting Instrument Expiry Date,,End of Day,,FX_TD_Closing Date OffBalance Principal,Daily,Reverse and Replace,Accounting Instrument Expiry Date,,Trade,SendToEMAS,Yes,,Credit,FX_TD_Closing Date OffBalance Principal|Nominal Amount Accounting|Credit,Nominal Amount Accounting,,
,,,,,,,,,,,,,,,,,Debit,FX_TD_Closing Date OffBalance Principal|Nominal Amount Accounting|Debit,Nominal Amount Accounting,,
,,,,,,,,,,,,,,,,,Debit,FX_TD_Closing Date OffBalance Principal|Nominal Amount Accounting Currency 2|Debit,Nominal Amount Accounting Currency 2,,
,,,,,,,,,,,,,,,,,Credit,FX_TD_Closing Date OffBalance Principal|Nominal Amount Accounting Currency 2|Credit,Nominal Amount Accounting Currency 2,,
